,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Acworth,22921,16,0,2,1,13,437,24,399,14,0
1,Adairsville,4953,7,0,2,0,5,83,15,59,9,0
2,Albany,74989,790,12,32,165,581,3452,729,2489,234,17
3,Alma,3438,10,0,0,2,8,111,36,69,6,0
4,Alpharetta,67411,75,1,7,11,56,991,97,849,45,0
5,Americus,15110,127,4,13,27,83,835,124,677,34,3
6,Bainbridge,11986,81,1,4,13,63,469,100,351,18,2
7,Barnesville,6714,18,0,0,2,16,138,12,124,2,1
8,Blackshear,3471,10,0,2,1,7,169,17,147,5,0
9,Blakely,4573,41,0,2,3,36,120,24,89,7,0
10,Braselton,12297,8,0,0,2,6,128,15,99,14,0
11,Braswell,382,0,0,0,0,0,0,0,0,0,0
12,Brookhaven,54734,212,2,10,74,126,1338,221,976,141,3
13,Calhoun,17069,51,0,2,3,46,369,33,320,16,0
14,Canon,837,0,0,0,0,0,1,0,1,0,0
15,Centerville,7854,22,0,0,1,21,192,19,160,13,2
16,Clarkston,12840,73,4,2,37,30,377,78,246,53,1
17,Claxton,2218,19,0,2,1,16,90,19,68,3,0
18,College Park,15278,177,6,8,64,99,1038,114,712,212,0
19,Coolidge,525,0,0,0,0,0,2,1,0,1,0
20,Dillard,370,0,0,0,0,0,4,0,4,0,0
21,Donalsonville,2539,11,0,0,1,10,48,11,36,1,1
22,Douglasville,34609,182,0,17,37,128,2013,135,1805,73,6
23,Dunwoody,49868,64,2,6,25,31,1915,201,1611,103,0
24,Eatonton,6625,15,0,1,1,13,142,28,110,4,0
25,Edison,1430,3,0,0,1,2,8,1,6,1,0
26,Elberton,4321,27,0,4,5,18,228,47,170,11,0
27,Ellijay,1722,2,0,0,0,2,29,7,22,0,0
28,Emerson,1603,7,0,0,2,5,37,3,27,7,1
29,Eton,917,0,0,0,0,0,14,0,14,0,0
30,Fairburn,16264,77,0,6,15,56,496,42,385,69,1
31,Folkston,4662,31,0,0,1,30,87,9,74,4,0
32,Forest Park,20273,146,2,9,66,69,903,131,654,118,3
33,Franklin Springs,1232,0,0,0,0,0,1,0,0,1,0
34,Glennville,5084,5,0,0,1,4,76,12,63,1,0
35,Grantville,3295,24,0,2,2,20,42,6,30,6,0
36,Grovetown,14918,22,0,6,3,13,168,17,132,19,0
37,Hampton,8044,8,0,1,2,5,64,5,52,7,0
38,Homerville,2348,2,0,0,1,1,87,22,62,3,0
39,Kennesaw,34641,48,1,8,8,31,484,34,417,33,1
40,Lake City,2858,5,0,0,2,3,106,18,70,18,0
41,Lavonia,2162,15,0,2,3,10,68,6,57,5,0
42,Lilburn,12769,23,0,3,8,12,354,52,266,36,0
43,Manchester,3958,16,1,0,2,13,143,30,105,8,2
44,Marietta,61324,262,1,14,84,163,1930,221,1518,191,6
45,Maysville,2033,0,0,0,0,0,11,2,9,0,0
46,McDonough,26277,72,2,5,12,53,731,103,565,63,3
47,McIntyre,602,0,0,0,0,0,12,1,10,1,0
48,Millen,2718,31,0,2,4,25,59,12,45,2,0
49,Milton,40067,15,0,10,1,4,291,29,254,8,1
50,Morrow,7636,32,0,5,16,11,692,33,608,51,0
51,Mount Zion,1826,6,0,0,0,6,7,0,4,3,0
52,Nahunta,1109,0,0,0,0,0,15,2,13,0,0
53,Nashville,4799,36,0,1,4,31,285,57,225,3,1
54,Newnan,40720,222,3,18,18,183,1090,116,894,80,9
55,Oxford,2337,2,0,0,0,2,11,4,6,1,0
56,Pelham,3474,20,1,1,4,14,150,24,116,10,3
57,Pine Mountain,1411,9,0,1,1,7,38,4,30,4,0
58,Pooler,24917,45,2,9,6,28,628,42,528,58,3
59,Rincon,10260,21,0,2,5,14,144,26,116,2,0
60,Sandersville,5420,22,0,0,2,20,200,18,174,8,0
61,Sandy Springs,110760,143,1,11,39,92,1972,286,1527,159,4
62,Shiloh,485,1,0,0,0,1,5,0,5,0,0
63,Sparta,1209,7,0,0,1,6,10,3,7,0,0
64,Springfield,4260,4,0,0,0,4,50,12,34,4,0
65,Suwanee,21331,39,0,10,6,23,393,35,334,24,1
66,Sylvania,2427,7,0,0,1,6,102,22,77,3,0
67,Tallapoosa,3154,14,0,1,0,13,85,19,59,7,0
68,Thomasville,18533,52,2,3,11,36,733,152,546,35,1
69,Thunderbolt,2677,4,0,0,0,4,30,5,22,3,0
70,Tyrone,7451,5,0,0,2,3,66,18,45,3,0
71,Warner Robins,76623,420,3,44,104,269,3609,626,2744,239,13
72,Waynesboro,5387,23,3,2,5,13,211,42,162,7,0
73,Woodstock,33470,39,0,5,7,27,438,11,405,22,0
