,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Bedford,13271,28,0,3,1,24,293,34,238,21,0
1,Bluffton3,10134,9,0,2,5,2,163,17,138,8,0
2,Brownsburg,27005,40,0,2,6,32,255,25,206,24,3
3,Clinton,4701,42,0,0,1,41,127,23,103,1,0
4,Columbia City,9203,12,0,4,0,8,137,6,124,7,0
5,Columbus,47991,67,0,40,17,10,1439,130,1254,55,6
6,Crawfordsville,16136,65,3,8,3,51,345,53,269,23,2
7,Crown Point,30341,7,0,1,2,4,290,3,271,16,0
8,East Chicago,27717,201,7,8,78,108,1094,80,859,155,2
9,Edinburgh3,4590,29,0,2,1,26,221,14,202,5,0
10,Ellettsville,6731,10,0,3,1,6,85,18,61,6,0
11,Elwood,8379,24,0,9,3,12,170,29,128,13,3
12,Evansville,117700,721,11,90,153,467,4917,588,3926,403,44
13,Fairmount,2754,9,0,1,0,8,17,13,4,0,0
14,Fishers,95506,51,0,10,9,32,734,49,636,49,7
15,Fort Wayne,269366,974,26,145,357,446,7437,990,5879,568,49
16,Franklin3,25443,94,0,13,5,76,516,48,436,32,0
17,Gary,74687,414,57,21,175,161,2656,567,1599,490,21
18,Greenfield,22800,21,0,5,6,10,304,31,247,26,3
19,Greenwood,59797,97,1,9,26,61,1528,72,1332,124,1
20,Griffith,15957,11,2,4,4,1,286,26,227,33,0
21,Hammond,75201,315,9,27,110,169,2792,334,2194,264,13
22,Hartford City,5716,15,0,0,0,15,33,8,22,3,0
23,Highland3,22220,19,0,3,11,5,393,37,344,12,1
24,Hobart3,27880,39,0,10,20,9,964,50,863,51,0
25,Jasper,15629,48,0,4,0,44,189,26,149,14,1
26,Jeffersonville,47723,114,1,19,22,72,1341,138,994,209,7
27,Kokomo,57845,392,5,25,48,314,1493,312,1081,100,1
28,Lafayette,72585,352,5,38,55,254,2388,387,1844,157,7
29,La Porte,21557,116,1,8,10,97,464,79,343,42,0
30,Lawrence,49432,178,4,16,78,80,1087,157,743,187,3
31,Loogootee,2717,7,0,0,0,7,9,0,8,1,0
32,Marion,27829,103,4,5,30,64,870,102,709,59,0
33,Merrillville3,34724,50,3,15,19,13,580,67,443,70,0
34,Munster3,22412,22,0,3,13,6,329,31,278,20,1
35,New Haven,15821,47,2,6,15,24,326,42,244,40,3
36,New Whiteland3,6242,3,0,0,1,2,44,7,35,2,1
37,Noblesville,64567,32,0,16,7,9,618,29,552,37,0
38,Plymouth,9872,13,0,6,2,5,222,10,200,12,0
39,Porter,4821,8,0,1,0,7,23,3,19,1,0
40,Portland,6069,12,0,3,0,9,65,0,65,0,0
41,Rensselaer,5820,12,0,1,3,8,203,30,173,0,0
42,Sellersburg,8949,5,0,2,2,1,76,13,49,14,0
43,Seymour,19941,41,2,9,3,27,868,83,724,61,1
44,Shelbyville,19362,146,0,3,6,137,407,48,325,34,0
45,South Bend,101944,1357,14,56,267,1020,4296,867,2868,561,75
46,Speedway,12202,38,1,1,22,14,486,43,395,48,0
47,St. John3,18478,4,0,1,3,0,124,11,105,8,0
48,Tipton,5074,9,0,1,1,7,34,6,27,1,0
49,Westfield,43212,16,0,6,6,4,338,13,313,12,1
50,West Lafayette,49154,32,0,5,3,24,357,42,304,11,0
51,Westville,5619,12,0,1,0,11,38,5,32,1,0
52,Whitestown,9810,22,0,2,1,19,114,2,98,14,0
53,Zionsville,27630,4,0,0,0,4,78,4,67,7,0
