,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Abington,16448,23,4,5,3,11,153,23,122,8,1
1,Acton,23780,32,0,6,2,24,66,13,50,3,0
2,Acushnet,10533,12,0,5,0,7,35,14,19,2,0
3,Adams,8028,26,0,10,2,14,94,34,59,1,2
4,Agawam,28736,82,0,13,8,61,376,133,228,15,1
5,Amesbury,17595,25,0,3,3,19,132,18,107,7,0
6,Amherst,39603,99,0,28,2,69,173,55,103,15,2
7,Andover,36547,8,0,6,1,1,215,28,180,7,0
8,Aquinnah,328,2,0,0,0,2,0,0,0,0,0
9,Arlington,45614,34,0,5,8,21,167,16,139,12,3
10,Ashburnham,6330,8,0,2,0,6,28,7,18,3,0
11,Ashland,17742,21,0,4,1,16,77,9,60,8,0
12,Athol,11679,47,1,7,2,37,101,9,88,4,1
13,Attleboro,44959,123,0,27,14,82,522,69,427,26,1
14,Auburn,16724,28,0,0,1,27,305,29,263,13,3
15,Ayer,8192,14,0,1,1,12,57,14,40,3,0
16,Barnstable,44032,178,2,22,14,140,425,61,350,14,7
17,Barre,5573,16,0,1,1,14,18,1,10,7,0
18,Becket3,1724,3,0,0,0,3,4,1,3,0,0
19,Bedford,14193,7,0,0,1,6,40,2,37,1,0
20,Belchertown,15195,16,0,1,1,14,55,12,38,5,0
21,Bellingham,17143,25,0,3,2,20,194,16,170,8,2
22,Belmont,26331,6,0,1,0,5,179,76,98,5,2
23,Berkley,6799,8,0,2,0,6,19,9,9,1,0
24,Berlin,3241,4,0,2,1,1,31,4,26,1,0
25,Bernardston,2113,5,0,3,0,2,12,3,9,0,0
26,Beverly,42317,47,0,4,2,41,206,19,177,10,1
27,Billerica,43882,22,0,2,2,18,169,21,135,13,0
28,Blackstone,9294,13,0,1,2,10,21,5,12,4,0
29,Bolton,5393,2,0,0,0,2,25,2,23,0,0
30,Bourne,19734,54,0,13,2,39,213,43,157,13,0
31,Boxborough,6540,4,0,0,0,4,26,1,21,4,0
32,Boxford,8352,0,0,0,0,0,13,2,11,0,0
33,Boylston,4694,4,0,0,0,4,2,0,2,0,0
34,Braintree,37145,45,0,3,4,38,486,52,417,17,1
35,Brewster,9725,25,0,4,0,21,38,9,28,1,0
36,Bridgewater,27270,59,0,4,3,52,95,23,62,10,0
37,Brockton,95287,782,5,63,148,566,1853,248,1317,288,16
38,Brookfield,3440,6,0,2,1,3,26,4,20,2,0
39,Brookline,58928,57,1,2,14,40,503,44,453,6,0
40,Burlington,29082,45,0,12,3,30,451,15,424,12,0
41,Cambridge,119908,334,1,26,67,240,1983,161,1724,98,8
42,Canton,23706,85,0,0,5,80,157,18,132,7,1
43,Carlisle,5255,1,0,1,0,0,22,4,18,0,0
44,Carver,11721,26,0,6,3,17,68,13,49,6,0
45,Charlton,13679,8,0,2,0,6,55,16,36,3,1
46,Chatham,6117,8,0,2,1,5,59,12,47,0,0
47,Chelmsford,35218,34,0,4,1,29,397,17,364,16,2
48,Chelsea,40496,270,0,27,65,178,594,105,406,83,2
49,Cheshire,3133,1,0,0,0,1,1,0,0,1,0
50,Chicopee,55293,340,2,35,57,246,1320,245,971,104,4
51,Chilmark,920,3,0,0,0,3,6,0,6,0,0
52,Clinton,13964,4,1,0,0,3,14,1,11,2,0
53,Cohasset,8609,3,0,0,0,3,53,10,40,3,0
54,Concord,19253,17,0,4,1,12,89,6,82,1,1
55,Dalton,6546,6,0,1,0,5,22,8,12,2,1
56,Danvers,27664,39,0,2,4,33,357,26,315,16,3
57,Dartmouth,34035,77,0,4,16,57,502,40,444,18,1
58,Dedham,25203,7,0,5,1,1,327,8,297,22,0
59,Deerfield,5032,5,0,2,0,3,43,15,27,1,1
60,Dennis,13738,88,0,17,1,70,194,45,144,5,0
61,Douglas,8946,8,0,2,1,5,24,6,15,3,0
62,Dover,6118,1,0,0,0,1,13,3,10,0,0
63,Dracut,31786,30,0,2,4,24,141,24,107,10,1
64,Dudley,11754,32,0,7,2,23,52,9,38,5,1
65,Dunstable,3405,3,0,0,0,3,7,3,3,1,0
66,Duxbury,15934,9,0,2,0,7,57,9,47,1,1
67,East Bridgewater,14472,27,0,3,2,22,64,12,46,6,2
68,East Brookfield,2202,4,0,0,0,4,7,0,3,4,0
69,Eastham,4823,5,0,2,0,3,38,2,35,1,0
70,Easthampton,15979,37,0,7,2,28,156,25,122,9,0
71,East Longmeadow,16269,24,1,6,6,11,172,28,132,12,2
72,Easton,25079,43,0,9,3,31,145,24,110,11,2
73,Edgartown,4362,20,0,3,1,16,60,9,47,4,0
74,Erving,1771,0,0,0,0,0,15,5,9,1,0
75,Everett,47195,245,3,19,19,204,623,104,445,74,1
76,Fairhaven,15996,51,0,11,2,38,214,29,178,7,0
77,Fall River,89066,773,5,51,113,604,1074,412,499,163,21
78,Falmouth,30717,110,0,17,5,88,357,112,231,14,3
79,Fitchburg,40621,217,1,26,36,154,538,94,399,45,3
80,Foxborough,17631,35,0,5,4,26,158,18,122,18,1
81,Framingham,73127,297,1,20,29,247,800,158,609,33,2
82,Franklin,33149,2,0,0,1,1,41,5,31,5,0
83,Freetown,9388,15,0,5,2,8,51,16,28,7,1
84,Gardner,20628,70,0,13,8,49,309,60,228,21,2
85,Georgetown,8777,2,0,0,0,2,33,5,27,1,0
86,Gill,1490,0,0,0,0,0,10,1,9,0,0
87,Gloucester,30362,58,0,7,1,50,164,21,130,13,0
88,Goshen,1065,0,0,0,0,0,4,2,2,0,0
89,Grafton,18880,15,0,4,1,10,46,10,34,2,0
90,Granby,6360,9,0,1,0,8,21,3,15,3,0
91,Great Barrington,6822,11,0,2,1,8,28,5,23,0,2
92,Greenfield,17464,84,0,11,10,63,342,84,248,10,0
93,Groton,11388,8,1,5,0,2,23,4,19,0,0
94,Groveland,6846,2,1,0,0,1,9,1,6,2,0
95,Hadley,5358,26,0,7,0,19,170,6,157,7,0
96,Halifax,7874,8,0,1,0,7,51,9,37,5,1
97,Hamilton,8075,1,0,0,0,1,26,4,19,3,0
98,Hampden,5199,1,0,0,0,1,20,6,13,1,0
99,Hanover,14485,3,0,0,0,3,121,4,116,1,0
100,Hanson,10876,17,0,1,2,14,47,9,37,1,0
101,Hardwick,3039,14,0,2,0,12,15,4,11,0,0
102,Harvard,6569,5,0,3,0,2,26,6,20,0,0
103,Harwich,12028,22,0,2,1,19,103,26,72,5,1
104,Hatfield,3286,2,0,0,0,2,35,12,23,0,0
105,Haverhill,63935,335,1,15,15,304,838,179,570,89,7
106,Hingham,23960,30,0,6,0,24,183,45,134,4,0
107,Holbrook,10990,33,0,4,4,25,129,26,94,9,0
108,Holland,2484,2,0,2,0,0,9,1,5,3,0
109,Holliston,14996,13,0,0,1,12,41,8,31,2,0
110,Holyoke,40178,345,4,36,53,252,1494,213,1184,97,4
111,Hopedale,5929,12,0,1,1,10,13,2,11,0,0
112,Hopkinton,18585,0,0,0,0,0,30,1,28,1,0
113,Hull,10402,47,0,4,1,42,81,7,70,4,0
114,Ipswich,14095,19,0,8,2,9,46,6,33,7,0
115,Kingston,13758,21,0,4,3,14,108,8,96,4,1
116,Lakeville,11419,16,0,3,1,12,84,20,62,2,0
117,Lancaster,8136,5,0,0,0,5,43,7,32,4,0
118,Lawrence,80243,541,3,32,87,419,954,113,677,164,1
119,Lee,5686,10,0,3,0,7,65,5,58,2,0
120,Leicester,11368,23,0,2,1,20,232,9,222,1,1
121,Lenox,4951,7,0,2,0,5,71,11,59,1,0
122,Leominster,41631,239,0,31,20,188,599,64,495,40,2
123,Lexington,33824,17,1,2,0,14,77,5,72,0,0
124,Lincoln,6798,4,0,1,0,3,16,2,14,0,0
125,Littleton,10334,11,0,5,0,6,48,5,43,0,0
126,Longmeadow,15737,10,0,3,0,7,120,28,82,10,1
127,Lowell,111423,405,4,20,100,281,1652,292,1190,170,10
128,Ludlow,21395,63,0,5,4,54,199,37,142,20,1
129,Lunenburg,11781,23,0,4,4,15,128,13,115,0,0
130,Lynn,94449,465,8,33,103,321,1347,302,908,137,1
131,Lynnfield,13130,2,0,0,0,2,77,8,68,1,0
132,Malden,60746,162,1,9,26,126,719,103,521,95,0
133,Manchester-by-the-Sea,5423,2,0,0,0,2,24,4,19,1,0
134,Mansfield,23987,65,0,11,5,49,167,15,144,8,0
135,Marblehead,20574,22,0,7,0,15,114,10,99,5,0
136,Marion,5132,4,0,1,0,3,32,4,28,0,0
137,Marlborough,39673,149,0,17,15,117,530,70,435,25,1
138,Marshfield,25794,32,0,2,3,27,71,9,56,6,0
139,Mashpee,14094,39,0,6,0,33,133,17,104,12,0
140,Mattapoisett,6372,12,0,1,0,11,40,5,33,2,0
141,Maynard,10654,24,0,3,2,19,39,7,29,3,0
142,Medford,57484,116,0,7,17,92,526,51,442,33,1
143,Medway,13405,6,0,0,0,6,27,6,21,0,0
144,Melrose,28120,32,0,0,3,29,172,25,131,16,0
145,Mendon,6176,3,0,0,0,3,16,2,9,5,0
146,Merrimac,7001,2,0,0,0,2,15,5,9,1,0
147,Methuen,50727,95,1,1,11,82,552,58,446,48,0
148,Middleboro,25183,128,0,17,9,102,188,14,151,23,5
149,Middleton,10113,5,0,0,0,5,41,3,35,3,0
150,Milford,29015,48,0,11,4,33,171,38,120,13,2
