,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Addison Township,6653,6,0,2,2,2,15,4,9,2,0
1,Adrian,20334,140,0,37,12,91,477,94,366,17,1
2,Adrian Township,6239,2,0,1,0,1,20,14,6,0,0
3,Akron,374,0,0,0,0,0,4,1,3,0,0
4,Albion,8462,80,1,6,8,65,299,75,210,14,1
5,Allegan,5038,10,0,4,1,5,47,1,42,4,1
6,Allen Park,26945,48,0,10,10,28,496,54,399,43,2
7,Alma,8866,20,0,5,2,13,109,12,94,3,0
8,Almont,2814,11,0,2,0,9,29,7,19,3,0
9,Alpena,9901,58,0,20,1,37,159,30,122,7,0
10,Ann Arbor,122893,309,2,77,46,184,2124,197,1789,138,8
11,Argentine Township,6506,3,0,1,0,2,19,3,13,3,1
12,Auburn Hills,24393,82,0,25,11,46,536,32,487,17,2
13,Au Gres,834,0,0,0,0,0,0,0,0,0,0
14,Augusta,902,3,0,2,1,0,14,0,14,0,0
15,Bad Axe,2923,7,0,5,1,1,42,1,40,1,0
16,Bancroft,494,0,0,0,0,0,1,0,1,0,0
17,Bangor,1823,20,0,3,0,17,24,6,15,3,1
18,Baroda-Lake Township,3859,6,0,1,0,5,41,6,30,5,0
19,Barryton,353,0,0,0,0,0,0,0,0,0,0
20,Barry Township,3510,1,0,0,0,1,13,4,9,0,0
21,Bath Township,13131,14,0,7,0,7,114,18,86,10,0
22,Battle Creek,60607,568,5,60,67,436,1969,460,1377,132,27
23,Bay City,32793,271,2,35,20,214,654,135,476,43,4
24,Beaverton,1176,1,0,0,0,1,7,0,7,0,0
25,Belding,5747,6,0,3,1,2,66,8,56,2,0
26,Bellaire,1067,0,0,0,0,0,0,0,0,0,0
27,Belleville,3873,12,0,3,1,8,47,9,35,3,0
28,Bellevue,1291,0,0,0,0,0,0,0,0,0,0
29,Benton Harbor,9801,190,3,18,19,150,320,73,198,49,1
30,Benton Township,14372,287,2,32,25,228,813,105,621,87,7
31,Berkley,15482,9,0,3,1,5,54,6,48,0,0
32,Berrien Springs-Oronoko Township,8940,12,0,5,1,6,88,15,64,9,0
33,Beverly Hills,10429,2,0,0,0,2,78,10,60,8,0
34,Big Rapids,10389,26,0,6,0,20,135,18,114,3,1
35,Birch Run,1462,3,0,0,0,3,55,3,52,0,0
36,Birmingham,21479,10,0,2,1,7,127,20,100,7,0
37,Blackman Township,37002,85,1,34,8,42,1236,94,1073,69,2
38,Blissfield,3250,7,0,3,0,4,21,5,15,1,0
