,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Adrian,1220,0,0,0,0,0,5,1,2,2,0
1,Aitkin,1985,2,0,0,0,2,45,2,40,3,0
2,Akeley,442,2,0,0,0,2,22,5,16,1,0
3,Albany,2752,1,0,0,0,1,9,0,9,0,0
4,Albert Lea,17597,38,0,5,4,29,506,101,381,24,3
5,Alexandria,13914,29,0,7,2,20,385,26,346,13,1
6,Annandale,3415,3,0,0,0,3,44,2,41,1,0
7,Anoka3,17591,44,0,4,8,32,323,36,259,28,1
8,Appleton,1322,6,0,0,0,6,38,4,30,4,0
9,Apple Valley,54779,51,0,24,10,17,1062,58,963,41,3
10,Arlington,2163,0,0,0,0,0,5,0,5,0,0
11,Atwater,1110,0,0,0,0,0,1,0,1,0,0
12,Austin,25224,54,0,6,6,42,487,80,378,29,1
13,Avon,1597,1,0,0,0,1,18,2,10,6,0
14,Babbitt,1498,0,0,0,0,0,8,2,6,0,0
15,Barnesville,2608,3,0,0,0,3,0,0,0,0,0
16,Battle Lake,938,0,0,0,0,0,5,0,5,0,0
17,Baxter,8401,11,0,4,0,7,303,13,281,9,1
18,Bayport,3834,1,0,1,0,0,19,0,14,5,0
19,Becker,4957,8,0,4,0,4,39,13,26,0,1
20,Belgrade/Brooten,1524,0,0,0,0,0,13,0,10,3,0
21,Belle Plaine,7232,2,0,0,0,2,66,3,59,4,0
22,Bemidji,15550,83,0,13,11,59,1187,91,1039,57,2
23,Benson,3050,0,0,0,0,0,0,0,0,0,0
24,Big Lake,11236,5,0,0,0,5,55,7,38,10,1
25,Blackduck,838,2,0,1,0,1,10,2,8,0,0
26,Blaine3,66260,61,1,20,16,24,1586,126,1369,91,3
27,Blooming Prairie,1956,0,0,0,0,0,5,1,2,2,0
28,Bloomington,85902,203,3,54,61,85,3079,183,2731,165,17
29,Blue Earth,3113,2,0,1,0,1,24,13,10,1,0
30,Braham,1791,1,0,0,0,1,1,1,0,0,0
31,Brainerd,13449,63,0,19,2,42,461,57,383,21,0
32,Breckenridge,3175,6,0,2,0,4,69,13,54,2,1
33,Breezy Point,2418,0,0,0,0,0,5,0,5,0,0
34,Breitung Township,612,1,0,0,0,1,0,0,0,0,0
35,Brooklyn Center,31000,108,1,21,45,41,1223,79,944,200,2
36,Brooklyn Park,81211,299,2,52,97,148,2760,299,2160,301,7
37,Brownton,723,0,0,0,0,0,4,0,4,0,0
38,Buffalo,16421,16,0,8,1,7,268,16,244,8,0
39,Buffalo Lake,680,1,0,1,0,0,8,2,6,0,0
40,Burnsville,61306,103,1,12,27,63,1621,130,1379,112,5
41,Caledonia3,2718,0,0,0,0,0,3,0,3,0,0
42,Cambridge,9008,6,0,1,1,4,361,19,331,11,0
43,Canby,1674,0,0,0,0,0,0,0,0,0,0
44,Cannon Falls,4063,1,0,0,1,0,74,9,62,3,0
45,Centennial Lakes3,11025,15,0,6,0,9,111,13,89,9,1
46,Champlin,25636,25,0,7,5,13,231,20,203,8,0
47,Chaska,27143,16,0,4,2,10,253,26,220,7,1
48,Chisholm,4875,6,0,1,0,5,59,5,50,4,0
49,Clara City,1282,1,0,1,0,0,3,0,3,0,0
50,Clearbrook,520,3,0,1,0,2,24,9,15,0,0
51,Cleveland,726,0,0,0,0,0,12,0,12,0,0
52,Cloquet,12009,10,0,1,1,8,277,9,258,10,0
53,Cold Spring/Richmond,5656,3,0,1,0,2,29,3,24,2,0
54,Columbia Heights3,20632,60,0,10,25,25,486,51,386,49,2
55,Comfrey3,353,0,0,0,0,0,2,0,2,0,0
56,Corcoran,6195,0,0,0,0,0,41,8,29,4,0
57,Cottage Grove,37534,29,0,16,5,8,590,50,509,31,0
58,Crookston3,7794,23,0,6,0,17,179,24,151,4,0
59,Crosby,2335,0,0,0,0,0,14,1,12,1,0
60,Crosslake,2294,0,0,0,0,0,8,3,5,0,0
61,Crystal,23184,60,1,14,19,26,602,51,506,45,1
62,Danube,457,3,0,0,0,3,5,1,4,0,0
63,Dawson/Boyd3,1547,0,0,0,0,0,4,1,3,0,0
64,Dayton,6542,1,0,0,0,1,42,6,25,11,0
65,Deephaven,3980,1,0,0,0,1,26,3,22,1,0
66,Deer River3,933,3,0,1,0,2,18,2,16,0,0
67,Detroit Lakes,9362,14,0,3,3,8,269,18,243,8,0
68,Dilworth,4491,6,0,1,5,0,275,15,250,10,0
69,Duluth,85846,292,2,37,69,184,3670,481,2977,212,16
70,Dundas,1623,0,0,0,0,0,12,1,11,0,0
71,Eagan,66824,39,0,12,12,15,1294,93,1129,72,1
72,Eagle Lake,3195,4,0,2,0,2,15,5,8,2,0
73,East Grand Forks3,8597,11,0,1,1,9,100,17,70,13,1
74,East Range,3590,8,0,3,0,5,37,7,26,4,0
75,Eden Prairie,64777,52,0,13,14,25,700,68,610,22,3
