,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Ackerman,1443,2,0,0,1,1,39,15,24,0,0
1,Batesville,7234,24,0,4,1,19,328,48,278,2,1
2,Biloxi,46185,188,3,35,65,85,2663,619,1877,167,6
3,Brandon,24426,26,0,3,2,21,269,49,193,27,1
4,Brookhaven,12037,45,6,3,5,31,387,198,166,23,1
5,Byram,11672,17,2,1,3,11,271,20,240,11,0
6,D'Iberville,14125,10,0,1,3,6,895,38,828,29,0
7,Edwards,991,21,0,1,0,20,14,4,10,0,0
8,Florence4,4500,3,0,0,0,3,12,1,11,0,0
9,Flowood,9401,19,0,6,0,13,284,14,257,13,1
10,Gautier,18563,53,3,6,8,36,488,97,347,44,2
11,Gulfport,72383,236,12,25,65,134,3492,419,2805,268,10
12,Hattiesburg,45971,106,2,27,23,54,2065,269,1622,174,4
13,Horn Lake,27256,31,3,0,18,10,676,81,509,86,4
14,Kosciusko,6774,23,3,4,6,10,106,38,63,5,1
15,Laurel,18471,125,2,14,21,88,800,255,490,55,1
16,Madison,25862,10,0,0,3,7,269,17,251,1,0
17,Meridian,36878,181,14,16,72,79,1475,441,904,130,11
18,Ocean Springs4,17864,23,0,4,4,15,492,67,390,35,1
19,Olive Branch,38761,89,4,26,21,38,893,111,696,86,4
20,Pascagoula,21610,56,4,12,19,21,1241,167,993,81,8
21,Pass Christian,6285,16,0,6,7,3,202,52,145,5,0
22,Petal,10702,3,0,1,0,2,61,36,19,6,0
23,Ridgeland,24171,66,1,3,25,37,485,44,407,34,1
24,Southaven4,55718,92,5,4,26,57,1778,206,1393,179,2
25,West Point,10430,39,1,5,8,25,292,68,221,3,3
26,Wiggins,4618,5,0,0,0,5,205,34,162,9,0
