,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Adrian,1599,4,0,1,0,3,65,27,35,3,0
1,Advance,1337,4,0,1,0,3,21,5,15,1,0
2,Alma,381,0,0,0,0,0,1,0,1,0,0
3,Annapolis,338,0,0,0,0,0,2,1,1,0,0
4,Appleton City,1068,2,0,0,0,2,13,7,4,2,0
5,Archie,1210,1,0,0,0,1,11,4,6,1,0
6,Arnold,21102,32,0,1,3,28,629,30,544,55,0
7,Ash Grove,1447,2,0,0,0,2,28,4,23,1,1
8,Ashland,3975,3,0,0,0,3,59,7,47,5,0
9,Aurora,7455,36,0,3,0,33,374,64,279,31,6
10,Ava,2902,8,0,0,0,8,47,7,38,2,0
11,Battlefield,6348,0,0,0,0,0,72,13,55,4,0
12,Bella Villa,726,3,0,1,0,2,8,1,5,2,0
13,Bel-Nor,1398,1,0,0,0,1,25,4,10,11,0
14,Belton,23657,67,3,18,15,31,730,60,598,72,5
15,Berkeley,8868,91,1,4,31,55,377,80,196,101,9
16,Bernie,1884,1,0,0,0,1,23,4,18,1,0
17,Bertrand,745,0,0,0,0,0,19,11,8,0,0
18,Bethany,3065,1,0,0,0,1,51,14,32,5,0
19,Billings,1114,3,0,0,0,3,0,0,0,0,0
20,Blackburn,238,0,0,0,0,0,0,0,0,0,0
21,Bolivar3,11129,30,0,9,4,17,416,45,349,22,0
22,Branson,11688,73,0,10,16,47,1173,118,993,62,7
23,Branson West,449,3,0,1,0,2,102,1,101,0,0
24,Bucklin,437,0,0,0,0,0,0,0,0,0,0
25,Buffalo,3073,2,0,0,0,2,93,15,67,11,0
26,Butler,4017,15,1,4,0,10,132,31,88,13,1
27,Cabool,2103,5,0,0,0,5,55,9,45,1,0
28,Camdenton,4138,18,0,0,2,16,199,46,148,5,0
29,Cameron3,9674,32,0,2,1,29,172,16,152,4,1
30,Campbell,1812,3,0,1,0,2,33,3,27,3,0
31,Canalou,301,0,0,0,0,0,1,1,0,0,0
32,Carthage,14808,38,0,15,2,21,505,35,410,60,1
33,Caruthersville,5451,65,0,5,5,55,221,78,129,14,2
34,Cassville,3327,15,0,1,1,13,265,17,240,8,0
35,Chillicothe,9700,31,0,1,2,28,217,55,144,18,2
36,Clayton,16936,12,0,1,3,8,234,23,176,35,1
37,Cleveland,663,0,0,0,0,0,4,0,3,1,0
38,Clever,2787,2,0,0,0,2,12,1,9,2,0
39,Columbia3,125017,401,11,69,74,247,3243,499,2431,313,13
40,Conway,775,0,0,0,0,0,0,0,0,0,0
41,Corder,397,0,0,0,0,0,2,2,0,0,0
42,Cottleville,5849,5,0,0,1,4,36,1,30,5,0
43,Country Club Hills,1265,14,0,1,4,9,44,5,26,13,0
44,Creve Coeur,18829,14,0,1,2,11,289,31,224,34,0
45,Crystal City,4698,5,2,0,1,2,161,20,129,12,2
46,Delta,438,0,0,0,0,0,0,0,0,0,0
47,De Soto,6355,6,0,2,0,4,118,11,106,1,0
48,Dexter,7861,15,0,7,1,7,193,42,146,5,0
49,Diamond,923,1,0,0,0,1,7,1,5,1,0
50,Dixon,1421,15,0,0,0,15,42,6,36,0,0
51,Doolittle,600,0,0,0,0,0,0,0,0,0,0
52,Duenweg,1378,3,0,2,0,1,25,4,18,3,2
53,Duquesne,1577,1,0,0,0,1,52,11,36,5,0
54,East Lynne,303,0,0,0,0,0,0,0,0,0,0
55,Edgar Springs,193,0,0,0,0,0,1,0,0,1,0
56,Edina,1111,1,0,0,0,1,6,5,0,1,0
