,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Alexandria,1620,0,0,0,0,0,15,3,11,1,0
1,Allenstown,4435,10,0,4,0,6,26,3,22,1,1
2,Alstead,1931,3,0,2,0,1,1,0,1,0,0
3,Alton,5339,10,2,5,0,3,34,8,24,2,0
4,Amherst,11344,3,0,2,1,0,108,12,95,1,1
5,Antrim,2702,3,1,1,0,1,21,4,16,1,0
6,Ashland,2053,1,0,0,0,1,40,5,35,0,0
7,Atkinson,7037,0,0,0,0,0,29,13,15,1,0
8,Auburn,5608,2,0,0,0,2,37,7,27,3,0
9,Barnstead,4668,3,0,3,0,0,20,5,13,2,0
10,Barrington,9263,6,0,5,0,1,36,11,20,5,0
11,Bartlett,2809,2,0,1,1,0,23,6,16,1,0
12,Bath,1093,0,0,0,0,0,1,0,0,1,0
13,Bedford,22887,12,0,5,3,4,174,11,161,2,1
14,Belmont,7293,19,0,3,0,16,128,17,104,7,0
15,Bennington,1512,1,0,1,0,0,5,0,4,1,1
16,Berlin,10230,22,0,8,4,10,110,13,94,3,4
17,Bethlehem,2569,5,0,4,0,1,20,5,13,2,0
18,Boscawen,4095,8,0,0,0,8,32,3,25,4,1
19,Bow,8004,5,0,0,1,4,30,3,20,7,1
20,Bradford,1710,0,0,0,0,0,19,0,16,3,1
21,Bristol,3057,6,1,3,1,1,49,7,39,3,0
22,Brookline,5461,0,0,0,0,0,21,2,17,2,0
23,Campton,3305,5,0,4,0,1,36,2,32,2,0
24,Candia,3945,1,0,0,0,1,32,2,30,0,0
25,Canterbury,2468,2,0,0,0,2,26,3,21,2,2
26,Carroll,740,0,0,0,0,0,16,1,12,3,0
27,Center Harbor,1099,0,0,0,0,0,8,1,6,1,0
28,Charlestown,4998,8,0,0,0,8,18,5,13,0,1
29,Chester,5295,9,0,3,0,6,28,4,23,1,2
30,Chichester,2709,2,0,1,0,1,27,4,23,0,0
31,Colebrook,2114,1,0,0,0,1,28,14,13,1,0
32,Concord,43509,65,4,10,25,26,805,49,710,46,2
33,Conway,10287,22,0,15,1,6,222,21,194,7,0
34,Cornish,1623,0,0,0,0,0,7,2,5,0,1
35,Dalton,868,0,0,0,0,0,0,0,0,0,0
36,Danville,4584,0,0,0,0,0,11,3,5,3,0
37,Deerfield,4562,1,0,1,0,0,17,6,11,0,0
38,Deering,1967,2,0,0,0,2,20,2,15,3,0
39,Derry,33672,33,1,18,3,11,279,22,247,10,5
40,Dover,31950,25,0,8,6,11,347,38,295,14,1
41,Dublin,1538,1,0,0,0,1,7,0,7,0,0
42,Dunbarton,2870,3,0,2,0,1,21,1,19,1,0
43,Durham,16810,6,0,2,2,2,42,10,31,1,1
44,East Kingston,2430,1,0,0,0,1,8,0,7,1,0
45,Effingham,1480,1,0,1,0,0,1,0,1,0,0
46,Enfield,4563,5,0,2,0,3,27,3,24,0,0
47,Epping,7117,3,0,2,0,1,74,2,68,4,0
48,Epsom,4777,3,0,2,0,1,26,3,23,0,0
49,Exeter,15425,28,0,9,0,19,99,11,85,3,0
50,Farmington,6932,8,0,5,0,3,103,26,65,12,2
51,Fitzwilliam,2373,0,0,0,0,0,12,3,7,2,0
52,Franconia,1111,1,0,0,0,1,14,0,13,1,1
53,Freedom,1562,0,0,0,0,0,3,0,3,0,0
54,Fremont,4803,0,0,0,0,0,37,3,32,2,1
55,Gilford,7197,5,0,2,0,3,111,16,90,5,0
56,Gilmanton,3754,7,0,4,0,3,23,5,18,0,0
57,Goffstown,18163,18,1,9,4,4,114,13,98,3,0
58,Gorham,2579,3,0,1,0,2,20,2,18,0,0
59,Grantham,2946,0,0,0,0,0,14,4,10,0,0
60,Greenland,4195,0,0,0,0,0,16,2,12,2,0
61,Hampstead,8662,7,0,3,0,4,48,1,45,2,0
62,Hampton,15616,31,1,3,4,23,138,13,114,11,2
63,Hampton Falls,2385,2,0,2,0,0,18,2,16,0,0
64,Hancock,1658,1,0,0,0,1,2,0,2,0,0
65,Hanover,11531,7,0,4,0,3,95,12,81,2,2
66,Haverhill,4568,16,0,5,1,10,71,9,57,5,1
67,Henniker,5009,12,0,5,0,7,45,5,35,5,0
68,Hillsborough,5990,12,1,5,0,6,56,13,39,4,1
69,Hinsdale,3888,5,2,1,0,2,94,11,80,3,0
70,Holderness,2109,0,0,0,0,0,14,2,11,1,0
71,Hollis,7976,5,1,3,0,1,29,7,19,3,1
72,Hooksett,14554,12,2,3,4,3,162,13,139,10,1
73,Hopkinton,5759,1,0,1,0,0,20,2,16,2,0
74,Hudson,25695,19,0,3,2,14,210,27,174,9,1
75,Jackson,856,0,0,0,0,0,6,1,5,0,0
76,Keene,22999,42,0,17,12,13,488,31,434,23,0
77,Kensington,2118,1,0,1,0,0,3,0,2,1,0
78,Kingston,6362,5,0,2,0,3,11,2,7,2,0
79,Laconia,16534,37,1,17,4,15,535,32,461,42,1
80,Lancaster,3219,5,0,0,0,5,29,7,22,0,2
81,Lebanon,13661,16,0,8,2,6,299,21,265,13,1
82,Lee,4494,1,0,1,0,0,17,1,14,2,1
83,Lincoln,1775,1,0,0,0,1,27,6,21,0,1
84,Lisbon,1583,0,0,0,0,0,11,3,6,2,0
85,Litchfield,8660,3,0,1,0,2,31,3,23,5,1
86,Littleton,5889,16,1,7,4,4,106,16,85,5,2
87,Londonderry,26567,20,1,6,2,11,173,16,139,18,0
88,Loudon,5660,4,1,1,1,1,43,4,31,8,0
89,Lyndeborough,1740,0,0,0,0,0,6,1,4,1,0
90,Madbury,1868,0,0,0,0,0,2,0,2,0,0
91,Madison,2613,3,1,0,0,2,28,3,25,0,0
92,Manchester,112895,678,6,62,133,477,2678,299,2225,154,14
93,Marlborough,2068,1,0,0,0,1,7,1,6,0,0
94,Mason,1441,1,0,0,0,1,5,1,4,0,0
95,Meredith,6424,16,0,8,0,8,107,23,76,8,0
96,Merrimack,26028,4,0,0,2,2,207,21,177,9,0
97,Middleton,1827,0,0,0,0,0,17,3,12,2,0
98,Milford,16121,11,0,6,1,4,78,5,71,2,0
99,Milton,4652,7,0,2,0,5,42,7,27,8,1
100,Mont Vernon,2603,2,0,1,0,1,5,0,5,0,0
101,Moultonborough,4174,0,0,0,0,0,26,4,22,0,0
102,Nashua,89586,129,1,69,20,39,1151,81,1016,54,10
103,New Boston,5856,2,0,1,0,1,15,1,13,1,0
104,Newbury,2245,0,0,0,0,0,15,3,11,1,0
105,New Castle,982,0,0,0,0,0,1,0,1,0,0
106,New Durham,2704,3,0,0,0,3,24,3,19,2,2
107,Newfields,1735,1,0,0,0,1,14,0,14,0,0
108,New Hampton,2216,4,0,2,0,2,12,2,7,3,0
109,Newington,810,5,0,0,1,4,113,2,110,1,0
