,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Aberdeen Township,18700,15,0,3,5,7,164,7,145,12,0
1,Absecon,8436,8,0,1,2,5,236,24,207,5,0
2,Allendale,6795,0,0,0,0,0,38,8,26,4,0
3,Allenhurst,484,0,0,0,0,0,11,1,9,1,0
4,Allentown,1784,0,0,0,0,0,8,2,6,0,0
5,Alpha,2262,1,0,0,0,1,37,7,30,0,0
6,Alpine,1856,1,0,0,0,1,15,4,2,9,0
7,Andover Township,5870,0,0,0,0,0,17,3,13,1,0
8,Asbury Park,15437,179,2,10,47,120,525,59,457,9,0
9,Atlantic City,37593,323,11,29,182,101,1738,130,1519,89,2
10,Atlantic Highlands,4308,3,0,0,1,2,50,2,48,0,0
11,Audubon,8601,5,0,0,2,3,296,21,268,7,0
12,Audubon Park,997,1,0,0,0,1,5,0,5,0,0
13,Avalon,1236,5,0,0,0,5,157,12,145,0,0
14,Avon-by-the-Sea,1766,1,0,0,0,1,36,5,31,0,0
15,Barnegat Light,587,0,0,0,0,0,6,1,5,0,0
16,Barnegat Township,23399,12,0,0,4,8,124,13,108,3,0
17,Barrington,6620,3,0,1,1,1,62,8,49,5,0
18,Bay Head,976,0,0,0,0,0,15,3,12,0,0
19,Bayonne,65032,145,2,11,52,80,704,120,519,65,4
20,Beach Haven,1191,0,0,0,0,0,141,5,136,0,0
21,Beachwood,11275,5,0,3,0,2,79,14,65,0,0
22,Bedminster Township,8043,2,0,0,0,2,39,6,29,4,0
23,Belleville,36531,78,1,9,24,44,508,70,351,87,1
24,Bellmawr,11294,13,0,0,2,11,133,28,97,8,1
25,Belmar,5562,8,0,0,0,8,86,4,78,4,0
26,Belvidere,2564,8,0,1,0,7,32,13,19,0,0
27,Bergenfield,27432,15,1,1,0,13,75,11,62,2,0
28,Berkeley Heights Township,13592,4,0,3,1,0,58,12,36,10,0
29,Berkeley Township,41738,44,0,9,10,25,385,68,310,7,1
30,Berlin,7510,10,0,0,2,8,126,21,100,5,1
31,Berlin Township,5651,3,0,0,3,0,126,11,111,4,1
32,Bernards Township,27228,0,0,0,0,0,83,15,54,14,0
33,Bernardsville,7670,2,0,0,0,2,43,3,34,6,0
34,Beverly,2476,11,0,0,1,10,35,9,20,6,0
35,Blairstown Township,5703,5,0,1,0,4,19,8,10,1,0
36,Bloomfield,50307,32,0,0,11,21,567,58,447,62,0
37,Bloomingdale,8089,5,0,3,0,2,32,3,29,0,0
38,Bogota,8403,2,0,0,2,0,33,5,26,2,0
39,Boonton,8157,11,0,1,2,8,82,8,70,4,0
40,Boonton Township,4279,2,0,1,0,1,18,4,12,2,0
41,Bordentown City,3786,2,0,0,1,1,26,1,24,1,0
42,Bordentown Township,12018,11,0,0,0,11,66,3,53,10,2
43,Bound Brook,10257,16,1,0,6,9,112,11,98,3,0
44,Bradley Beach,4158,6,0,0,0,6,68,7,60,1,0
45,Branchburg Township,14551,4,0,2,1,1,83,13,63,7,1
46,Brick Township,75592,83,3,18,9,53,805,128,665,12,4
47,Bridgeton,24331,223,2,17,114,90,848,261,549,38,1
48,Bridgewater Township,44610,7,0,0,3,4,435,32,382,21,1
49,Brielle,4683,2,0,1,0,1,15,3,11,1,0
50,Brigantine,8684,1,0,0,0,1,165,31,129,5,0
51,Brooklawn,1899,16,0,1,5,10,149,13,134,2,0
52,Buena,4316,4,0,1,0,3,47,16,28,3,0
53,Burlington City,9877,51,2,2,14,33,150,40,94,16,0
54,Burlington Township,22516,31,0,7,6,18,261,30,210,21,1
55,Butler,7613,1,0,0,0,1,26,3,22,1,0
56,Byram Township,7875,10,0,4,1,5,63,9,48,6,0
57,Caldwell,7943,7,0,1,0,6,57,15,41,1,0
58,Califon,1055,0,0,0,0,0,3,1,1,1,0
59,Camden County Police Department,73270,1159,25,67,302,765,2101,372,1194,535,41
60,Cape May,3428,4,0,1,0,3,94,3,86,5,0
61,Cape May Point,274,0,0,0,0,0,4,3,1,0,0
62,Carlstadt,6170,8,0,0,2,6,73,4,61,8,0
63,Carney's Point Township,7664,17,0,10,3,4,104,18,80,6,1
64,Carteret,23645,32,0,5,11,16,265,40,201,24,0
65,Cedar Grove Township,12508,6,0,0,1,5,56,4,50,2,0
66,Chatham,8696,0,0,0,0,0,63,5,52,6,0
67,Chatham Township,10219,0,0,0,0,0,24,1,20,3,0
68,Cherry Hill Township,70716,59,0,0,30,29,1694,148,1497,49,1
69,Chesilhurst,1616,4,0,0,0,4,43,20,19,4,0
