,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Adams Village,1735,0,0,0,0,0,0,0,0,0,0
1,Addison Town and Village,2471,3,0,0,0,3,5,0,5,0,0
2,Afton Village,796,0,0,0,0,0,0,0,0,0,0
3,Akron Village,2851,1,0,0,0,1,5,1,4,0,0
4,Albany,97221,736,4,60,189,483,2919,445,2315,159,16
5,Albion Village,5802,17,0,2,1,14,147,27,115,5,2
6,Alfred Village,3988,1,0,0,0,1,23,5,18,0,0
7,Allegany Village,1707,1,0,0,0,1,9,0,8,1,0
8,Amherst Town,120864,141,2,11,42,86,1840,157,1640,43,5
9,Amityville Village,9430,3,1,0,0,2,68,12,52,4,0
10,Amsterdam,17773,40,1,3,7,29,220,49,158,13,3
11,Angelica Village,818,0,0,0,0,0,0,0,0,0,0
12,Arcade Village,1933,2,0,0,0,2,6,1,5,0,0
13,Ardsley Village,4538,1,0,1,0,0,21,3,17,1,0
14,Asharoken Village,644,0,0,0,0,0,0,0,0,0,0
15,Attica Village,2411,0,0,0,0,0,5,0,5,0,0
16,Baldwinsville Village,7931,0,0,0,0,0,46,4,41,1,3
17,Ballston Spa Village,5257,2,0,1,0,1,31,3,27,1,0
18,Barker,505,0,0,0,0,0,0,0,0,0,0
19,Bath Village,5446,12,0,2,3,7,73,14,59,0,0
20,Beacon,14510,24,1,4,6,13,150,15,128,7,0
21,Bedford Town,17791,1,0,0,0,1,57,4,52,1,0
22,Belmont Village,904,0,0,0,0,0,3,0,3,0,0
23,Bethlehem Town,35275,29,0,11,2,16,438,41,391,6,0
24,Binghamton,44475,355,2,42,66,245,1907,417,1429,61,16
25,Black River,1253,0,0,0,0,0,8,0,8,0,0
26,Blasdell Village,2665,5,0,0,2,3,39,7,30,2,0
27,Blooming Grove Town,11816,6,0,1,0,5,54,8,45,1,0
28,Bolton Town,2251,0,0,0,0,0,10,1,8,1,0
29,Brant Town,2055,0,0,0,0,0,5,0,4,1,0
30,Brewster,2345,0,0,0,0,0,5,0,5,0,0
31,Briarcliff Manor Village,8267,0,0,0,0,0,30,1,29,0,0
32,Brighton Town,36036,25,0,5,4,16,611,85,507,19,0
33,Brockport Village,8241,10,0,3,1,6,59,5,52,2,0
34,Bronxville Village,6459,0,0,0,0,0,34,5,28,1,0
35,Brownville Village,1093,0,0,0,0,0,1,0,1,0,0
36,Buchanan Village,2243,2,0,1,1,0,6,0,6,0,0
37,Buffalo,255686,2533,47,121,802,1563,8298,1610,6009,679,143
38,Cairo Town,6413,1,0,0,0,1,30,5,24,1,0
39,Cambridge Village,1794,0,0,0,0,0,19,2,17,0,0
40,Camden Village,2164,0,0,0,0,0,24,1,22,1,0
41,Camillus Town and Village,24160,17,0,7,2,8,277,22,245,10,2
42,Canajoharie Village,2136,1,0,1,0,0,15,2,12,1,0
43,Canandaigua,10217,45,0,22,3,20,178,22,148,8,0
44,Canastota Village,4513,7,0,3,1,3,33,7,24,2,1
45,Canisteo Village,2131,4,0,2,0,2,3,0,3,0,0
46,Canton Village,6407,3,0,1,0,2,18,2,16,0,0
47,Cape Vincent Village,702,0,0,0,0,0,0,0,0,0,0
48,Carmel Town,34251,8,0,0,0,8,76,5,69,2,0
49,Carroll Town,3329,0,0,0,0,0,19,5,14,0,0
50,Carthage Village,3336,1,0,1,0,0,45,3,41,1,0
51,Catskill Village,3797,6,0,0,1,5,71,18,52,1,0
52,Cattaraugus Village,907,0,0,0,0,0,0,0,0,0,0
53,Cayuga Heights Village,3666,0,0,0,0,0,7,1,6,0,0
54,Cazenovia Village,2842,2,0,1,0,1,18,3,15,0,0
55,Central Square Village,1749,0,0,0,0,0,63,1,62,0,1
56,Centre Island Village,410,0,0,0,0,0,1,1,0,0,0
57,Chatham Village,1619,0,0,0,0,0,3,0,3,0,0
58,Cheektowaga Town,76821,187,2,15,57,113,2153,208,1856,89,4
59,Chester Town,8043,8,0,1,3,4,7,0,7,0,0
60,Chester Village,4120,0,0,0,0,0,16,0,16,0,0
61,Chittenango Village,4835,1,0,0,0,1,19,1,16,2,0
62,Cicero Town,28732,5,0,1,1,3,174,18,150,6,0
63,Clarkstown Town,80599,56,0,12,11,33,985,33,918,34,2
64,Clayton Village,1828,0,0,0,0,0,12,1,11,0,0
65,Clyde Village,1937,3,0,0,1,2,23,8,15,0,0
66,Cobleskill Village,4329,15,0,2,1,12,51,2,48,1,1
67,Coeymans Town,7297,17,0,2,1,14,71,4,65,2,0
68,Cohocton Town,2452,0,0,0,0,0,0,0,0,0,0
69,Cohoes,16717,37,2,5,3,27,153,14,127,12,1
70,Colchester Town,1965,5,0,1,1,3,14,3,9,2,0
71,Cold Spring Village,1955,1,0,0,0,1,2,1,1,0,0
72,Colonie Town,79509,62,0,10,19,33,1870,120,1716,34,5
73,Cornwall-on-Hudson Village,2914,1,0,0,0,1,15,1,14,0,0
74,Cornwall Town,9502,2,0,1,0,1,7,2,5,0,0
75,Cortland,18655,55,0,27,6,22,325,77,246,2,1
76,Coxsackie Village,2653,0,0,0,0,0,1,0,1,0,0
77,Crawford Town,9171,1,0,0,1,0,64,13,49,2,1
78,Croton-on-Hudson Village,8131,3,0,0,0,3,36,2,32,2,0
79,Cuba Town,3083,1,0,0,0,1,27,3,24,0,0
80,Dansville Village,4389,1,0,0,0,1,52,7,44,1,0
81,Deerpark Town,7714,11,0,2,0,9,49,8,35,6,0
82,Delhi Village,3094,8,0,1,0,7,22,6,16,0,0
83,Depew Village,15008,15,0,5,2,8,193,27,156,10,1
84,Deposit Village,1524,1,0,0,1,0,10,1,8,1,0
85,DeWitt Town,25000,36,0,3,12,21,608,62,514,32,1
86,Dexter Village,1011,0,0,0,0,0,1,0,1,0,0
87,Dobbs Ferry Village,10990,4,0,0,2,2,44,2,38,4,0
88,Dryden Village,2121,4,0,2,1,1,24,3,21,0,0
89,Dunkirk,11712,21,1,0,5,15,210,37,168,5,0
90,Durham Town,2659,0,0,0,0,0,3,0,3,0,0
91,East Aurora-Aurora Town,13785,2,0,0,1,1,67,10,52,5,0
92,Eastchester Town,20073,3,0,0,2,1,67,8,52,7,0
93,East Greenbush Town,16324,10,0,1,2,7,400,37,358,5,0
94,East Rochester Village,6522,6,0,0,1,5,69,18,47,4,0
95,Eden Town,7621,2,0,1,0,1,36,8,25,3,0
96,Ellenville Village,3980,9,0,0,1,8,50,4,44,2,0
97,Ellicott Town,5014,13,0,2,2,9,241,30,210,1,0
98,Ellicottville,1575,0,0,0,0,0,9,2,7,0,0
99,Elmira,26958,83,1,0,40,42,831,172,643,16,0
100,Elmira Heights Village,3819,4,0,0,1,3,73,13,58,2,0
101,Elmira Town,5589,0,0,0,0,0,2,1,1,0,0
102,Elmsford Village,5295,3,0,0,1,2,11,3,8,0,0
103,Evans Town,16118,20,0,6,4,10,171,8,154,9,1
104,Fairport Village,5334,2,0,0,1,1,24,1,22,1,0
105,Fishkill Village,2071,1,0,0,0,1,20,1,19,0,0
106,Floral Park Village,15927,8,0,0,4,4,26,2,22,2,0
107,Florida Village,2851,0,0,0,0,0,5,3,2,0,0
108,Fort Edward Village,3253,2,0,2,0,0,4,2,2,0,0
109,Fort Plain Village,2224,9,0,4,0,5,53,7,46,0,0
110,Frankfort Town,4817,3,0,1,0,2,20,3,16,1,1
111,Frankfort Village,2432,6,0,1,0,5,12,1,9,2,0
112,Franklinville Village,1632,0,0,0,0,0,2,0,2,0,0
113,Freeport Village,43064,72,0,1,23,48,428,45,361,22,0
114,Friendship Town,1869,0,0,0,0,0,8,3,5,0,0
115,Galway Village,194,0,0,0,0,0,0,0,0,0,0
116,Garden City Village,22514,9,0,0,3,6,267,25,234,8,1
117,Gates Town,28366,55,0,11,11,33,776,66,669,41,2
118,Geddes Town,10038,4,0,0,2,2,162,22,135,5,0
119,Geneseo Village,8158,3,0,3,0,0,83,7,76,0,1
120,Geneva,12708,20,0,8,4,8,234,47,185,2,1
121,Glen Cove,27228,5,0,0,4,1,84,5,77,2,0
122,Glen Park Village,481,0,0,0,0,0,0,0,0,0,0
123,Glens Falls,14306,28,0,8,1,19,100,18,80,2,1
124,Glenville Town,21634,12,0,5,0,7,309,23,281,5,0
125,Gloversville,14738,66,0,24,2,40,401,36,349,16,1
126,Goshen Town,8798,2,0,0,0,2,27,3,23,1,0
127,Goshen Village,5337,2,0,0,0,2,29,5,23,1,0
128,Gowanda Village,2575,4,0,0,0,4,26,2,24,0,0
129,Granville Village,2422,3,0,0,1,2,12,3,9,0,0
130,Great Neck Estates Village,2884,0,0,0,0,0,12,8,1,3,0
131,Greece Town,95777,167,0,27,43,97,1847,194,1576,77,2
132,Greenburgh Town,45040,43,0,8,8,27,438,22,403,13,0
133,Greene Village,1415,0,0,0,0,0,22,5,16,1,0
134,Greenport Town,4286,0,0,0,0,0,56,0,55,1,0
135,Greenwich Village,1708,0,0,0,0,0,16,3,13,0,0
136,Greenwood Lake Village,3074,2,0,0,0,2,7,2,5,0,0
137,Groton Village,2278,0,0,0,0,0,36,2,34,0,0
138,Guilderland Town,34133,23,0,5,9,9,841,51,785,5,0
