,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,"Abington Township, Montgomery County",55476,53,0,6,15,32,934,32,883,19,2
1,Adamstown,1855,5,0,1,2,2,4,1,2,1,0
2,"Adams Township, Butler County",14330,13,0,0,1,12,20,4,16,0,0
3,Akron,4033,2,0,0,0,2,16,0,15,1,0
4,Aleppo Township,1867,0,0,0,0,0,13,1,11,1,0
5,"Allegheny Township, Blair County",6512,22,0,2,1,19,114,12,102,0,0
6,Allentown,121855,471,7,64,170,230,2782,521,2018,243,5
7,Altoona,43429,264,0,83,22,159,675,142,481,52,9
8,Armagh Township,3794,2,0,0,0,2,8,2,6,0,0
9,Ashland,2670,4,0,0,0,4,5,0,5,0,0
10,Athens,3191,5,0,0,0,5,24,3,21,0,0
11,Athens Township,5077,12,0,2,1,9,168,6,159,3,0
12,Avalon,4539,18,0,2,1,15,51,8,41,2,0
13,Baldwin Borough,19426,18,0,3,3,12,105,18,81,6,0
14,Baldwin Township,1926,4,0,0,0,4,9,0,8,1,0
15,Bangor,5234,15,0,1,1,13,38,7,29,2,0
16,Bedford,2691,6,0,2,1,3,22,4,18,0,0
17,Bellwood,1741,1,0,0,0,1,18,3,14,1,0
18,Ben Avon Heights,362,0,0,0,0,0,3,0,3,0,0
19,"Bethel Township, Berks County",4178,1,0,0,0,1,23,1,19,3,0
20,Bigler Township Regional,1225,0,0,0,0,0,12,0,10,2,0
21,Birmingham Township,4210,3,0,0,0,3,9,1,8,0,0
22,Blacklick Township,1877,0,0,0,0,0,0,0,0,0,0
23,Blair Township,4500,6,0,0,1,5,35,6,28,1,0
24,Blawnox,1379,2,0,0,0,2,1,0,1,0,0
25,Blossburg,1489,2,0,0,0,2,4,1,2,1,0
26,Blythe Township,887,0,0,0,0,0,0,0,0,0,0
27,Bonneauville,1838,1,0,0,0,1,3,0,3,0,0
28,Brackenridge,3140,7,0,1,1,5,33,1,29,3,0
29,Braddock,2107,3,0,0,1,2,48,13,26,9,0
30,"Brecknock Township, Berks County",4669,0,0,0,0,0,11,3,7,1,0
31,Brentwood,9291,20,0,1,2,17,96,17,73,6,0
32,Bristol Township,53508,93,1,20,42,30,752,77,583,92,10
33,Buckingham Township,20279,0,0,0,0,0,55,13,39,3,1
34,Butler,12901,49,0,0,9,40,229,38,181,10,2
35,"Butler Township, Butler County",16447,24,0,8,2,14,236,6,227,3,0
36,"Caernarvon Township, Berks County",4174,8,0,0,1,7,73,5,67,1,0
37,Caln Township,14363,28,0,1,3,24,261,10,242,9,0
38,Cambridge Springs,2648,5,0,1,0,4,16,5,11,0,0
39,Canonsburg,8789,7,0,0,1,6,31,1,30,0,2
40,Carnegie,7828,26,0,0,8,18,180,13,154,13,0
41,Carrolltown,789,1,0,0,0,1,5,3,2,0,0
42,Catasauqua,6619,14,0,1,0,13,118,19,90,9,0
43,Central Bucks Regional,15494,8,0,0,1,7,72,6,63,3,1
44,Chambersburg,21131,59,4,9,12,34,491,51,429,11,4
45,Chartiers Township,8031,3,0,0,1,2,35,2,33,0,1
46,Chester,33905,469,18,29,142,280,1019,254,597,168,17
47,Cochranton,1077,2,0,0,0,2,1,0,1,0,0
48,Collegeville,5115,1,0,0,0,1,18,1,17,0,0
49,Covington Township,2255,7,0,0,1,6,19,3,13,3,0
50,Crafton,6178,12,0,0,1,11,168,5,160,3,0
51,Cresson Township,2492,1,0,0,0,1,5,0,5,0,0
52,"Cumberland Township, Greene County",6180,9,0,0,0,9,77,8,65,4,1
53,Cumru Township,15496,16,0,0,3,13,232,20,202,10,2
54,Dallas Township,9354,1,0,0,1,0,33,4,28,1,0
55,Danville,4613,18,0,0,0,18,51,4,46,1,0
56,Darby Township,9256,68,2,2,7,57,176,16,138,22,0
57,Derry,2512,0,0,0,0,0,4,0,4,0,0
58,Doylestown Township,17397,12,0,3,0,9,88,10,77,1,0
59,Dublin Borough,2140,4,0,0,2,2,7,1,5,1,0
60,Duncansville,1162,1,0,0,0,1,6,0,5,1,0
61,Dunnstable Township,1010,0,0,0,0,0,0,0,0,0,0
62,East Bangor,1699,0,0,0,0,0,2,0,2,0,0
63,East Brandywine Township,9123,4,0,0,0,4,16,0,15,1,0
64,East Franklin Township,3849,0,0,0,0,0,27,0,27,0,0
