,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Abbeville,5017,47,9,4,4,30,123,29,89,5,0
1,Aiken,30922,178,4,23,32,119,1499,162,1239,98,6
2,Allendale,2924,76,1,2,4,69,136,52,68,16,5
3,Aynor,994,3,0,0,1,2,27,0,23,4,0
4,Bamberg,3195,16,2,2,3,9,147,37,99,11,1
5,Barnwell,4321,89,0,8,5,76,206,55,140,11,1
6,Batesburg-Leesville,5389,61,2,6,3,50,221,23,189,9,0
7,Beaufort,13485,58,3,3,22,30,460,58,391,11,0
8,Belton,4434,15,1,1,2,11,156,34,100,22,0
9,Bennettsville,7726,53,2,0,3,48,311,39,263,9,0
10,Bishopville,2927,86,1,2,11,72,194,40,142,12,0
11,Blacksburg,1883,10,0,0,0,10,68,9,53,6,0
12,Blackville,2194,23,2,1,2,18,130,62,61,7,0
13,Bluffton,24812,46,1,9,10,26,220,35,175,10,3
14,Bowman,904,16,0,0,5,11,38,16,17,5,0
15,Branchville,952,1,0,0,0,1,19,6,13,0,0
16,Burnettown,2751,1,0,0,0,1,23,5,15,3,0
17,Calhoun Falls,1912,14,2,0,0,12,31,11,17,3,0
18,Camden,7242,86,2,4,7,73,385,39,318,28,2
19,Cameron,396,0,0,0,0,0,8,3,3,2,0
20,Cayce,14211,138,0,11,12,115,804,64,644,96,1
21,Central,5380,1,0,1,0,0,136,3,126,7,0
22,Chapin,1653,3,0,0,1,2,56,9,41,6,0
23,Charleston,138254,516,8,51,95,362,3124,292,2335,497,7
24,Cheraw,5589,61,0,3,8,50,413,57,343,13,2
25,Chesnee,948,3,0,1,0,2,53,15,34,4,0
26,Chester,5368,82,5,5,2,70,213,29,174,10,0
27,Chesterfield,1415,4,0,0,0,4,57,13,44,0,0
28,Clemson,17547,32,0,7,5,20,425,27,298,100,0
29,Clinton,8412,66,0,6,6,54,349,57,270,22,3
30,Clio,660,2,0,0,1,1,13,4,8,1,0
31,Clover,6575,19,0,0,2,17,157,13,124,20,1
32,Columbia,133790,1037,29,88,220,700,7027,916,5216,895,15
33,Conway,26127,111,1,14,11,85,884,90,739,55,2
34,Coward,767,4,0,2,0,2,16,4,12,0,0
35,Cowpens,2408,4,0,0,1,3,57,7,47,3,0
36,Darlington,5886,87,1,7,12,67,505,73,416,16,2
37,Denmark,2924,31,3,0,4,24,132,64,60,8,0
38,Due West,1240,0,0,0,0,0,18,3,15,0,0
39,Duncan,3573,7,0,1,3,3,67,7,53,7,0
40,Easley,21390,98,0,3,9,86,1098,128,910,60,3
41,Edisto Beach,406,1,0,0,0,1,10,1,8,1,0
42,Ehrhardt,481,3,0,0,0,3,13,0,12,1,0
43,Elgin,1612,6,0,0,0,6,76,7,68,1,0
44,Estill,1855,37,2,0,3,32,93,37,50,6,1
45,Eutawville,292,2,0,0,1,1,7,0,5,2,0
46,Florence,37640,447,7,29,58,353,2496,388,1909,199,4
47,Forest Acres,10320,64,0,5,9,50,637,87,508,42,0
48,Fort Mill,21219,22,0,3,2,17,233,27,204,2,0
49,Fountain Inn,10375,45,2,7,2,34,201,32,148,21,0
50,Gaffney,12528,102,0,5,12,85,733,88,596,49,1
51,Gaston,1692,4,0,0,0,4,50,7,37,6,0
52,Georgetown,8733,107,0,8,10,89,543,61,453,29,2
53,Great Falls,1875,7,0,1,0,6,72,19,49,4,1
54,Greenville,69830,402,4,44,82,272,2805,352,2236,217,1
55,Greenwood,23427,350,2,29,32,287,1292,254,1016,22,11
56,Greer,32976,143,1,18,26,98,1021,157,787,77,3
57,Hampton,2499,26,1,0,2,23,168,37,124,7,0
58,Hanahan,26941,55,2,17,6,30,345,37,266,42,3
59,Hardeeville,7075,53,1,4,14,34,208,25,160,23,1
60,Hartsville,7524,108,0,6,15,87,668,119,523,26,2
61,Hemingway,400,2,0,0,2,0,37,6,28,3,0
62,Holly Hill,1181,10,0,1,2,7,44,4,36,4,0
63,Honea Path,3810,12,0,1,1,10,146,17,109,20,2
64,Inman,2404,3,0,1,0,2,59,16,42,1,1
65,Irmo,12516,39,0,3,4,32,413,51,340,22,1
66,Isle of Palms,4366,1,0,0,0,1,86,20,51,15,0
67,Iva,1311,4,0,2,0,2,42,8,28,6,0
68,Jackson,1792,4,0,1,1,2,33,5,26,2,0
69,Jamestown,83,1,0,0,1,0,4,1,3,0,0
70,Johnsonville,1494,1,0,0,0,1,25,13,9,3,0
71,Jonesville,834,2,0,0,0,2,17,6,9,2,0
72,Kingstree,3026,17,1,2,4,10,180,25,148,7,0
73,Lake City,6541,112,1,4,9,98,283,49,212,22,4
74,Lamar,937,6,1,0,4,1,20,5,14,1,0
75,Latta,1288,20,0,1,2,17,95,15,79,1,1
76,Laurens,8823,80,0,8,13,59,450,63,362,25,2
77,Lexington,22160,72,0,8,11,53,632,29,571,32,1
78,Liberty,3152,21,0,1,2,18,70,11,53,6,0
79,Loris,2740,34,1,1,3,29,85,17,63,5,0
80,Lyman,3661,24,1,0,2,21,77,11,56,10,0
81,Manning,3921,58,1,2,6,49,341,45,292,4,1
82,Marion,6373,55,1,2,14,38,363,65,275,23,2
83,Mauldin,25453,57,0,9,13,35,413,52,331,30,1
84,McColl,1981,28,1,0,4,23,76,14,56,6,0
85,McCormick,2298,10,0,0,0,10,52,12,35,5,2
86,Moncks Corner,11986,55,1,10,10,34,416,47,338,31,1
87,Mount Pleasant,92448,105,1,11,14,79,1135,114,919,102,1
88,Mullins,4290,41,2,2,7,30,226,99,119,8,2
89,Myrtle Beach,34860,415,3,52,98,262,3916,304,3384,228,6
90,Newberry,10333,72,2,4,9,57,406,55,341,10,2
91,New Ellenton,2145,20,1,2,1,16,23,3,18,2,0
92,Ninety Six,2039,2,0,0,0,2,41,2,37,2,0
93,North Augusta,23875,55,1,8,13,33,651,80,537,34,1
94,North Charleston,115312,1114,26,103,229,756,6941,853,5123,965,14
95,North Myrtle Beach,16942,71,1,15,10,45,1115,108,910,97,1
96,Pacolet,2502,9,0,2,0,7,46,8,35,3,2
97,Pamplico,1221,7,0,0,1,6,15,12,2,1,0
98,Pelion,704,2,0,0,0,2,18,2,15,1,0
99,Pickens,3171,19,0,5,0,14,187,22,155,10,0
