,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Aberdeen,28870,160,0,41,4,115,629,117,468,44,0
1,Alcester,744,0,0,0,0,0,11,4,6,1,0
2,Avon,597,0,0,0,0,0,0,0,0,0,0
3,Belle Fourche,5600,11,0,3,0,8,87,7,75,5,0
4,Beresford,1989,0,0,0,0,0,12,4,8,0,0
5,Box Elder,10077,42,0,5,1,36,216,54,137,25,0
6,Brandon,10244,7,0,1,0,6,27,4,22,1,0
7,Brookings,24823,54,0,12,1,41,316,28,271,17,0
8,Burke,586,0,0,0,0,0,0,0,0,0,0
9,Canton,3521,12,0,2,0,10,59,17,39,3,0
10,Centerville,879,0,0,0,0,0,7,2,4,1,1
11,Chamberlain,2345,16,0,3,1,12,77,18,57,2,0
12,Clark,1056,0,0,0,0,0,2,1,1,0,0
13,Deadwood,1307,3,0,0,0,3,0,0,0,0,0
14,Elk Point,1857,4,0,0,0,4,1,0,0,1,0
15,Faith,413,0,0,0,0,0,1,0,0,1,0
16,Flandreau,2323,18,0,3,0,15,78,19,52,7,1
17,Freeman,1290,1,0,1,0,0,9,1,4,4,0
18,Groton,1506,0,0,0,0,0,0,0,0,0,0
19,Hot Springs,3485,11,0,1,0,10,33,4,28,1,0
20,Huron,13840,58,0,11,0,47,349,29,311,9,1
21,Kadoka,714,2,0,0,0,2,5,1,1,3,0
22,Kimball,662,0,0,0,0,0,2,2,0,0,0
23,Lead,2958,2,0,0,0,2,16,2,12,2,0
24,Lennox,2476,5,0,1,0,4,11,5,4,2,0
25,Madison,7558,17,0,3,0,14,78,16,57,5,0
26,Martin,1071,27,0,3,2,22,80,20,59,1,0
27,Menno,622,0,0,0,0,0,0,0,0,0,0
28,Mitchell,15733,59,1,13,1,44,538,61,437,40,4
29,Mobridge,3550,13,0,2,0,11,26,4,20,2,0
30,Murdo,442,0,0,0,0,0,2,2,0,0,0
31,North Sioux City,2932,6,0,1,0,5,55,7,41,7,0
32,Philip,773,1,0,0,0,1,5,2,2,1,0
33,Pierre,14018,65,1,15,3,46,383,42,318,23,0
34,Platte,1263,4,0,2,0,2,2,1,1,0,0
35,Rapid City,76343,540,4,114,64,358,2454,488,1646,320,9
36,Rosholt,434,0,0,0,0,0,0,0,0,0,0
37,Scotland,814,0,0,0,0,0,0,0,0,0,0
38,Sioux Falls,185628,897,4,116,68,709,5653,695,4300,658,29
39,Sisseton,2423,3,0,1,0,2,16,2,10,4,0
40,Spearfish,11842,23,0,4,1,18,268,29,229,10,1
41,Springfield,1935,0,0,0,0,0,0,0,0,0,0
42,Sturgis,6983,14,0,2,1,11,151,21,125,5,0
43,Summerset,2796,5,0,1,0,4,57,4,52,1,0
44,Tea,5898,8,0,3,0,5,96,9,79,8,0
45,Tripp,630,1,0,1,0,0,1,1,0,0,0
46,Tyndall,1036,0,0,0,0,0,0,0,0,0,0
47,Vermillion,10833,21,0,5,0,16,209,13,187,9,0
48,Wagner,1561,4,0,1,0,3,16,0,13,3,0
49,Watertown,22233,67,1,20,3,43,367,58,292,17,0
50,Yankton,14730,86,1,20,2,63,375,33,301,41,1
