,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Adamsville,2171,6,0,2,0,4,27,2,22,3,1
1,Alamo,2294,12,0,3,0,9,89,13,66,10,0
2,Alcoa,10798,85,2,17,7,59,431,27,361,43,0
3,Alexandria,1006,4,0,0,1,3,4,2,2,0,0
4,Algood,4549,13,0,3,0,10,172,7,157,8,0
5,Ardmore,1229,0,0,0,0,0,28,1,23,4,0
6,Ashland City,4708,12,0,0,0,12,264,13,243,8,0
7,Athens,13879,116,0,7,9,100,881,120,688,73,1
8,Atoka,9510,12,0,2,1,9,67,5,58,4,0
9,Baileyton,445,2,0,0,0,2,12,1,10,1,0
10,Bartlett,59610,188,1,12,30,145,1046,100,878,68,2
11,Baxter,1514,4,0,0,2,2,38,7,27,4,0
12,Bean Station,3085,8,0,0,0,8,33,8,20,5,0
13,Belle Meade,2879,1,0,0,0,1,27,5,20,2,0
14,Bells,2455,7,0,0,2,5,31,11,16,4,0
15,Benton,1258,4,0,1,0,3,34,3,29,2,0
16,Berry Hill,515,15,0,0,7,8,120,19,97,4,0
17,Big Sandy,522,0,0,0,0,0,10,3,5,2,0
18,Blaine,1871,0,0,0,0,0,30,2,24,4,0
19,Bluff City,1661,4,0,0,0,4,25,6,15,4,0
20,Bolivar,4888,73,0,3,4,66,141,45,87,9,1
21,Bradford,983,3,0,0,1,2,12,1,10,1,1
22,Brentwood,43217,38,0,12,12,14,374,38,318,18,1
23,Brighton,2926,4,0,0,1,3,9,4,5,0,0
24,Bristol,26900,135,1,15,12,107,813,138,604,71,3
25,Brownsville,9336,151,2,13,9,127,329,63,251,15,0
26,Bruceton,1400,4,0,0,0,4,25,5,16,4,0
27,Burns,1456,0,0,0,0,0,10,1,6,3,0
28,Calhoun,498,0,0,0,0,0,3,0,3,0,0
29,Camden,3573,2,0,0,0,2,31,3,28,0,0
30,Carthage,2276,6,0,0,0,6,49,0,45,4,0
31,Caryville,2146,3,0,1,0,2,42,8,23,11,0
32,Celina,1453,4,0,0,0,4,25,3,19,3,0
33,Centerville,3564,10,0,0,0,10,61,12,46,3,0
34,Chapel Hill,1532,6,0,0,0,6,12,6,6,0,0
35,Charleston,695,0,0,0,0,0,3,0,0,3,0
36,Chattanooga,181848,1946,33,161,196,1556,10106,1098,7694,1314,25
37,Church Hill,6671,0,0,0,0,0,10,1,8,1,0
38,Clarksburg,376,0,0,0,0,0,0,0,0,0,0
39,Clarksville,159996,926,14,103,116,693,4467,543,3457,467,12
40,Cleveland,45453,464,2,35,42,385,2403,371,1845,187,2
41,Clifton,2665,2,0,0,0,2,15,4,11,0,0
42,Clinton,10062,45,0,2,6,37,324,39,249,36,0
43,Collegedale,11929,10,0,1,4,5,222,14,198,10,0
44,Collierville,51273,119,3,9,22,85,688,49,610,29,1
45,Collinwood,939,0,0,0,0,0,8,0,6,2,0
46,Columbia,40001,257,0,13,19,225,1202,124,980,98,3
47,Cookeville,34373,121,1,28,7,85,1047,140,779,128,1
48,Coopertown,4590,4,0,0,0,4,44,12,28,4,1
49,Cornersville,1271,3,0,0,0,3,8,1,7,0,0
50,Covington,8755,126,0,6,8,112,479,64,357,58,1
51,Cowan,1657,1,0,0,0,1,16,3,13,0,0
52,Cross Plains,1827,0,0,0,0,0,5,0,4,1,0
53,Crossville,11643,42,0,16,0,26,499,88,380,31,1
54,Cumberland City,308,2,0,1,0,1,5,1,4,0,0
55,Dandridge,3168,12,0,1,0,11,68,15,50,3,1
56,Dayton,7408,20,0,2,0,18,197,34,156,7,0
57,Decatur,1646,11,1,1,1,8,37,5,29,3,0
58,Decaturville,860,0,0,0,0,0,10,6,4,0,0
59,Decherd,2386,19,1,2,0,16,87,8,72,7,0
60,Dickson,15703,112,1,15,4,92,672,60,557,55,1
61,Dover,1489,2,1,0,0,1,18,3,13,2,0
62,Dresden,2908,2,0,0,1,1,30,9,17,4,0
63,Dunlap,5155,23,0,0,0,23,150,31,102,17,0
64,Dyer,2204,4,0,0,0,4,32,2,28,2,0
65,Dyersburg,16300,180,3,7,30,140,905,235,618,52,5
66,Eagleville,714,0,0,0,0,0,0,0,0,0,0
