,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Abingdon,7933,7,0,1,1,5,118,6,104,8,0
1,Alexandria,162258,288,2,19,80,187,2517,117,2005,395,2
2,Amherst,2179,3,0,1,0,2,14,3,11,0,0
3,Appalachia,1544,6,0,2,0,4,48,8,34,6,1
4,Ashland,7916,19,0,1,4,14,158,8,142,8,1
5,Bedford,6588,9,0,3,0,6,198,6,187,5,1
6,Berryville,4363,1,0,0,0,1,33,6,27,0,0
7,Big Stone Gap,5170,4,0,3,0,1,84,6,74,4,0
8,Blacksburg,44948,50,0,26,1,23,275,38,228,9,1
9,Bluefield,4822,9,0,3,1,5,274,9,254,11,0
10,Bowling Green,1187,0,0,0,0,0,0,0,0,0,0
11,Bridgewater,6167,0,0,0,0,0,23,2,21,0,0
12,Bristol,16234,52,0,14,6,32,388,66,287,35,0
13,Broadway,3973,0,0,0,0,0,13,4,9,0,0
14,Brookneal,1098,2,0,0,1,1,9,0,9,0,0
15,Buena Vista,6156,7,0,3,0,4,18,3,15,0,0
16,Cape Charles,1002,4,0,0,0,4,3,0,3,0,0
17,Cedar Bluff,1003,1,0,1,0,0,7,2,4,1,0
18,Charlottesville,48453,157,0,32,22,103,1124,122,924,78,5
19,Chase City,2212,5,0,0,1,4,35,9,25,1,0
20,Chatham,1433,0,0,0,0,0,9,0,9,0,0
21,Chesapeake,243726,1112,7,111,139,855,5541,510,4641,390,12
22,Chilhowie,1710,0,0,0,0,0,20,1,17,2,0
23,Chincoteague,2872,4,0,2,1,1,50,8,39,3,0
24,Christiansburg,22700,31,0,7,4,20,466,28,424,14,2
25,Clifton Forge,3465,8,0,1,0,7,43,5,35,3,0
26,Clintwood,1287,0,0,0,0,0,25,2,23,0,0
27,Coeburn,1857,2,0,0,0,2,39,9,24,6,0
28,Colonial Beach,3593,11,0,2,1,8,48,5,41,2,0
29,Colonial Heights,17793,71,1,20,6,44,720,37,663,20,4
30,Covington,5372,5,0,3,0,2,116,10,98,8,1
31,Crewe,2148,9,0,0,2,7,43,11,31,1,1
32,Culpeper,18873,32,0,4,13,15,340,9,315,16,0
33,Damascus,787,0,0,0,0,0,56,3,49,4,0
34,Danville,40191,112,8,11,25,68,1467,180,1205,82,10
35,Dayton,1636,1,0,0,1,0,8,2,6,0,0
36,Dublin,2604,3,0,2,0,1,33,6,25,2,1
37,Dumfries,5265,7,1,0,4,2,41,3,34,4,0
38,Elkton,2900,3,0,0,0,3,71,34,35,2,1
39,Emporia,5000,12,1,3,5,3,195,19,168,8,1
40,Exmore,1368,9,0,2,2,5,33,5,25,3,0
