,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Charles Town,6171,9,1,1,4,3,75,30,43,2,0
1,Glen Dale,1375,1,0,1,0,0,16,6,9,1,0
2,Huntington,45675,330,4,56,59,211,1792,456,1147,189,21
3,Lewisburg,3830,3,0,0,0,3,81,1,79,1,1
4,Milton,2588,9,0,0,3,6,69,13,54,2,0
5,Moorefield,2418,24,1,1,1,21,153,5,145,3,0
6,Morgantown,31281,67,0,9,5,53,489,71,383,35,1
7,Moundsville,8323,29,0,8,0,21,103,0,103,0,0
8,New Martinsville,5114,2,0,0,0,2,14,5,7,2,0
9,Nitro,6406,15,0,0,1,14,220,20,187,13,0
10,Oak Hill,8140,5,2,1,0,2,14,0,14,0,0
11,Ranson,5288,8,0,1,1,6,76,11,64,1,1
12,Ronceverte,1674,2,0,0,0,2,13,2,9,2,0
13,St. Albans,9956,33,2,2,1,28,304,59,227,18,1
14,Summersville,3292,1,0,0,0,1,107,4,100,3,0
15,Weirton,18296,11,0,1,0,10,88,2,84,2,1
16,Wellsburg,2531,1,0,0,0,1,17,1,14,2,0
17,Weston,3887,4,0,0,0,4,2,0,1,1,0
18,White Sulphur Springs,2395,5,0,2,1,2,12,3,8,1,0
19,Williamson,2694,6,0,0,0,6,2,0,2,0,1
20,Winfield,2378,0,0,0,0,0,12,0,11,1,0
