,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Adams,1886,9,0,6,1,2,67,4,60,3,1
1,Albany2,994,1,0,0,0,1,9,0,8,1,0
2,Algoma,3030,2,0,2,0,0,17,0,17,0,0
3,Altoona,7939,9,0,4,0,5,109,16,90,3,0
4,Amery,2792,8,0,2,1,5,37,4,31,2,0
5,Appleton,74757,206,2,32,23,149,1073,107,910,56,10
6,Arcadia,3044,4,0,0,0,4,5,0,5,0,0
7,Ashland,7859,25,0,4,0,21,291,29,240,22,1
8,Ashwaubenon,17311,21,0,9,1,11,477,20,445,12,0
9,Athens,1078,3,0,2,0,1,8,0,8,0,0
10,Avoca,625,0,0,0,0,0,0,0,0,0,0
11,Bangor,1468,0,0,0,0,0,2,1,1,0,0
12,Baraboo,12151,28,0,15,2,11,345,43,284,18,0
13,Barneveld,1256,1,0,0,0,1,7,0,7,0,0
14,Barron2,3306,10,0,2,0,8,25,3,20,2,0
15,Bayfield,476,1,0,0,0,1,19,6,12,1,0
16,Bayside,4342,3,0,0,0,3,17,3,13,1,0
17,Beaver Dam,16375,27,1,5,0,21,260,27,224,9,2
18,Belleville,2459,2,0,1,0,1,16,0,15,1,0
19,Beloit2,37025,154,4,19,31,100,1114,122,921,71,11
20,Beloit Town,7707,7,0,2,2,3,126,23,95,8,0
21,Berlin,5401,1,0,0,0,1,68,8,53,7,0
22,Big Bend,1460,0,0,0,0,0,26,3,19,4,0
23,Birchwood,433,0,0,0,0,0,2,1,1,0,0
24,Black River Falls,3454,5,0,3,1,1,76,2,70,4,0
25,Blair,1345,2,0,1,0,1,3,2,1,0,0
26,Blanchardville,791,1,0,1,0,0,3,0,2,1,0
27,Bloomer2,3499,11,0,2,0,9,29,2,24,3,0
28,Bloomfield,6342,10,0,2,1,7,35,5,30,0,0
29,Boyceville,1130,3,0,2,1,0,14,3,11,0,0
30,Brandon-Fairwater,1212,0,0,0,0,0,0,0,0,0,0
31,Brillion,3100,5,0,3,0,2,14,1,13,0,0
32,Brodhead2,3240,0,0,0,0,0,22,1,19,2,0
33,Brookfield,38879,31,0,6,14,11,691,72,604,15,0
34,Brookfield Township,6281,6,0,0,0,6,102,4,93,5,0
35,Brooklyn,1474,1,0,0,0,1,4,0,3,1,0
36,Brown Deer,11869,40,0,4,14,22,451,25,400,26,1
37,Brownsville,573,0,0,0,0,0,2,0,2,0,0
38,Burlington,11057,6,0,0,0,6,87,5,78,4,0
39,Butler,1807,2,0,0,1,1,65,2,55,8,1
40,Caledonia,25123,21,0,1,0,20,127,22,95,10,0
41,Campbellsport,1969,0,0,0,0,0,13,0,13,0,0
42,Campbell Township,4337,1,0,0,0,1,44,6,34,4,0
43,Cascade,692,0,0,0,0,0,2,0,2,0,0
44,Cashton,1111,2,0,0,0,2,2,0,2,0,0
45,Cedarburg,11548,2,0,1,0,1,89,6,82,1,0
46,Chenequa,604,0,0,0,0,0,1,0,1,0,0
47,Chetek2,2097,6,0,0,0,6,12,0,10,2,0
48,Chilton,3774,2,0,1,0,1,32,4,27,1,0
49,Chippewa Falls,14237,50,0,8,2,40,180,25,133,22,1
50,Cleveland,1450,0,0,0,0,0,2,0,2,0,0
51,Clinton,2154,6,0,0,2,4,12,1,11,0,0
52,Colby-Abbotsford,4152,2,0,0,0,2,25,2,22,1,0
53,Colfax,1154,2,0,0,0,2,6,0,5,1,0
54,Columbus,5090,10,0,4,0,6,53,6,44,3,0
55,Cornell2,1396,0,0,0,0,0,23,2,21,0,0
56,Cottage Grove,7203,3,0,0,0,3,22,0,21,1,0
57,Crandon,1826,3,0,0,0,3,21,2,17,2,0
58,Cross Plains,4346,4,0,1,0,3,23,3,17,3,0
59,Cuba City,2034,0,0,0,0,0,0,0,0,0,0
60,Cudahy2,18164,29,0,2,5,22,205,42,137,26,3
61,Cumberland,2099,0,0,0,0,0,0,0,0,0,0
62,Darlington2,2324,4,0,2,0,2,18,0,18,0,0
63,Deforest,10766,10,0,1,1,8,97,6,85,6,1
64,Delafield,7610,4,0,2,1,1,108,4,101,3,0
65,Delavan,9889,17,2,2,0,13,212,4,206,2,1
66,Delavan Town,5339,8,1,2,0,5,22,1,20,1,0
67,De Pere,25163,20,1,2,0,17,217,19,194,4,6
68,Dodgeville,4713,6,0,3,1,2,114,13,98,3,0
69,Durand,1810,2,0,2,0,0,6,2,4,0,0
70,Eagle River,1548,2,0,1,0,1,47,0,41,6,0
71,Eagle Village,2112,1,0,1,0,0,12,2,10,0,0
72,East Troy,4327,7,0,0,0,7,25,1,24,0,0
73,Eau Claire,69195,191,0,58,22,111,1634,252,1317,65,2
74,Edgar,1439,1,0,0,0,1,7,1,6,0,0
75,Edgerton,5646,1,0,0,0,1,56,1,53,2,0
76,Elkhart Lake2,1018,0,0,0,0,0,8,0,6,2,0
77,Elkhorn2,9989,12,0,5,4,3,95,10,79,6,0
78,Elk Mound,878,3,0,0,0,3,21,1,20,0,0
79,Ellsworth,3306,5,0,1,2,2,21,3,18,0,0
80,Elm Grove,6195,4,0,0,0,4,48,3,45,0,0
81,Endeavor,461,0,0,0,0,0,1,0,1,0,0
82,Everest Metropolitan2,17340,76,0,10,3,63,201,40,151,10,4
83,Fall Creek,1308,1,0,0,0,1,9,1,8,0,0
84,Fall River,1715,1,0,0,0,1,0,0,0,0,0
85,Fennimore,2465,6,0,6,0,0,11,0,8,3,0
86,Fitchburg,30854,93,1,13,23,56,529,89,378,62,1
87,Fond du Lac,42954,134,0,28,14,92,797,59,697,41,3
88,Fontana2,1729,2,0,1,0,1,5,1,4,0,0
89,Fort Atkinson,12519,26,0,7,3,16,178,21,151,6,1
90,Fox Crossing2,18992,25,0,6,2,17,159,22,130,7,0
91,Fox Lake,1445,0,0,0,0,0,2,2,0,0,0
92,Fox Point,6599,3,0,0,3,0,61,4,51,6,0
93,Fox Valley Metro,22190,25,0,9,0,16,87,5,75,7,0
94,Franklin,35875,25,2,4,3,16,576,24,529,23,0
95,Fulton,3410,0,0,0,0,0,4,1,2,1,0
96,Galesville,1571,0,0,0,0,0,9,2,7,0,0
97,Geneva Town,5045,2,0,0,0,2,19,2,17,0,0
98,Genoa City,2992,0,0,0,0,0,10,0,9,1,0
99,Germantown,19983,16,0,3,1,12,450,11,434,5,0
100,Gillett,1295,0,0,0,0,0,14,1,12,1,0
101,Gilman,393,0,0,0,0,0,9,0,9,0,0
102,Glendale,12792,33,1,2,10,20,661,22,597,42,1
103,Grafton,11798,8,1,0,3,4,141,5,134,2,0
104,Grand Chute,23450,69,0,13,3,53,734,29,674,31,2
105,Grand Rapids,7405,3,0,2,0,1,22,7,14,1,0
106,Grantsburg,1283,6,0,0,0,6,9,0,8,1,0
107,Green Bay,104992,529,3,78,49,399,1724,245,1355,124,10
108,Greendale,14057,13,0,4,0,9,160,9,149,2,0
109,Greenfield,37387,64,1,3,18,42,946,62,842,42,3
110,Green Lake,961,1,0,0,0,1,3,1,2,0,0
111,Hales Corners,7578,6,0,2,0,4,94,11,81,2,0
112,Hammond,1885,0,0,0,0,0,8,0,6,2,0
113,Hancock,401,0,0,0,0,0,0,0,0,0,0
114,Hartford,15460,10,0,5,1,4,219,11,203,5,0
115,Hartford Township,3570,0,0,0,0,0,0,0,0,0,0
116,Hartland,9366,9,0,3,0,6,46,6,39,1,0
117,Hayward,2296,8,2,1,0,5,49,5,42,2,0
118,Hazel Green,1225,0,0,0,0,0,14,5,9,0,0
119,Highland,833,1,0,0,1,0,5,1,3,1,0
120,Hillsboro,1398,4,0,2,0,2,8,0,8,0,0
