,state,latitude,longitude,crime_index
Anchorage,ak,-149.894852,61.2163129,1.1104399595455479
Bethel,ak,-161.7558333,60.7922222,1.082059902200489
Bristol Bay Borough,ak,-156.8753867,58.7370341,1.0539906103286385
Cordova,ak,-4.7760138,37.8845813,1.007906976744186
Craig,ak,-107.5464541,40.5152491,1.0441736481340442
Dillingham,ak,-158.4575,59.0397222,1.0910602910602911
Fairbanks,ak,-147.66991691593407,64.82897449999999,1.1025307211126283
Haines,ak,-135.3430573,59.0831232,1.0208930766079476
Juneau,ak,-134.419734,58.3019496,1.1001571832756996
Kenai,ak,-151.258333,60.5544444,1.1339353853981176
Ketchikan,ak,-131.6466819,55.3430696,1.1123136123136124
Kodiak,ak,-152.4072222,57.79,1.0827307886329243
Kotzebue,ak,-162.5977621,66.8982057,1.102078239608802
Nome,ak,-165.39879944316317,64.4989922,1.085406514490895
North Pole,ak,0.0,90.0,1.0971103742302226
North Slope Borough,ak,-153.8220681,69.5335129,1.0416284052647689
Palmer,ak,-149.11109,61.5995703,1.0622162883845128
Petersburg,ak,30.316229,59.938732,1.0669600754479724
Seward,ak,-100.8928434,37.1850331,1.0900439238653001
Sitka,ak,-135.337612,57.0524973,1.0454652255639099
Skagway,ak,-135.3116103,59.4556412,1.0345125107851596
Soldotna,ak,-151.065349,60.4847228,1.06959629941127
Unalaska,ak,-166.57462662368863,53.9256265,1.0252603589629958
Valdez,ak,-146.349363,61.1299396,1.0296121593291405
Wasilla,ak,-149.4425638,61.5824216,1.1176362803481448
Wrangell,ak,-132.3829431,56.4706022,1.0204901566894335
