,state,latitude,longitude,crime_index
Avondale,az,-112.349602,33.4355977,1.0769998966906573
Buckeye,az,-112.5837766,33.3703197,1.0352485109878826
Bullhead City,az,-114.5682983,35.1477774,1.0733494522846145
Camp Verde,az,-111.8543178,34.5636358,1.0554669502037923
Casa Grande,az,-111.757352,32.8795022,1.0554261042387691
Chandler,az,-111.84125,33.3061605,1.0460749342968512
Chino Valley,az,-112.4537809,34.7575227,1.0319026475908568
Clarkdale,az,-112.0579367,34.7711319,1.0227785295444294
Coolidge,az,-102.0087927,38.0416798,1.0714720657634342
Cottonwood,az,-95.1658845,44.019068,1.0766361203470927
Douglas,az,-88.2170516,39.7628415,1.0771569745343976
Eagar,az,-109.291475,34.1111581,1.0153154992852766
El Mirage,az,-112.3244866,33.6130338,1.0593892496890978
Flagstaff,az,-111.6518229,35.1987522,1.0736139069228001
Florence,az,11.2555757,43.7698712,1.0094750805381845
Fredonia,az,-75.69080712475974,5.87507465,1.033179012345679
Gilbert,az,-111.7890373,33.3527632,1.0260903165772282
Globe,az,-110.7871344,33.3959623,1.1824388911648231
Goodyear,az,-112.3576005,33.4353672,1.0521892034464568
Hayden,az,12.1373506,46.5383332,1.1092951991828397
Holbrook,az,-110.1593164,34.9037063,1.1469203609258534
Huachuca City,az,-110.3339678,31.6278703,1.0423679628554847
Jerome,az,-114.2867043,42.702266,1.1350762527233116
Kearny,az,-101.3523356,37.9960049,1.0248847926267282
Kingman,az,-98.122172,37.5420937,1.0959477124183006
Lake Havasu City,az,-114.3224495,34.4838502,1.0278093588147186
Mammoth,az,-110.6406547,32.722568,1.035949670461354
Marana,az,4.31224359285714,48.961264,1.0484062602425435
Maricopa,az,-112.49123,33.34883,1.0276724120988188
Mesa,az,-111.8314792,33.4151117,1.0450208429828625
Miami,az,-80.19362,25.7741728,1.0831447963800904
Nogales,az,-6.7491704,38.5865813,1.066079952267303
Oro Valley,az,-110.966488,32.3909071,1.0272351533608874
Page,az,-111.457294,36.9148305,1.1790985767000528
Paradise Valley,az,-111.9556001,33.5428006,1.025520939387769
Parker,az,-97.7935767,32.7599475,1.0624417520969245
Payson,az,-91.2423657,39.8169907,1.046510152284264
Peoria,az,-89.5891008,40.6938609,1.042423999404254
Phoenix,az,-112.0741417,33.4484367,1.0804116959452177
Pima,az,-111.6546163,32.1112624,1.0438735177865612
Pinetop-Lakeside,az,-109.9603843,34.1425438,1.082659478885894
Prescott,az,-112.4687616,34.5399962,1.0420730453849845
Prescott Valley,az,-112.315721,34.6100243,1.0252248394004282
Safford,az,-109.70758,32.8339546,1.0817870108914884
Sahuarita,az,-110.955646,31.9575818,1.0266101914123125
San Luis,az,-65.9515546,-33.2762202,1.0278720168460458
Scottsdale,az,-111.9260184,33.4942189,1.0425740217458075
Show Low,az,-110.0298327,34.2542084,1.0727129199193053
Sierra Vista,az,-110.2772249,31.5455709,1.0509365831640713
Snowflake-Taylor,az,-110.092176,34.4986991,1.0449228349552737
Somerton,az,0.646509,52.1464596,1.0226581599189077
Springerville,az,-109.2860081,34.1340599,1.0367943548387097
St. Johns,az,-81.4145468,29.9032284,1.0553977272727273
Surprise,az,-112.3680189,33.6292271,1.0319589676650445
Tempe,az,-111.9400091,33.4255056,1.0849419081013134
Thatcher,az,-109.7592479,32.8492323,1.0550511879466873
Tolleson,az,-112.2593093,33.4500497,1.205973780240573
Tucson,az,-110.9748477,32.2228765,1.0795716062395373
Wellton,az,-114.1468894,32.6728314,1.0426509186351707
Wickenburg,az,-112.7301353,33.9680962,1.0551460164445705
Willcox,az,-109.8315759,32.2529138,1.093812375249501
Williams,az,-103.4958386,48.3629861,1.0753614272531529
Winslow,az,-110.6973572,35.0241874,1.1283934845097412
Yuma,az,-114.47603157249804,32.665135,1.0550071378671446
