,state,latitude,longitude,crime_index
Alexander,ar,-89.3502834,37.1801529,1.0530920060331825
Alma,ar,24.4803663,46.2135922,1.0895040760869565
Altus,ar,-99.3339754,34.6381255,1.0631001371742113
Amity,ar,-93.4610173,34.2648201,1.0133333333333334
Ashdown,ar,-94.1299625,33.67344,1.0535469107551487
Ash Flat,ar,-91.61126816720483,36.2334209,1.08675799086758
Atkins,ar,-91.8639973,41.9945216,1.0592690154757984
Augusta,ar,-81.9748429,33.4709714,1.0479628674574524
Austin,ar,-97.7436995,30.2711286,1.0145985401459854
Bald Knob,ar,-91.5679114,35.3098066,1.1016713091922006
Barling,ar,-94.3016006,35.325647,1.0431137724550898
Batesville,ar,-91.6409722,35.769799,1.054458627973184
Bay,ar,5.71839,47.2885,1.0365650969529085
Bearden,ar,-92.6157139,33.7245526,1.0337601862630965
Beebe,ar,-91.8795856,35.0706424,1.0735258432419317
Bella Vista,ar,-94.2732642,36.4814641,1.0169368497459472
Benton,ar,-94.0481042,45.7162129,1.0834746104787276
Bentonville,ar,-94.2088172,36.3728538,1.0322641015084029
Berryville,ar,-93.5679667,36.364792,1.0822065981611682
Bethel Heights,ar,-94.11767961630952,36.2247828,1.0224199288256228
Blytheville,ar,-89.9189754,35.9272953,1.1110781110781112
Bono,ar,-2.947793,47.6402896,1.036415711947627
Booneville,ar,-83.6749145,37.4761991,1.0705144946461218
Bradford,ar,-1.7519186,53.7944229,1.0587431693989071
Brinkley,ar,0.3791921,52.1678912,1.0930232558139534
Brookland,ar,-90.5750032820995,35.90061825,1.042564511838255
Bryant,ar,-90.0917851,40.4661513,1.0881021966625812
Bull Shoals,ar,-92.5815527,36.383956,1.037037037037037
Cabot,ar,-92.0165336,34.974532,1.0361674418604652
Caddo Valley,ar,-93.0710073,34.1820388,1.1683673469387754
Camden,ar,-75.1198911,39.9448402,1.0936510891826476
Cammack Village,ar,-92.344702,34.7798664,1.0819444444444444
Carlisle,ar,-2.9362311,54.8948478,1.065018315018315
Cave Springs,ar,-94.2318728,36.2634109,1.01415770609319
Cedarville,ar,-89.6331674,42.3759906,1.065109695682944
Centerton,ar,-94.29238206367242,36.35533795,1.0253294643936646
Charleston,ar,-79.9402728,32.7876012,1.0399348003259983
Cherokee Village,ar,-91.515973,36.2978443,1.0459646094087183
Cherry Valley,ar,-88.9597115,42.2392959,1.0960548885077186
Clarksville,ar,-87.3588703,36.5277607,1.0587995516152042
Clinton,ar,-89.420064,38.5896187,1.1132985134592206
Conway,ar,-92.6888936,35.2521996,1.0650617797314959
Corning,ar,-77.05653215584428,42.1481965,1.046556741028128
Cotter,ar,-91.4630022,41.2929372,1.0882978723404255
Crossett,ar,-91.9612427,33.1281779,1.0986380520016508
Damascus,ar,36.3095814,33.5130695,1.1405835543766578
Dardanelle,ar,-93.1579532,35.2231408,1.0724478594950604
Decatur,ar,-88.9524151,39.8454163,1.0954219525648097
De Queen,ar,-94.3413168,34.0378916,1.0694676171697255
Des Arc,ar,-91.4951307,34.9770353,1.0664556962025316
DeWitt,ar,-97.3158457,29.0931328,1.0920834713481284
Diaz,ar,-91.25225560655804,35.64222945,1.0676691729323309
Dover,ar,1.3134228,51.1251275,1.0899581589958158
Dumas,ar,-101.972857,35.8583842,1.0364838393731635
Earle,ar,-90.4667694,35.2750871,1.0799636528850522
El Dorado,ar,-92.6662674,33.20763,1.141919191919192
Elkins,ar,-79.8466552,38.925927,1.0489833641404807
England,ar,-1.2649062,52.5310214,1.1002570694087404
Etowah,ar,-86.022147,34.0371404,1.2082018927444795
Eudora,ar,-95.0985808,38.9433372,1.0678756476683937
Eureka Springs,ar,-93.7392419,36.4000796,1.1405353728489485
Fairfield Bay,ar,-92.26264384615385,35.581848,1.0740236148955495
Farmington,ar,-93.1435497,44.6402434,1.0358738324082848
Fayetteville,ar,-94.1574328,36.0625843,1.0993107344632769
Flippin,ar,-92.5971082,36.2789578,1.146268656716418
Fordyce,ar,-92.4129303,33.8137161,1.154072096128171
Forrest City,ar,-90.7898342,35.0081474,1.1198242961042701
Fort Smith,ar,-94.4248983,35.3872218,1.1369589168682772
Gassville,ar,-92.4940505,36.2831238,1.0871985157699444
Gentry,ar,-94.4159527,40.2044898,1.0359327217125383
Glenwood,ar,-87.6022765,41.5424867,1.0582338902147972
Gosnell,ar,-89.96735296661407,35.962109749999996,1.0606734434561627
Gravette,ar,-94.4535484,36.4220207,1.0737728724949172
Greenbrier,ar,-92.387655,35.2339712,1.0220848056537102
Green Forest,ar,-93.43112076653537,36.33266835,1.0875859572927977
Greenland,ar,-42.8125967,77.6192349,1.0806896551724139
Greenwood,ar,-96.2471338,37.8709542,1.0206655362441712
Gurdon,ar,-93.15388072131614,33.915171900000004,1.0865152247462542
Hamburg,ar,10.000654,53.550341,1.0557663125948407
Harrisburg,ar,-76.8861122,40.2663107,1.0798141891891893
Harrison,ar,-94.3982158,32.5233959,1.0673685816739147
Haskell,ar,-99.7199972,33.1542164,1.0559915164369036
Hazen,ar,-101.622665,47.294448,1.1077844311377245
Heber Springs,ar,-92.03126,35.4914677,1.0857928240740742
Helena-West Helena,ar,-90.59,34.5291,1.159517031510749
Highland,ar,-5.0038367,57.5066357,1.1154545454545455
Hope,ar,-93.5915665,33.6670616,1.1053176081109042
Hot Springs,ar,-93.0552437,34.5038393,1.1590049110377587
Hoxie,ar,-100.441807,39.357505,1.0568006182380216
Jacksonville,ar,-81.655651,30.3321838,1.1273299614473171
Jericho,ar,35.4598851,31.855991,1.849056603773585
Johnson,ar,-97.3568623,32.3766071,1.0722031208674954
Jonesboro,ar,-90.7034522,35.8428646,1.091130959226179
Judsonia,ar,-91.6398575,35.270085,1.088339222614841
Kensett,ar,-93.2104815,43.3535696,1.0896168108776267
Lake City,ar,-92.2678663,44.4478474,1.0542725173210161
Lakeview,ar,-120.345792,42.1887721,1.1790209790209791
Lake Village,ar,-91.2817806,33.3287279,1.1222668451584115
Lamar,ar,-95.582343,33.6383552,1.085057471264368
Lincoln,ar,-96.7077751,40.8088861,1.0876
Little Flock,ar,-94.1377622878743,36.38912205,1.0680759584378359
Little Rock,ar,-92.2895948,34.7464809,1.153511911362926
Lonoke,ar,-91.862792,34.7414404,1.0941093639990613
Lowell,ar,-71.3161718,42.6334247,1.0404196235729712
Luxora,ar,-89.9281419,35.7561879,1.110236220472441
Madison,ar,-89.3837613,43.074761,1.1766423357664233
Magnolia,ar,-95.7507815,30.2093794,1.0634615384615385
Marianna,ar,-85.2268735,30.7743596,1.1391995291347852
Marion,ar,-94.344488,32.7931661,1.0900032404406998
Marked Tree,ar,-90.4206578,35.5328594,1.0987002437043054
Marmaduke,ar,-90.3837068,36.1860947,1.1708860759493671
Marshall,ar,-89.2998456,41.0324537,1.1094834232845028
Maumelle,ar,-92.4043219,34.8667565,1.042364045437085
Mayflower,ar,-66.1151,44.0745646,1.1064684612294093
McCrory,ar,-91.2001246,35.2561979,1.1335095836087243
McGehee,ar,-91.39753591973857,33.64011935,1.099701168160826
McRae,ar,-82.91347974051953,32.053483650000004,1.1906202723146748
Mena,ar,-68.8590201,45.709097,1.1036673928830791
Menifee,ar,-117.1770437,33.6864432,1.3860759493670887
Mineral Springs,ar,-80.6686791,34.9379274,1.1280487804878048
Monette,ar,-90.35416891705603,35.8975122,1.1035558328134747
Monticello,ar,8.9546269,42.617236,1.0827505827505828
Morrilton,ar,-92.7440538,35.1509173,1.0987784647866083
Mountainburg,ar,-94.167428,35.6356396,1.3174342105263157
Mountain Home,ar,-115.691197,43.1329504,1.0931128592069352
Mountain View,ar,-122.0832101,37.3893889,1.1196491228070176
Mulberry,ar,-94.6219034,37.5569911,1.167883211678832
Murfreesboro,ar,-86.3921096,35.8460396,1.1037181996086105
Nashville,ar,-86.7742984,36.1622767,1.1003861003861004
Newport,ar,-71.3137707,41.4899827,1.1405477621910487
Norfork,ar,-92.284323,36.2095132,1.2476547842401502
North Little Rock,ar,-92.2670941,34.769536,1.0935379256501112
Osceola,ar,-81.1437541,28.0443842,1.1675935668119646
Ozark,ar,-92.4575198,36.6467816,1.1015952980688497
Paragould,ar,-90.4973286,36.0584021,1.1199521285689862
Paris,ar,2.3200410217200766,48.8588897,1.1084905660377358
Pea Ridge,ar,-94.1152041,36.4539626,1.051685393258427
Perryville,ar,-89.8645455,37.7275127,1.138239339752407
Piggott,ar,-90.20128085241682,36.3917442,1.0773325861585878
Plumerville,ar,-92.6407177,35.1600836,1.2082794307891334
Pocahontas,ar,-94.6477383,42.7262681,1.0991424702873476
Pottsville,ar,-76.1953701,40.6851324,1.0612244897959184
Prairie Grove,ar,-88.2609184,42.2786339,1.0670204700530705
Quitman,ar,-95.4518285,32.7957722,1.2686357243319268
Ravenden,ar,-91.2517978,36.2334012,1.3566591422121896
Redfield,ar,-94.19607,41.5894322,1.1272378516624042
Rogers,ar,-94.1185366,36.3320197,1.068644459865834
Rose Bud,ar,-92.0812595,35.3314708,1.349896480331263
Russellville,ar,-93.1337856,35.2784173,1.0755280853087006
Salem,ar,-123.033121,44.9391565,1.1117898594990836
Searcy,ar,-92.7098744,35.9018987,1.11025007330457
Shannon Hills,ar,-92.3954325,34.6200931,1.0771720189195917
Sherwood,ar,-92.2243153,34.8150907,1.0764116430730077
Siloam Springs,ar,-94.5404962,36.1881365,1.0703800406150275
Star City,ar,38.1130637,55.8774221,1.1379980563654033
St. Charles,ar,-90.6747372,38.7877791,1.7740384615384615
