,state,latitude,longitude,crime_index
Adelanto,ca,-117.409215,34.5827699,1.043025716853672
Agoura Hills,ca,-118.7657042,34.14791,1.031966813079551
Alameda,ca,-121.899142,37.6090291,1.069867058689343
Albany,ca,19.9999619,41.000028,1.0723995419011103
Alhambra,ca,-3.5881102773279347,37.176059949999996,1.045168971085729
Aliso Viejo,ca,-117.7258122,33.5761376,1.0177235056558271
Alturas,ca,-120.5423271,41.487123,1.0348037231889924
American Canyon,ca,-122.2608044,38.1749179,1.0500684529630353
Anaheim,ca,-117.911732,33.8347516,1.0531427037565517
Anderson,ca,-95.6258199,31.7819242,1.0813655761024181
Angels Camp,ca,-120.5405039,38.0695732,1.0434893834740342
Antioch,ca,-121.805789,38.0049214,1.0689269448957306
Apple Valley,ca,-93.21772,44.7319094,1.0393107452971602
Arcadia,ca,-118.0401497,34.1362075,1.0488972648092498
Arcata,ca,-124.08284,40.866517,1.0757691468470434
Arroyo Grande,ca,-120.590725,35.1185869,1.034198372553332
Artesia,ca,-118.0796195,33.8690197,1.0433875677930746
Arvin,ca,-118.828431,35.209129,1.0595571042134702
Atascadero,ca,-120.6707255,35.4894169,1.0371823800647504
Atherton,ca,-122.2058272,37.453773,1.0364165051232346
Atwater,ca,-94.7810199,45.1363343,1.0841657667386608
Auburn,ca,-85.4807825,32.6098566,1.0422505457362157
Avalon,ca,-118.3272612,33.34221,1.032778076303063
Avenal,ca,-120.1290272,36.0041223,1.02132245400662
Azusa,ca,-117.9056046,34.1338751,1.044479714314056
Bakersfield,ca,-119.0194639,35.3738712,1.0932153164296021
Baldwin Park,ca,-117.9611761,34.0854739,1.0346286678442436
Banning,ca,-116.875289,33.9255685,1.0433386327503975
Barstow,ca,-117.0172077,34.8957684,1.1071680278595415
Bear Valley,ca,-120.1193489,37.5688237,1.0252406028690757
Beaumont,ca,-94.1018461,30.0860459,1.0405765836438516
Bell,ca,-97.4314413,31.0081659,1.0349282698062026
Bellflower,ca,-118.1167679,33.8825705,1.0479947147520596
Bell Gardens,ca,-118.1503953,33.9694561,1.0375536987206722
Belmont,ca,7.2386756,48.4086571,1.0333675564681726
Belvedere,ca,16.38040238207785,48.193917150000004,1.031693472090823
Benicia,ca,-122.1585777,38.049365,1.0289417301815882
Berkeley,ca,-122.23963364918777,37.8753497,1.1124051210215982
Beverly Hills,ca,-118.3963062,34.0696501,1.094940223904592
Big Bear,ca,-89.469282,46.550204,1.086800979099981
Biggs,ca,-121.7127513,39.4123876,1.0463499420625724
Bishop,ca,-118.3952405,37.363679,1.1273117126775662
Blythe,ca,-114.5937537,33.6134767,1.0783347579063804
Bradbury,ca,-117.9708982,34.1469511,1.0596877869605141
Brawley,ca,-115.530267,32.9786566,1.058266044960006
Brea,ca,5.622980505851396,51.1386239,1.0700260446155587
Brentwood,ca,-121.696026,37.9317766,1.0467144144281721
Brisbane,ca,153.0234991,-27.4689682,1.0720606826801518
Broadmoor,ca,-122.4826042,37.6921166,1.0526315789473684
Buellton,ca,-120.1936692,34.6134727,1.0316997277323998
Buena Park,ca,-117.9962165,33.870413,1.056458542607138
Burbank,ca,-118.3258554,34.1816482,1.0546280051668626
Burlingame,ca,-122.366082,37.5841026,1.0839065097630147
Calabasas,ca,-118.6440973,34.1446643,1.032728181212525
Calexico,ca,-115.498703,32.6790572,1.0517271307064746
California City,ca,-117.9859038,35.125801,1.0548921014037294
Calimesa,ca,-117.0619774,34.0039044,1.0727433043094896
Calistoga,ca,-122.5797054,38.5787966,1.0391312488298072
Camarillo,ca,-119.0383541,34.2176371,1.0259952892514506
Campbell,ca,-121.9448818,37.2870626,1.0694193971473405
Canyon Lake,ca,-117.2626151,33.6836539,1.0209636219501452
Capitola,ca,-121.9540577,36.9762927,1.1167211167211166
Carlsbad,ca,-117.3505966,33.1580933,1.0411448558266507
Carmel,ca,-86.1189257,39.9788017,1.0750580345628062
Carpinteria,ca,-119.5184564,34.3988838,1.0293029450939766
Carson,ca,-101.3353895,35.3636563,1.0541072574417871
Cathedral City,ca,-116.4668702427116,33.822998049999995,1.0282224551006396
Central Marin,ca,-74.2131071,4.6145524,1.0666513379127986
Ceres,ca,7.3896883,45.3133772,1.057434770220214
Cerritos,ca,-118.0539323,33.8644291,1.0709095217408475
Chico,ca,-121.8374777,39.7284945,1.0630726525160186
Chino,ca,-117.690075,34.0133561,1.0555127051463342
Chino Hills,ca,-117.760056,33.9926803,1.0242264445416602
Chowchilla,ca,-120.1561625984611,37.094308999999996,1.0333120476798638
Chula Vista,ca,-117.0841955,32.6400541,1.0346982523707444
Citrus Heights,ca,-121.2810611,38.7071247,1.058804917736395
Claremont,ca,-117.7197785,34.0966764,1.0472451677980426
Clayton,ca,-91.3667151,42.8547706,1.0314826804791195
Clearlake,ca,-122.6263728,38.9582307,1.080974025974026
Cloverdale,ca,-123.0172227,38.8054624,1.038608305274972
Clovis,ca,-119.7029194,36.8252277,1.044880441446965
Coachella,ca,-116.15327749528778,33.68656595,1.0457351833924922
Coalinga,ca,-120.3601496,36.139678,1.03680606505258
Colma,ca,-122.4596031,37.6766821,1.5231481481481481
Colton,ca,-117.3136547,34.0739016,1.0645852630814217
Colusa,ca,-122.2209563,39.1465578,1.0428595629341013
Commerce,ca,-118.156586,34.002581,1.1863480162449234
Compton,ca,-118.226624,33.894927,1.0727560586932676
Concord,ca,-71.537476,43.207178,1.078957240745703
Corcoran,ca,-119.5604015,36.098007,1.0409310167189623
Corning,ca,-77.05653215584428,42.1481965,1.0754942284728672
