,state,latitude,longitude,crime_index
Alamosa,co,-105.7890452,37.5780995,1.114316874876066
Arvada,co,-105.0811573,39.8005505,1.063983910000654
Aspen,co,-106.8235606,39.1911128,1.0670151454228656
Aurora,co,-88.3147539,41.7571701,1.0733499737256962
Avon,co,2.7207225,48.4048867,1.0323275862068966
Basalt,co,-112.164417,43.315471,1.0064148253741982
Bayfield,co,-91.1983175,46.4710241,1.0326797385620916
Black Hawk,co,-92.3030235,42.4607526,4.4765625
Boulder,co,-105.270545,40.0149856,1.0657764999677475
Bow Mar,co,-105.0499841,39.628321,1.0302398331595413
Breckenridge,co,-98.9032554,32.7558392,1.082693443591258
Brighton,co,-0.1400561,50.8214626,1.0598102538623513
Broomfield,co,-105.0691464,39.9203827,1.060128817198226
Buena Vista,co,-95.1127525,42.7445814,1.0213510675533777
Burlington,co,-73.212906,44.4761601,1.0598958333333333
Canon City,co,-105.2224947,38.4423644,1.1109390817602574
Carbondale,co,-89.216655,37.7274692,1.0270854343754503
Castle Rock,co,-104.8586826,39.3722552,1.0298029996428997
Center,co,-94.1803576,31.7952814,1.0679065743944636
Cherry Hills Village,co,-104.9594253,39.6416544,1.0256905256905258
Colorado Springs,co,-104.8253485,38.8339578,1.0853146474080992
Columbine Valley,co,-105.032206,39.6010989,1.023041474654378
Commerce City,co,-104.9338675,39.8083196,1.070882753579853
Cortez,co,-108.5840736,37.3494528,1.0772748056698673
Craig,co,-107.5464541,40.5152491,1.0625703353589917
Crested Butte,co,-106.984043,38.8698201,1.0298594847775175
Cripple Creek,co,-105.1783149,38.7466555,1.1329661683713612
Dacono,co,-104.939421,40.0847062,1.028811326967402
Delta,co,-95.6749486,33.3926893,1.0814200918355918
Denver,co,-104.9848623,39.7392364,1.0900347216029829
Dillon,co,-112.637844,45.216416,1.0876656472986748
Durango,co,-104.833333,24.833333,1.0729593690000518
Eaton,co,-84.8443666,42.5935964,1.0210896309314588
Edgewater,co,-73.975694,40.8270448,1.1409658773074771
Elizabeth,co,-74.2107006,40.6639916,1.047752808988764
Englewood,co,-104.9879641,39.6482059,1.109942448898591
Erie,co,-80.0852695,42.1294712,1.0216038909625609
Estes Park,co,-105.523216,40.3771926,1.0270059319388074
Evans,co,-104.6921874,40.3763701,1.0440583738707436
Fairplay,co,-105.99959752584583,39.225224499999996,1.0789133247089262
Firestone,co,-10.33559592279459,6.37340855,1.0199254402879547
Florence,co,11.2555757,43.7698712,1.034047919293821
Fort Collins,co,-105.0668085,40.5508527,1.048083843898671
Fort Morgan,co,-103.799951,40.2502582,1.0592690444738
Fountain,co,-104.66307849669982,38.579988650000004,1.0525111948712993
Fowler,co,-119.6784697,36.6305058,1.051799824407375
Fraser/Winter Park,co,-105.8176116,39.9475803,1.081822016026993
Frederick,co,-77.4127562,39.415779,1.005267593763169
Frisco,co,-96.8236116,33.1506744,1.0739130434782609
Fruita,co,-108.7289883,39.1588697,1.0378406398104265
Glendale,co,-118.2478471,34.1469416,1.3824919644545284
Glenwood Springs,co,-107.3255001,39.5507448,1.104218609753665
Granby,co,-72.721834,45.3990409,1.0478199718706047
Grand Junction,co,-108.5507317,39.063956,1.085521274765829
Greeley,co,-104.7091322,40.4233142,1.054276692142236
Green Mountain Falls,co,-105.02669434760277,38.9339225,1.0826330532212884
Gunnison,co,-107.0603126,38.6476702,1.0417102705935117
Hayden,co,12.1373506,46.5383332,1.0597389558232932
Holyoke,co,-72.60765,42.2071434,1.0317604355716878
Hotchkiss,co,-107.71982686151051,38.80139,1.1105150214592274
Hudson,co,-71.4397167,42.7654433,1.0780730897009967
Idaho Springs,co,-105.509268,39.7426079,1.151414309484193
Ignacio,co,-107.633113,37.1150037,1.109865470852018
Johnstown,co,-78.9219698,40.3267407,1.0438669839840484
Kersey,co,0.9186492,52.059731,1.0428826682549137
Lafayette,co,-92.0198427,30.2240897,1.0561276336291578
La Junta,co,-103.5438321,37.9850091,1.129314048403265
Lakeside,co,-95.1733278,42.6213691,60.625
Lamar,co,-95.582343,33.6383552,1.0304501903136896
La Salle,co,-99.0982257,28.3391148,1.05875
Leadville,co,-106.29536209696522,39.2465755,1.0502692998204668
Limon,co,7.576336,44.202726,1.0388802488335926
Littleton,co,-105.016649,39.613321,1.0595523335586001
Lone Tree,co,-91.425994,41.4880775,1.1501751602881882
Longmont,co,-105.1019287,40.1672117,1.061851564414672
Louisville,co,-85.759407,38.2542376,1.0330670629760357
Loveland,co,-105.04436132094955,40.385549,1.0465658922593082
Mancos,co,-108.2925568,37.3440947,1.0804758572428272
Manitou Springs,co,-104.9178731,38.8585777,1.0430586488492948
Mead,co,-104.99859,40.2333174,1.0400081234768481
Meeker,co,-94.5175345,45.1183643,1.0603217158176943
Milliken,co,-79.28593195098604,43.819031100000004,1.0177989471045374
Monte Vista,co,-106.1496731,37.5816182,1.1067580803134183
Montrose,co,-108.2403855,38.4375391,1.0790226947454509
Mountain View,co,-122.0832101,37.3893889,1.1959334565619224
Mountain Village,co,-163.7294444,62.0855556,1.0862068965517242
Mount Crested Butte,co,-106.9690519,38.9076593,1.151338766006985
Nederland,co,5.38721,52.15517,1.0634615384615385
New Castle,co,-80.3471856,40.9999202,1.0370951913640825
Northglenn,co,-104.987552,39.9100858,1.074048706240487
Oak Creek,co,-87.8631362,42.8858503,1.1148717948717948
Olathe,co,-94.81887,38.8838856,1.056469298245614
Pagosa Springs,co,-107.0108163,37.2695661,1.0929549902152642
Palisade,co,-93.4885687,46.7132862,1.0635328681601175
Parachute,co,-108.0529619,39.4536891,1.1733333333333333
Parker,co,-97.7935767,32.7599475,1.0326029798422436
Platteville,co,-104.8227494,40.2149829,1.0550739418663948
Rangely,co,-108.8048292,40.0874759,1.049604916593503
Rifle,co,-107.7831199,39.5347023,1.0633817215293395
Salida,co,-105.998902,38.5347193,1.078699884507507
Severance,co,-95.2499751,39.7672208,1.0249906751212234
Sheridan,co,-100.4576457,39.3530598,1.1699021338039468
Silt,co,-117.7495072,34.9996976,1.0503888024883359
Silverthorne,co,-106.08221484402384,39.657180499999996,1.0580032336297494
Simla,co,77.1709729,31.1041526,1.1775700934579438
Snowmass Village,co,-106.9378207,39.2130418,1.0480664980122876
South Fork,co,-123.727236,39.4260015,1.3563218390804597
Springfield,co,-89.6439575,39.7990175,1.0840029218407596
Sterling,co,-101.0452671,31.8151416,1.0923156266116556
Telluride,co,-107.812285,37.9374939,1.0591739475774424
Thornton,co,-104.985181,39.8695516,1.0668926903381915
Timnath,co,-104.9820861,40.5294388,1.0622637756116968
Trinidad,co,-61.26130538878063,10.443024300000001,1.1097831444061115
Walsh,co,-97.7469943,48.3693784,1.2241715399610136
Westminster,co,-0.1265398,51.5004439,1.0715259808378208
Woodland Park,co,-105.057045,38.9938016,1.0456568739666794
Wray,co,-102.223253,40.0758822,1.051909051909052
Yuma,co,-114.47603157249804,32.665135,1.0472190034762456
