,state,latitude,longitude,crime_index
Acworth,ga,-84.6768796,34.0659329,1.03952707124471
Adairsville,ga,-84.9341093,34.3687021,1.036543508984454
Albany,ga,19.9999619,41.000028,1.1133899638613662
Alma,ga,24.4803663,46.2135922,1.0712623618382782
Alpharetta,ga,-84.2747329,34.0709576,1.0316862233166695
Americus,ga,-84.2326876,32.0723862,1.1278623428193248
Bainbridge,ga,-84.5754768,30.9038252,1.0924411813782746
Barnesville,ga,-96.41979,46.652182,1.047661602621388
Blackshear,ga,-82.2420661,31.3060513,1.1054451166810717
Blakely,ga,-84.9343388,31.3773475,1.072381368904439
Braselton,ga,-83.7626729,34.1092735,1.0229324225420835
Braswell,ga,-84.9627665,33.9894077,1.0287958115183247
Brookhaven,ga,-90.4406506,31.5790588,1.0569116088719992
Calhoun,ga,-96.6736551,28.5031572,1.0499736364168961
Canon,ga,-83.1098717,34.3462158,1.0191158900836321
Centerville,ga,-95.9785301,31.2578221,1.0566590272472625
Clarkston,ga,-84.2396434,33.8095487,1.071417445482866
Claxton,ga,-81.9040047,32.1615815,1.10595130748422
College Park,ga,-76.94610290199051,38.99203005,1.160230396648776
Coolidge,ga,-102.0087927,38.0416798,1.0438095238095237
Dillard,ga,-83.3871006,34.9700911,1.0756756756756756
Donalsonville,ga,-84.8790911,31.0404625,1.0551398188263095
Douglasville,ga,-84.7477136,33.7514966,1.1276546563032737
Dunwoody,ga,-84.3342686,33.9463786,1.0798307531884175
Eatonton,ga,-83.3884961,33.3267997,1.0510188679245283
Edison,ga,-74.39451734508772,40.5382375,1.0328671328671328
Elberton,ga,-82.8670839,34.1112226,1.1240453598704003
Ellijay,ga,-84.4827394,34.6950278,1.051684088269454
Emerson,ga,-95.4021347,41.0172008,1.072988147223955
Eton,ga,-0.6143391974153054,51.494865399999995,1.0621592148309706
Fairburn,ga,-84.5810418,33.5670562,1.0723684210526316
Folkston,ga,-82.0097846,30.8305818,1.0572715572715572
Forest Park,ga,-87.81367,41.8794758,1.1052138312040645
Franklin Springs,ga,-83.1443161,34.2848284,1.0284090909090908
Glennville,ga,-118.7036997,35.7288416,1.038552321007081
Grantville,ga,-84.8357679,33.2348419,1.0506828528072838
Grovetown,ga,-82.1981764,33.4504157,1.0278857755731332
Hampton,ga,-76.3452057,37.0300969,1.0225012431626057
Homerville,ga,-82.7470849,31.0365983,1.091993185689949
Kennesaw,ga,-84.6154897,34.0234337,1.0318697497185416
Lake City,ga,-92.2678663,44.4478474,1.0916724982505248
Lavonia,ga,-83.1071278,34.4353309,1.0957446808510638
Lilburn,ga,-84.1429719,33.8901036,1.0623384759965542
Manchester,ga,-2.2451148,53.4794892,1.0917129863567459
Marietta,ga,-84.5496148,33.9528472,1.0723044811166917
Maysville,ga,-83.744365,38.6411854,1.0329562223315298
McDonough,ga,-90.6780272,40.4376858,1.0629828367012977
McIntyre,ga,-118.1153491,45.8049057,1.1179401993355482
Millen,ga,-81.9492812,32.8040512,1.0838852097130243
Milton,ga,-87.0396881,30.6324149,1.0165223251054483
Morrow,ga,-84.3393683,33.5831662,1.1961760083813515
Mount Zion,ga,35.22927441968268,31.7705057,1.0421686746987953
Nahunta,ga,-81.981226,31.20439,1.0739404869251579
Nashville,ga,-86.7742984,36.1622767,1.1450302146280475
Newnan,ga,-84.7996573,33.3806716,1.0659872298624755
Oxford,ga,-1.2578499,51.7520131,1.0346598202824133
Pelham,ga,-86.8099884,33.285669,1.1148531951640759
Pine Mountain,ga,-84.8540982,32.8648522,1.107016300496102
Pooler,ga,-81.2495131,32.1158983,1.0564674720070635
Rincon,ga,-81.2353905,32.2960289,1.0379142300194932
Sandersville,ga,-82.8116031,32.9832812,1.092988929889299
Sandy Springs,ga,-84.3785379,33.9242688,1.0387775370169736
Shiloh,ga,-89.8973233,38.5614383,1.1525773195876288
Sparta,ga,22.42486178272022,37.08114525,1.0802315963606286
Springfield,ga,-89.6439575,39.7990175,1.0403755868544602
Suwanee,ga,-84.0712997,34.0514898,1.0435985185879706
Sylvania,ga,-85.8124715,34.5623077,1.1170168932838895
Tallapoosa,ga,-85.8023774,32.8595687,1.0840202916930881
Thomasville,ga,-80.081817,35.8831786,1.0884368423892516
Thunderbolt,ga,175.9573013,-39.185145,1.0511766903249906
Tyrone,ga,-78.2383479,40.6705508,1.028452556703798
Warner Robins,ga,-83.606568,32.6200973,1.1062605222974824
Waynesboro,ga,-78.8893999,38.0686668,1.10024132170039
Woodstock,ga,-74.1182492,42.0410578,1.0306841948013146
