,state,latitude,longitude,crime_index
Aberdeen,id,-2.0928095,57.1482429,1.026207605344296
American Falls,id,-112.8544377,42.7860227,1.034680753330271
Ashton,id,-95.791128,43.311362,1.0304182509505704
Bellevue,id,-122.192337,47.6144219,1.015977058582548
Blackfoot,id,-112.348357,43.190039,1.0499246104875188
Boise,id,-116.200886,43.6166163,1.037317239769318
Bonners Ferry,id,-116.31614,48.6912792,1.0399079048349962
Buhl,id,7.0853,48.7253,1.034009009009009
Caldwell,id,-97.5959641,29.8298971,1.0416637901277184
Challis,id,-114.23137,44.5051319,1.0266789328426862
Chubbuck,id,-112.47315011566246,42.92765095,1.0768883150419626
Coeur d'Alene,id,-116.7811531,47.6742994,1.0327043784445806
Cottonwood,id,-95.1658845,44.019068,1.0171122994652406
Emmett,id,-96.056105,39.307218,1.0303597122302157
Fruitland,id,-91.1284804,41.356252,1.016812865497076
Garden City,id,-100.8726618,37.9716898,1.0549322695919554
Gooding,id,-114.8286924,43.0031041,1.0321087648249927
Grangeville,id,-116.1223265,45.926552,1.012792511700468
Hagerman,id,-114.898669,42.8121244,1.0339750849377123
Hailey,id,-114.315325,43.519629,1.0136443148688046
Heyburn,id,-113.7639048,42.5585202,1.0242774566473989
Idaho Falls,id,-112.03628,43.4887907,1.0362872052570544
Jerome,id,-114.2867043,42.702266,1.0352319436288901
Kellogg,id,-92.9073035,41.7178955,1.0514879546528106
Ketchum,id,-114.363662,43.680741,1.0302497361941612
Kimberly,id,-88.3400807,44.2717086,1.0214708785784798
Lewiston,id,-117.0216144,46.4195913,1.0614011114147763
McCall,id,-116.0987364,44.911006,1.0437729454956226
Meridian,id,-88.703656,32.3643098,1.0249109680204325
Middleton,id,-89.5119565,43.0962919,1.0239428231089935
Montpelier,id,-72.575114,44.2602164,1.0437549721559267
Moscow,id,37.6174943,55.7504461,1.028288108232762
Mountain Home,id,-115.691197,43.1329504,1.041516993644653
Nampa,id,-116.559631,43.5737361,1.0426340013033562
Osburn,id,-115.9993296,47.506038,1.0322788896061976
Parma,id,10.3280833,44.8013678,1.0552973977695168
Payette,id,-116.7651123,44.0374651,1.0439283344392833
Pinehurst,id,-93.7746117,30.1071543,1.041460396039604
Pocatello,id,-112.450627,42.8620287,1.0559684326007714
Ponderay,id,-116.5338037,48.3054806,1.1266375545851528
Post Falls,id,-116.9480877,47.7110106,1.0378972762209318
Preston,id,-2.6992717,53.7593363,1.0276522682089282
Priest River,id,-116.909365,48.1807415,1.0610278372591007
Rathdrum,id,-116.8969312,47.8111504,1.0219669937555753
Rexburg,id,-111.7870222,43.8235163,1.0102373836270568
Rigby,id,-111.918002,43.6751937,1.0286390532544378
Rupert,id,-113.677234,42.6190756,1.0338456225177
Salmon,id,-113.8959008,45.1757547,1.0366125437758675
Sandpoint,id,-116.553247,48.2765903,1.0507156542319396
Shelley,id,0.9577423,52.0071487,1.034139724169116
Soda Springs,id,-111.6046687,42.6543652,1.0346649059095412
Spirit Lake,id,-95.1022169,43.4221843,1.0439137134052388
St. Anthony,id,-93.2187368,45.0283001,1.0302351623740202
Sun Valley,id,-95.42850117122116,33.670169,1.0479082321187585
Twin Falls,id,-114.4602554,42.5704456,1.0501753760180725
Weiser,id,-116.9693327,44.2509976,1.0102439932948408
Wendell,id,-96.101169,46.035516,1.0398965644625047
