,state,latitude,longitude,crime_index
Addison,il,-87.9889556,41.931696,1.0270476605954848
Aledo,il,-97.60396629774493,32.69900905,1.0229118329466358
Alexis,il,-90.5559675,41.0633703,1.0356687898089172
Algonquin,il,-88.2942493,42.1655801,1.021150374000516
Altamont,il,-95.2971928,37.1903448,1.0228270412642668
Alton,il,-90.1843091,38.8908583,1.1042109256449166
Amboy,il,-115.7444411,34.5577721,1.0225988700564972
Anna,il,-0.6461361,39.0204311,1.0951338199513383
Annawan,il,-89.9045518,41.3972573,1.0234466588511137
Antioch,il,-121.805789,38.0049214,1.0224190034436713
Arcola,il,-102.4906662,49.6350309,1.027552101730837
Arlington Heights,il,-87.9802164,42.0811563,1.0170766388922112
Arthur,il,-101.6974898,41.5721288,1.0220720720720722
Ashland,il,-90.6802594,46.2062319,1.058425063505504
Assumption,il,-89.0489712,39.5203188,1.0522875816993464
Athens,il,23.7283052,37.9839412,1.019341348667015
Auburn,il,-85.4807825,32.6098566,1.0064322469982847
Aurora,il,-88.3147539,41.7571701,1.0254975373403274
Aviston,il,-89.6075894,38.6067183,1.0150375939849625
Bannockburn,il,-87.8664579,42.1933581,1.0517133956386293
Barrington,il,-88.1361888,42.1539141,1.019283209972731
Barrington Hills,il,-88.1556336,42.1447475,1.0135552913198573
Barry,il,0.0211297,43.1463184,1.045016077170418
Bartlett,il,-88.1850028,41.9908485,1.0109051787373466
Bartonville,il,-89.6520455,40.6503158,1.0694150236271793
Batavia,il,106.827183,-6.1753942,1.029054310672237
Beardstown,il,-90.4242916,40.0175483,1.1157603686635944
Bedford Park,il,-87.7770096,41.7690519,2.3637873754152823
Beecher,il,-87.6215144,41.3405417,1.020577052113621
Belgium,il,4.6667145,50.6402809,1.0792349726775956
Belleville,il,6.0982683,48.8176714,1.0655509406303445
Bellwood,il,-87.883117,41.8814197,1.0614002445377704
Belvidere,il,-88.841734,42.2579991,1.0269259833750946
Bensenville,il,-87.9431781,41.9538384,1.0251537785588751
Berkeley,il,-122.23963364918777,37.8753497,1.034612341772152
Berwyn,il,-87.7936685,41.8505874,1.0266352235750065
Bethalto,il,-90.0406568,38.9093789,1.0222222222222221
Bethany,il,-94.0282861,40.2683344,1.050079491255962
Blandinsville,il,-90.8659692,40.556152,1.0636515912897822
Bloomingdale,il,-88.0809036,41.9575285,1.0430230431602048
Bloomington,il,-86.5342881,39.1670396,1.0385880906960965
Blue Island,il,-87.6801848,41.6572753,1.0414116421409039
