,state,latitude,longitude,crime_index
Bedford,in,-0.4675041,52.1363806,1.04837615854118
Bluffton,in,-95.2330859,46.4691278,1.0340438129070455
Brownsburg,in,-86.3977736,39.8433769,1.0220329568598407
Clinton,in,-89.420064,38.5896187,1.072537757923846
Columbia City,in,-85.4884616,41.156928,1.0328153862870804
Columbus,in,-83.0007065,39.9622601,1.0629909774749433
Crawfordsville,in,-86.8990249,40.0401991,1.0513138324243927
Crown Point,in,-87.3653136,41.4169806,1.0198081803500214
East Chicago,in,-87.4548466,41.6397857,1.093805245877981
Edinburgh,in,-3.1883749,55.9533456,1.1108932461873637
Ellettsville,in,-86.6250008,39.2339348,1.0297132669737037
Elwood,in,-88.1117242,41.4039201,1.0479770855710706
Evansville,in,-87.5558483,37.9747645,1.0962786745964317
Fairmount,in,-84.7013905811398,34.437274,1.023602033405955
Fishers,in,-85.93051973849619,39.96403895,1.0166586392477959
Fort Wayne,in,-85.1386015,41.0799898,1.0626879413140486
Franklin,in,-95.2231752,33.2002659,1.0485791769838462
Gary,in,-87.3371372,41.6021292,1.08271854539612
Greenfield,in,-72.5979752,42.6097476,1.0294298245614035
Greenwood,in,-96.2471338,37.8709542,1.0546850176430256
Griffith,in,146.0551022,-34.2870772,1.0384784107288338
Hammond,in,-87.500043,41.5833658,1.0830840015425327
Hartford City,in,-85.369972,40.4511541,1.0206438068579426
Highland,in,-5.0038367,57.5066357,1.0381638163816382
Hobart,in,147.3281233,-42.8825088,1.0728120516499282
Jasper,in,-94.000884,30.7485258,1.0319918100966152
Jeffersonville,in,-85.7371604,38.2770227,1.0616683779309766
Kokomo,in,-86.1336351,40.4864444,1.0656582245656496
Lafayette,in,-92.0198427,30.2240897,1.0759798856513054
La Porte,in,-95.0193729,29.6657838,1.0551560977872616
Lawrence,in,-95.2359496,38.9719384,1.051849004693316
Loogootee,in,-86.9141696,38.6769945,1.0231873389768127
Marion,in,-94.344488,32.7931661,1.0710769341334578
Merrillville,in,-87.3328139,41.4828144,1.0372364934915332
Munster,in,-8.570897276292667,52.307621600000004,1.032884169195074
New Haven,in,-72.9250518,41.3082138,1.049554389735162
New Whiteland,in,-86.10124714754735,39.5607655,1.0209868631848766
Noblesville,in,-86.0085955,40.0455918,1.0207071723945669
Plymouth,in,-4.1425658,50.3712659,1.0514586709886549
Porter,in,-87.0724971,41.4457032,1.0209500103712923
Portland,in,-122.6741949,45.5202471,1.0319657274674576
Rensselaer,in,-87.1508562,40.9367045,1.0809278350515463
Sellersburg,in,-85.7550735,38.3979718,1.022795843110962
Seymour,in,-99.2603073,33.5942438,1.0933754575999197
Shelbyville,in,-85.2235666,38.2120144,1.0593946906311331
South Bend,in,-86.2500066,41.6833813,1.1120811425880877
Speedway,in,-86.2672127,39.8022653,1.089657433207671
St. John,in,-64.75504062120726,18.335601349999997,1.0163978785582855
Tipton,in,-91.127935,41.7697434,1.0264091446590462
Westfield,in,-72.7584859,42.1390327,1.0175414236786078
West Lafayette,in,-86.9080655,40.4258686,1.0168450176994752
Westville,in,-62.7085523,45.5615392,1.026873109094145
Whitestown,in,-86.3458296,39.9972626,1.0330275229357797
Zionsville,in,-86.2616968,39.950724,1.007853782120883
