,state,latitude,longitude,crime_index
Abilene,ks,-99.7475905,32.44645,1.0304731355252605
Alma,ks,24.4803663,46.2135922,1.001293661060802
Alta Vista,ks,-92.4171216,43.1985819,1.0047732696897376
Anthony,ks,-98.0311728,37.1533554,1.0326765977895243
Arkansas City,ks,-97.0388338,37.0622562,1.085594811401263
Arma,ks,-6.6540432,54.3481977,1.0343377715487037
Atchison,ks,-95.4359392,40.4144817,1.0616614330573795
Attica,ks,23.79940251269328,37.9946543,1.0629496402877698
Atwood,ks,-88.4622789,39.7994772,1.052325581395349
Augusta,ks,-81.9748429,33.4709714,1.0776730233554745
Basehor,ks,-94.9385763,39.1416692,1.019164848862574
Baxter Springs,ks,-94.7355042,37.0236759,1.0519580240593807
Bel Aire,ks,-97.266988,37.7625125,1.034658264663112
Belleville,ks,6.0982683,48.8176714,1.0351624933404369
Beloit,ks,-89.031784,42.5083272,1.034993270524899
Bonner Springs,ks,-94.8835754,39.059726,1.0453503184713375
Bronson,ks,-96.2139129,42.4108256,1.051948051948052
Burlington,ks,-73.212906,44.4761601,1.0396856581532417
Carbondale,ks,-89.216655,37.7274692,1.0554339897884755
Cheney,ks,3.9477501,47.9073765,1.038972948188904
Cherryvale,ks,-95.5524788,37.270344,1.0493653032440056
Claflin,ks,-98.5336841,38.525011,1.0476973684210527
Clay Center,ks,-97.124743,39.376941,1.062341611758743
Clearwater,ks,-82.8001026,27.9658533,1.0388235294117647
Coffeyville,ks,-95.6163634,37.0372999,1.0861771058315335
Colby,ks,-101.0526881,39.3959655,1.038454288407163
Colony,ks,-95.3655356,38.0708626,1.078048780487805
Columbus,ks,-83.0007065,39.9622601,1.044378698224852
Concordia,ks,12.8449558,45.7561044,1.0599510603588906
Dodge City,ks,-100.0170787,37.7527982,1.0555392838837225
Edwardsville,ks,-89.953157,38.8114364,1.0663706992230855
El Dorado,ks,-92.6662674,33.20763,1.0611675323668501
Elkhart,ks,-85.9766671,41.6819935,1.04056338028169
Ellinwood,ks,-98.5809106,38.3555675,1.0394871794871794
Ellsworth,ks,-98.2149289,38.6942009,1.027489104927925
Emporia,ks,-96.181623,38.4040054,1.0461470077181072
Eudora,ks,-95.0985808,38.9433372,1.0286872466479575
Fort Scott,ks,-94.7082882,37.8399791,1.03506275067926
Frontenac,ks,-0.14058318505447778,44.7293143,1.0522607163828537
Galena,ks,-90.4294726,42.4157304,1.0635533707865168
Garden Plain,ks,-97.6837167,37.6585594,1.061742006615215
Gardner,ks,-71.9831716,42.5823564,1.0205587295874758
Garnett,ks,-95.2419192,38.2805772,1.0585696670776819
Goddard,ks,-97.5753256,37.6597363,1.0245591939546599
Goessel,ks,-97.3489233,38.2463992,1.1008064516129032
Goodland,ks,-101.7101722,39.350833,1.053726566072245
Grandview Plaza,ks,-96.789118,39.029693,1.0799744081893794
Halstead,ks,-97.5086518,38.0014004,1.0351833498513379
Haven,ks,-97.7828272,37.8989003,1.0731707317073171
Havensville,ks,-96.078052,39.511106,1.3121019108280254
Hays,ks,-98.0393127,30.0447901,1.042117354264382
Herington,ks,-96.9425139,38.671119,1.0794905577514273
Hesston,ks,-97.4314857,38.1385315,1.0331905781584583
Hiawatha,ks,-91.6865902,42.0482764,1.0990702148124398
Highland,ks,-5.0038367,57.5066357,1.07007007007007
Hillsboro,ks,-122.989827,45.5228939,1.0458422174840085
Hoisington,ks,-98.7781394,38.5180672,1.0559131134352373
Holton,ks,-95.7366657,39.4652865,1.0503241741278173
Holyrood,ks,-98.4111777,38.5869549,1.1384248210023866
Horton,ks,-95.5253708,39.6597257,1.064919594997022
Hutchinson,ks,-101.34844,35.8148236,1.0731369493705325
Independence,ks,-94.4137923,39.0924792,1.1212192538543015
Inman,ks,-97.7733809,38.2319537,1.0693293142426525
