,state,latitude,longitude,crime_index
Adairville,ky,-86.8519417,36.6675425,1.0
Albany,ky,19.9999619,41.000028,1.0034982508745627
Alexandria,ky,29.894378,31.199004,1.0247626908790755
Anchorage,ky,-149.894852,61.2163129,1.0094146541137945
Ashland,ky,-90.6802594,46.2062319,1.0793195529621205
Auburn,ky,-85.4807825,32.6098566,1.0203488372093024
Audubon Park,ky,-85.7252394,38.2039592,1.0412234042553192
Augusta,ky,-81.9748429,33.4709714,1.0273127753303966
Barbourville,ky,-83.8888138,36.8664765,1.0511326860841423
Bardstown,ky,-85.4669025,37.8092279,1.0558954603822042
Bardwell,ky,-96.6961027,32.2690354,1.0238450074515648
Beattyville,ky,-83.7068606,37.5717526,1.0192629815745393
Beaver Dam,ky,-88.837329,43.4577692,1.0322222222222222
Bellefonte,ky,-82.6901626,38.4925809,1.0157194679564692
Bellevue,ky,-122.192337,47.6144219,1.0316576795964516
Benton,ky,-94.0481042,45.7162129,1.08047522976911
Berea,ky,-81.8543026,41.3661614,1.0292397660818713
Bloomfield,ky,-92.4149074,40.7516884,1.0178739416745062
Bowling Green,ky,-86.4436018,36.9903199,1.0994585433811597
Brandenburg,ky,13.2461296,52.8455492,1.0513439007580978
Brodhead,ky,-84.4138259,37.4042496,1.0304568527918783
Brownsville,ky,-97.4890856,25.9140256,1.0251497005988024
Burgin,ky,-84.7611039,37.7522783,1.0285423037716617
Burkesville,ky,-85.3705186,36.7903399,1.0157642220699108
Burnside,ky,-3.5422438,58.5991551,1.0596685082872928
Cadiz,ky,-6.2928976,36.5297438,1.0609801720912833
Calvert City,ky,-88.3500362,37.0333896,1.0449438202247192
Campbellsville,ky,-85.3419069,37.3433974,1.08008356545961
Carlisle,ky,-2.9362311,54.8948478,1.021494370522006
Carrollton,ky,-96.8902816,32.9537349,1.0259365994236311
Catlettsburg,ky,-82.6004369,38.4048042,1.0675830469644902
Cave City,ky,-85.9562169,37.1367544,1.0420236638106894
Centertown,ky,-86.9961061,37.4172684,1.0740740740740742
Central City,ky,-91.5240561,42.2038829,1.0396437303527768
Clarkson,ky,-77.92281582640835,43.252349949999996,1.0408163265306123
Clay City,ky,-88.354212,38.6886589,1.0496838301716351
Clinton,ky,-89.420064,38.5896187,1.0400320256204965
Coal Run Village,ky,-82.5584861,37.5131553,1.0545087483176312
Cold Spring,ky,-94.4288849,45.4557973,1.0344138884621294
Columbia,ky,-72.9088133,4.099917,1.0213132400430571
Corbin,ky,-84.0968761,36.9486986,1.0446588559614058
Covington,ky,-84.508371,39.0836224,1.068649318463445
Crab Orchard,ky,-84.5066044,37.4645267,1.0505415162454874
Cumberland,ky,-88.2423795,39.2744299,1.0325413223140496
Cynthiana,ky,-84.2941013,38.3903526,1.0377714825306894
Danville,ky,-87.6304614,40.125222,1.0386416167842114
Dawson Springs,ky,-87.69459883493928,37.173378400000004,1.054310672236992
Dayton,ky,-84.1916069,39.7589478,1.0374525058802244
Dry Ridge,ky,-84.5899426,38.6820123,1.0592193808882908
Eddyville,ky,-92.6343717,41.1572482,1.0447524752475248
