,state,latitude,longitude,crime_index
Abbeville,la,1.8337029,50.1060835,1.068522483940043
Addis,la,-91.2653865,30.3538043,1.0036540803897687
Alexandria,la,29.894378,31.199004,1.2107227107012652
Baker,la,-82.2847163,30.3143459,1.0571752265861027
Bastrop,la,-97.3887764,30.0541116,1.183438361559669
Baton Rouge,la,-91.18738,30.4459596,1.1251586236902216
Bernice,la,-93.1296187,35.2500844,1.053382991930478
Berwick,la,-2.0026472,55.7692442,1.0323822463768115
Blanchard,la,-95.2216466,40.5791617,1.0273276136002543
Bogalusa,la,-89.8486858,30.7910204,1.118311788374283
Bossier City,la,-93.6952689,32.5369356,1.1093940096170558
Breaux Bridge,la,-91.8992837,30.2735323,1.158431467767391
Broussard,la,-91.9612413,30.1471506,1.0719291490180978
Brusly,la,-91.2537199,30.3943588,1.03032517354768
Carencro,la,-92.0490096,30.317144,1.0547565782465111
Church Point,la,-66.1113132,44.340335,1.0562839059674503
Crowley,la,-103.8263042,38.3394806,1.1099754377624593
Cullen,la,-2.8212567,57.6918029,1.0252572497661365
Epps,la,-91.4778953,32.6040264,1.021978021978022
Erath,la,-98.2213499,32.1954856,1.0403108305002429
Eunice,la,-92.4176324,30.4943669,1.122949994969313
Farmerville,la,-92.4056986,32.7734728,1.1095302013422819
Franklinton,la,-90.153141,30.8471283,1.1036958255783036
French Settlement,la,-90.7950955,30.295195,1.0397631133671743
Georgetown,la,-58.1624465,6.8137426,1.0736196319018405
Gonzales,la,-97.5108636,29.4436555,1.18400365630713
Gramercy,la,-73.9840794,40.7355189,1.0580586634411853
Greensburg,la,-79.5389289,40.3014581,1.0872894333843799
Greenwood,la,-96.2471338,37.8709542,1.0630372492836677
Gretna,la,-90.0539604,29.9146493,1.096000902476169
Harahan,la,-90.2031313,29.9404826,1.0236610023661001
Houma,la,-90.7195348,29.5957696,1.1047572548899942
Ida,la,-95.4949407,42.3788371,1.1560975609756097
Independence,la,-94.4137923,39.0924792,1.1478396668401873
Iowa,la,-93.3122705,41.9216734,1.0987124463519313
Jena,la,11.5879359,50.9281717,1.0139465875370919
Kaplan,la,-92.2848515,29.997984,1.0416573348264277
Kenner,la,-90.2417806,29.9942265,1.0637180622027516
Kinder,la,5.7414008,51.1449692,1.1030150753768844
Krotz Springs,la,-91.7528931,30.5368592,1.103476821192053
Lafayette,la,-92.0198427,30.2240897,1.0971395646202662
Lake Arthur,la,-92.6715308,30.080764,1.0529157667386608
Lake Charles,la,-93.2173759,30.2265949,1.0848691146025173
Leesville,la,-93.260998,31.1435194,1.113761794552252
Lutcher,la,-90.6989797,30.0404796,1.0388471177944862
Mandeville,la,1.0116837,49.2206407,1.0429000081096425
Many,la,6.5218763,49.0026397,1.0199704142011834
Marksville,la,-92.0662356,31.1279652,1.1771279567889736
Minden,la,8.9168852,52.2881045,1.0879506008010682
Monroe,la,-90.1792484,38.2722313,1.168139739454614
Natchitoches,la,-93.0860209,31.7606732,1.1605341747901055
Norwood,la,-89.6987129,40.7055931,1.1728813559322033
Oil City,la,-118.9603764,35.4263462,1.0918367346938775
Olla,la,121.4552522,14.1596088,1.0422535211267605
Opelousas,la,-92.081509,30.5335302,1.212972770889152
Pearl River,la,-74.00737636711324,41.05538850000001,1.071835803876853
Pineville,la,-83.6949176,36.7620301,1.123133020124816
Ponchatoula,la,-90.4414762,30.4388041,1.1683605242043327
Port Allen,la,-91.2101081,30.4521351,1.0781376518218624
Port Vincent,la,-90.8447491,30.3344544,1.1051930758988016
Rayne,la,-92.2684617,30.234925,1.0586053412462908
Rayville,la,-94.0629983,39.348342,1.0186139747995417
Ruston,la,-92.637927,32.5232053,1.0716091746433087
Scott,la,-90.4753685,39.6333408,1.0693409742120343
Shreveport,la,-93.7651944,32.5221828,1.1143071935848494
Sibley,la,-94.2085682,44.5603522,1.0568181818181819
Slidell,la,-89.7811745,30.2751945,1.0647507922788821
Springhill,la,-4.1153851,55.857393,1.0498747913188649
Sulphur,la,-93.3773783,30.2365943,1.0975247524752476
Tallulah,la,-91.1867771,32.4084765,1.031189374720191
Thibodaux,la,-90.822871,29.7957633,1.0866524988003017
Vidalia,la,-82.4134614,32.2176855,1.1165073624386463
Ville Platte,la,-92.2715157,30.6879749,1.1294636505904112
Vinton,la,-92.021343,42.1662438,1.0932847158918262
Walker,la,-95.5522823,30.6795741,1.1264294790343075
Welsh,la,-92.8226453,30.2360403,1.080823601720959
Westlake,la,-97.1943701,32.991226,1.0665456745311555
West Monroe,la,-92.1476353,32.5184775,1.1711740890688258
Westwego,la,-90.1422962,29.9060388,1.0566844919786096
Winnfield,la,-92.63905622689076,31.928273,1.0900859066635709
Youngsville,la,-91.9901206,30.0996471,1.0280958721704394
Zachary,la,-91.1564961,30.6485191,1.0837914376145261
