,state,latitude,longitude,crime_index
Ashland,me,-90.6802594,46.2062319,1.0066334991708126
Auburn,me,-85.4807825,32.6098566,1.0470405789609718
Augusta,me,-81.9748429,33.4709714,1.0684953567019164
Baileyville,me,-77.9852817,40.7081186,1.0381414701803051
Bangor,me,-68.7778138,44.8011821,1.0757404618473896
Bar Harbor,me,-68.2043361,44.3876378,1.0175735485550639
Bath,me,-2.3596963,51.3813864,1.0344205078830184
Belfast,me,-5.9301829,54.596391,1.0132440476190476
Berwick,me,-2.0026472,55.7692442,1.0175572519083969
Biddeford,me,-70.4533844,43.4925843,1.0626595497795313
Boothbay Harbor,me,-69.6280897,43.8522661,1.0190562613430127
Brewer,me,-68.760681,44.796942,1.069
Bridgton,me,-70.713501,44.055025,1.0207869339272457
Brunswick,me,10.5236066,52.2646577,1.032715748415407
Bucksport,me,-68.79569136571041,44.60177,1.0261875761266748
Buxton,me,-1.9100768,53.2594074,1.0142600359496705
Calais,me,1.8538446,50.9524769,1.0504540867810293
Camden,me,-75.1198911,39.9448402,1.004768816089571
Cape Elizabeth,me,-70.2289333,43.5931434,1.0120829769033362
Caribou,me,-111.6052607,42.780196,1.0380233174350821
Carrabassett Valley,me,-70.2120112,45.0778332,1.054054054054054
Clinton,me,-89.420064,38.5896187,1.022529288074497
Cumberland,me,-88.2423795,39.2744299,1.0067510548523206
Damariscotta,me,-69.5186585,44.0328573,1.0543933054393306
Dexter,me,-94.2282377,41.5165588,1.0310542086624899
Dixfield,me,-70.456009,44.534206,1.0328600405679513
Dover-Foxcroft,me,-69.2276,45.183489,1.0287627076617902
East Millinocket,me,-68.5744751,45.6275528,1.038711887632751
Eastport,me,-66.990509,44.906469,1.038369304556355
Eliot,me,-70.8000557,43.1531421,1.0130555963033592
Ellsworth,me,-98.2149289,38.6942009,1.0482195845697329
Fairfield,me,-122.039966,38.2493581,1.0411692684419958
Falmouth,me,-5.0688262,50.1552197,1.025044433672645
Farmington,me,-93.1435497,44.6402434,1.030119689596212
Fort Fairfield,me,-67.8345688,46.7698261,1.0178132678132679
Fort Kent,me,-68.57864907611548,47.262088,1.0196540880503144
Freeport,me,-89.6212271,42.2966861,1.026067729547306
Fryeburg,me,-70.981293,44.016521,1.0403178340200119
Gardiner,me,-69.775543,44.230441,1.0230292294065544
Gorham,me,-89.4859292,37.718384,1.0177348748456616
Gouldsboro,me,-68.0383389,44.478412,1.0297994269340973
Greenville,me,-82.3984882,34.851354,1.052037617554859
Hallowell,me,-69.791336,44.286011,1.0312104597216365
