,state,latitude,longitude,crime_index
Aberdeen,md,-2.0928095,57.1482429,1.0552056317154501
Annapolis,md,-76.492786,38.9786401,1.0602897369962063
Baltimore,md,-76.610759,39.2908816,1.1235820165796273
Bel Air,md,-118.4479802,34.0827278,1.039377928421892
Berlin,md,13.3888599,52.5170365,1.0296174413821473
Berwyn Heights,md,-76.9105292,38.9939991,1.0448444173276388
Bladensburg,md,-76.9337983,38.9392997,1.07809202195019
Brentwood,md,-121.696026,37.9317766,1.0397824842587293
Brunswick,md,10.5236066,52.2646577,1.044506691565515
Cambridge,md,0.1186637,52.2055314,1.128016960208741
Capitol Heights,md,-76.9134765,38.8849913,1.036914963744232
Centreville,md,-77.43540260778344,38.84487,1.020073740270381
Chestertown,md,-76.0666126,39.2089986,1.0360055699224189
Cheverly,md,-76.915807,38.928167,1.0476704720765195
Chevy Chase Village,md,-77.0776069,38.9707557,1.0453449107573565
Cottage City,md,-76.9518293,38.9382028,1.0520909757887014
Crisfield,md,-75.85292891729603,37.979982050000004,1.0176194205168363
Cumberland,md,-88.2423795,39.2744299,1.1067232544899333
Delmar,md,-90.6070804,42.0022453,1.0486453201970443
Denton,md,-97.1413417,33.1838787,1.0785968028419184
Easton,md,-75.2099866,40.6916081,1.0473279670761968
Edmonston,md,-76.931677,38.9471169,1.0540360240160107
Elkton,md,-75.8330934,39.6065073,1.1533648320776402
Fairmount Heights,md,-76.9116989,38.9011623,1.0828440965427266
Federalsburg,md,-75.7731132,38.6940347,1.0701357466063348
Forest Heights,md,-77.00154397545788,38.810396999999995,1.0352303523035231
Frederick,md,-77.4127562,39.415779,1.0459674106531562
Fruitland,md,-91.1284804,41.356252,1.095959595959596
Glenarden,md,-76.8616387,38.9292782,1.023099133782483
Greenbelt,md,-76.88333238304114,38.9933654,1.0726395353802793
Greensboro,md,-79.7919754,36.0726355,1.0683030949839916
Hagerstown,md,-77.7202641,39.6419219,1.0596899995032043
Hampstead,md,-0.1737206,51.5580835,1.0171955604189464
Hancock,md,-91.1458063,40.3941712,1.0292397660818713
Havre de Grace,md,-76.0914718,39.5489964,1.0313894888408928
Hurlock,md,-75.8637279,38.6346863,1.0998509687034277
Hyattsville,md,-76.9408647,38.9529442,1.1325623261142328
Landover Hills,md,-76.8921952,38.9431668,1.126207729468599
La Plata,md,-57.9537638,-34.9206797,1.0803103375969805
Laurel,md,-89.13382003619111,31.74096,1.0797629193460914
Luke,md,-0.1186221,43.2648402,1.6557377049180328
Manchester,md,-2.2451148,53.4794892,1.0129682997118155
Morningside,md,-3.2100796,55.9296409,1.087962962962963
Mount Airy,md,-75.1865661,40.0640001,1.0298775337837838
Mount Rainier,md,-76.9596981,38.9364848,1.076139015104998
New Carrollton,md,-76.8799727,38.9698329,1.0338293955200981
North East,md,-79.8358415,42.2150373,1.065952184666117
Oakland,md,-122.2713563,37.8044557,1.15363436123348
Ocean City,md,-74.5746001,39.2776156,1.2418537291817524
Ocean Pines,md,-75.14307865818532,38.3839135,1.0170417482061318
Oxford,md,-1.2578499,51.7520131,1.0936454849498327
Perryville,md,-89.8645455,37.7275127,1.0543895283231777
Pocomoke City,md,-75.5679832,38.075684,1.067080745341615
Princess Anne,md,-75.6920008,38.2028428,1.131586362355593
Ridgely,md,-94.6373365,39.451898,1.0883777239709442
Rising Sun,md,-84.853838,38.9495047,1.0407288317256163
Riverdale Park,md,-76.9296515,38.9615103,1.0666850372003307
Rock Hall,md,-76.8805969,18.0793355,1.0609177215189873
Salisbury,md,-1.7954134,51.0690613,1.105396595436436
Seat Pleasant,md,-76.8987649,38.8879957,1.0707890901519883
Smithsburg,md,-77.5727681,39.6548186,1.029659588810246
Snow Hill,md,-77.6810859,35.4515504,1.0537210448496797
St. Michaels,md,-109.09743882514614,35.6611745,1.1053658536585367
Sykesville,md,-76.9688737,39.365992,1.0447082596615307
Takoma Park,md,-77.0074765,38.9778882,1.0572290839993292
Taneytown,md,-77.1741016,39.6578924,1.0320926143024618
Thurmont,md,-77.4108201,39.6237094,1.026377491207503
University Park,md,-1.2002956927457427,52.9387428,1.048660882685779
Upper Marlboro,md,-76.7575894,38.8139804,1.1422222222222222
Westminster,md,-0.1265398,51.5004439,1.0725996570938705
