,state,latitude,longitude,crime_index
Abington,ma,-70.9453218,42.1048228,1.0214615758754864
Acton,ma,-0.2732607,51.5081402,1.0082842724978973
Acushnet,ma,-70.907816,41.6806593,1.0091142124750783
Adams,ma,-91.2110065,39.9787786,1.0305181863477828
Agawam,ma,-72.6484627,42.066186,1.032050389755011
Amesbury,ma,-70.9300921,42.8579536,1.018130150610969
Amherst,ma,-72.505714,42.3685658,1.0139383380046967
Andover,ma,-93.2913405,45.2332985,1.0123949982214682
Aquinnah,ma,-70.8147523,41.3437229,1.0365853658536586
Arlington,ma,-97.10562379033699,32.701938999999996,1.009076160827816
Ashburnham,ma,-71.9206964,42.6480766,1.012954186413902
Ashland,ma,-90.6802594,46.2062319,1.0116672303009808
Athol,ma,-98.91999455777758,39.764787,1.0264577446699203
Attleboro,ma,-71.2806515,41.9438129,1.0290042038301563
Auburn,ma,-85.4807825,32.6098566,1.0408395120784502
Ayer,ma,-71.5897897,42.5612021,1.0191650390625
Barnstable,ma,-70.2994666,41.7001132,1.027911518895349
Barre,ma,2.82702,43.7513,1.0152521083796877
Becket,ma,-73.0835267,42.2850368,1.0185614849187936
Bedford,ma,-0.4675041,52.1363806,1.007961671246389
Belchertown,ma,-72.399595,42.2846395,1.0106614017769002
Bellingham,ma,-122.4788361,48.7544012,1.0268914425713118
Belmont,ma,7.2386756,48.4086571,1.0149633511830163
Berkley,ma,-94.1137041,41.9441774,1.0113251948816002
Berlin,ma,13.3888599,52.5170365,1.0290033940141932
Bernardston,ma,-72.5463579,42.6909511,1.027922385234264
Beverly,ma,-70.8800491,42.5584284,1.0125954108277997
Billerica,ma,-71.268947,42.5584264,1.0093204502985278
Blackstone,ma,-77.9972259,37.080428,1.010329244673983
Bolton,ma,-2.4300367,53.5782863,1.0153903207862043
Bourne,ma,-0.3771636,52.7682302,1.0285801155366372
Boxborough,ma,-71.5141044,42.4934474,1.013914373088685
Boxford,ma,0.8598002,52.029187,1.0069444444444444
Boylston,ma,-61.4946843,45.4397787,1.0095867064337452
Braintree,ma,-71.005067,42.2064195,1.0295329115627945
Brewster,ma,-103.2400734,29.8462742,1.0165552699228793
Bridgewater,ma,-70.9750426,41.9903787,1.0126145947928127
Brockton,ma,-71.0183787,42.0834335,1.0558628144447826
Brookfield,ma,-87.848085,41.8228378,1.0296511627906977
Brookline,ma,-71.1211635,42.3317642,1.0196680695085527
Burlington,ma,-73.212906,44.4761601,1.0354858675469363
Cambridge,ma,0.1186637,52.2055314,1.0390549421222937
Canton,ma,-95.8640507,32.555664,1.0222306589049186
Carlisle,ma,-2.9362311,54.8948478,1.0169362511893434
Carver,ma,-93.7871792,44.807118,1.019793532975002
Charlton,ma,0.0365359,51.4826053,1.0125740185686087
Chatham,ma,0.5292758,51.3804845,1.0294261893084846
Chelmsford,ma,0.4724553,51.7345398,1.025867454142768
Chelsea,ma,-0.1687007,51.4875167,1.0439055709205847
Cheshire,ma,-2.471770086071205,53.2141028,1.016916693265241
Chicopee,ma,-72.6071119,42.1487691,1.061020382326877
Chilmark,ma,-70.7447501,41.3431688,1.075
Clinton,ma,-89.420064,38.5896187,1.0063019192208535
Cohasset,ma,-93.620215,47.263556,1.0191659890811942
Concord,ma,-71.537476,43.207178,1.0138679686282657
Dalton,ma,-95.915609,46.173849,1.0171096853040025
Danvers,ma,-70.9300507,42.5750946,1.030762001156738
Dartmouth,ma,-3.5853227357311774,50.34313775,1.0357279271338329
Dedham,ma,-94.8222061,41.9060971,1.0288060945125581
Deerfield,ma,-87.8445119,42.1711365,1.0310015898251192
Dennis,ma,-0.13767995578500702,51.519807150000005,1.045421458727617
Douglas,ma,-88.2170516,39.7628415,1.0139727252403308
Dover,ma,1.3134228,51.1251275,1.014710689767898
Dracut,ma,-71.2963726,42.6818928,1.0127729188951111
Dudley,ma,-2.0816813,52.5110832,1.0198230389654586
Dunstable,ma,-0.5209341,51.8861316,1.0249632892804699
Duxbury,ma,-70.672259,42.0417695,1.0124890171959333
East Bridgewater,ma,-70.9592096,42.0334341,1.017343836373687
East Brookfield,ma,-72.0419627,42.2029297,1.0408719346049047
Eastham,ma,-69.973907,41.8301081,1.0321376736471075
Easthampton,ma,-72.6688036,42.2689274,1.028537455410226
East Longmeadow,ma,-72.4989821,42.0602543,1.028581965701641
Easton,ma,-75.2099866,40.6916081,1.0179432991746082
Edgartown,ma,-70.5133599,41.3890052,1.0534158642824392
Erving,ma,-72.4315297,42.6148844,1.0587238848108413
Everett,ma,-122.2013998,47.9673056,1.0383938976586502
Fairhaven,ma,-70.9036487,41.6376043,1.0378844711177795
Fall River,ma,-71.1546367,41.7010642,1.0425751689758156
Falmouth,ma,-5.0688262,50.1552197,1.0330435914965654
Fitchburg,ma,-71.8119837,42.5903661,1.0391915511681151
Foxborough,ma,-71.2478308,42.0653768,1.0264874369009132
Framingham,ma,-71.4413097,42.3095704,1.0311376099115237
Franklin,ma,-95.2231752,33.2002659,1.005068026184802
Freetown,ma,-13.26795,8.479004,1.0230080954409886
Gardner,ma,-71.9831716,42.5823564,1.0409152608105487
Georgetown,ma,-58.1624465,6.8137426,1.017659792639854
Gill,ma,-123.28057991563537,44.5612668,1.0711409395973155
Gloucester,ma,-2.2458192,51.8653705,1.017488966471247
Goshen,ma,-85.834366,41.5824086,1.0901408450704226
Grafton,ma,152.9333435,-29.69125,1.0111758474576271
Granby,ma,-72.721834,45.3990409,1.0235849056603774
Great Barrington,ma,-73.3389121,42.2103722,1.025065963060686
Greenfield,ma,-72.5979752,42.6097476,1.054054054054054
Groton,ma,-72.0761998,41.3501598,1.013610818405339
Groveland,ma,-81.8561226,28.5602149,1.0169442009932808
Hadley,ma,-95.8539077,44.0010355,1.0908921239268383
Halifax,ma,-63.5859487,44.648618,1.0273050546101092
Hamilton,ma,-79.8728583,43.2560802,1.0186996904024768
Hampden,ma,-68.836982,44.7445159,1.0269282554337373
Hanover,ma,9.7385532,52.3744779,1.0239558163617535
Hanson,ma,-97.7945361,43.6615541,1.0209635895549833
Hardwick,ma,-96.19932,43.774851,1.052319842053307
Harvard,ma,-71.12678237443698,42.36790855,1.0249657482112955
Harwich,ma,1.2898522,51.9445801,1.0294313269038908
Hatfield,ma,-0.2250938620703163,51.7653576,1.054169202678028
Haverhill,ma,-71.0767724,42.7777829,1.0384452960037538
Hingham,ma,-70.8897676,42.2417669,1.02220367278798
Holbrook,ma,-110.1593164,34.9037063,1.0392174704276615
Holland,ma,5.38721,52.15517,1.0523349436392915
Holliston,ma,-71.4245049,42.2000966,1.0144705254734596
Holyoke,ma,-72.60765,42.2071434,1.0943800089601274
Hopedale,ma,-89.4145404,40.4208735,1.0271546635183
Hopkinton,ma,-91.2484799,42.3440205,1.0092547753564702
Hull,ma,-0.3394758,53.7435722,1.0354739473178236
