,state,latitude,longitude,crime_index
Adrian,mn,-84.0373054,41.8975152,1.0081967213114753
Aitkin,mn,-93.3847595,46.5714822,1.0478589420654911
Akeley,mn,-94.7269629,47.0041955,1.1131221719457014
Albany,mn,19.9999619,41.000028,1.008357558139535
Albert Lea,mn,-93.3682656,43.6480127,1.0622265158833892
Alexandria,mn,29.894378,31.199004,1.0599396291504959
Annandale,mn,-94.1244271,45.2627428,1.0292825768667642
Anoka,mn,-93.2827625,45.2710195,1.0421806605650616
Appleton,mn,-88.4069744,44.2613967,1.0726172465960666
Apple Valley,mn,-93.21772,44.7319094,1.0408550721992005
Arlington,mn,-97.10562379033699,32.701938999999996,1.0092464170134072
Atwater,mn,-94.7810199,45.1363343,1.0117117117117118
Austin,mn,-97.7436995,30.2711286,1.0434110371075167
Avon,mn,2.7207225,48.4048867,1.031934877896055
Babbitt,mn,-91.9440871,47.7087143,1.020026702269693
Barnesville,mn,-96.41979,46.652182,1.0080521472392638
Battle Lake,mn,-95.7139599,46.281056,1.0277185501066097
Baxter,mn,-92.3445222,36.2820691,1.076895607665754
Bayport,mn,-92.7813238,45.0212648,1.0151278038601983
Becker,mn,-95.6761851,46.9298236,1.0229977809158766
Belgrade/Brooten,mn,-95.13004979013503,45.5020692,1.0301837270341208
Belle Plaine,mn,-105.1560989,50.3942989,1.0217090707964602
Bemidji,mn,-94.8907869,47.4785418,1.164887459807074
Benson,mn,-99.403103,48.0191362,1.0075409836065574
Big Lake,mn,-101.4603945,31.1915437,1.0129049483802064
Blackduck,mn,-94.548233,47.7333383,1.058472553699284
Blaine,mn,-99.979237,41.9195837,1.0501509206157562
Blooming Prairie,mn,-93.0552513,43.8668066,1.018916155419223
Bloomington,mn,-86.5342881,39.1670396,1.076936509045191
Blue Earth,mn,-94.0560643,44.0109722,1.0260199164792805
Braham,mn,-93.1706367,45.7247444,1.0189838079285316
Brainerd,mn,-94.2008288,46.3580221,1.0802290133095398
Breckenridge,mn,-98.9032554,32.7558392,1.0576377952755907
Breezy Point,mn,-94.2169351,46.6166305,1.0177832919768404
Breitung Township,mn,-88.0556856,45.9174534,1.0588235294117647
Brooklyn Center,mn,-93.3296296,45.0748543,1.0870645161290322
Brooklyn Park,mn,-93.3443585,45.1004807,1.0758641070790902
Brownton,mn,-94.3502593,44.7319068,1.062240663900415
Buffalo,mn,-78.8783922,42.8867166,1.0369039644357834
Buffalo Lake,mn,-94.6169333,44.7371841,1.0838235294117646
Burnsville,mn,-93.2773887,44.7670567,1.056976478648093
Caledonia,mn,-88.8926041,42.369463,1.0172921265636496
Cambridge,mn,0.1186637,52.2055314,1.086145648312611
Canby,mn,-96.276434,44.708853,1.0256869772998805
Cannon Falls,mn,-92.9062175,44.5068445,1.0477479694806793
Centennial Lakes,mn,-93.3263738,44.8669339,1.0270294784580498
Champlin,mn,4.32944,49.83956,1.0217662661881728
Chaska,mn,-93.6021791,44.7894072,1.0215893600559998
Chisholm,mn,-92.883528,47.489926,1.0365128205128205
Clara City,mn,-95.3664045,44.9549593,1.0444617784711387
Clearbrook,mn,-95.431123,47.691901,1.2
Cleveland,mn,-81.6934446,41.5051613,1.103305785123967
Cloquet,mn,-92.4613669,46.7217279,1.0521275709884252
Cold Spring/Richmond,mn,-95.2923939,29.9199372,1.0206859971711457
Columbia Heights,mn,-93.2517802,45.0460458,1.0556417215975185
Comfrey,mn,-94.9047089,44.1102361,1.1671388101983002
Corcoran,mn,-119.5604015,36.098007,1.02227602905569
Cottage Grove,mn,-92.9438218,44.8277446,1.0345020514733307
Crookston,mn,-96.6081167,47.7739988,1.0592763664357199
Crosby,mn,-101.2855737,33.5778818,1.0372591006423983
Crosslake,mn,-94.09306254941276,46.6747454,1.033129904097646
Crystal,mn,-93.3606072,45.031823,1.059782608695652
Danube,mn,19.09134068154559,47.699100099999995,1.1706783369803064
Dawson/Boyd,mn,-84.42899918541413,31.762793799999997,1.045895281189399
Dayton,mn,-84.1916069,39.7589478,1.0229287679608683
Deephaven,mn,-93.5224552,44.9296854,1.0298994974874371
Deer River,mn,-93.7928136,47.3328087,1.1157556270096463
Detroit Lakes,mn,-95.845325,46.817181,1.0676137577440719
Dilworth,mn,-96.703412,46.876629,1.1402805611222444
Duluth,mn,-92.1251218,46.7729322,1.0932949700626704
Dundas,mn,-93.2020856,44.4294359,1.0579174368453481
Eagan,mn,-93.1659179,44.818173,1.0409733030049084
Eagle Lake,mn,-96.331239,29.5895382,1.0344287949921753
East Grand Forks,mn,-97.0175792,47.9317013,1.0344306153309295
East Range,mn,-98.665196,29.650636,1.045682451253482
Eden Prairie,mn,-93.470786,44.8546856,1.0244222486376338
Eden Valley,mn,-94.5461074,45.3260745,1.0753623188405796
Edina,mn,-93.3501222,44.8897027,1.0403195417891327
Elko New Market,mn,-93.3237416922926,44.56312055,1.0255070039724024
Elk River,mn,-93.5671825,45.3038538,1.0364817989713329
Ely,mn,0.262039,52.3990199,1.049043062200957
Eveleth,mn,-92.538824,47.462761,1.0890563930764936
Fairfax,mn,-77.3063733,38.8462236,1.103815439219166
Fairmont,mn,-94.4610832,43.6521775,1.0557717250324254
Faribault,mn,-93.9510501,43.6647961,1.048132814786936
Farmington,mn,-93.1435497,44.6402434,1.0198414398971503
Fergus Falls,mn,-96.077558,46.283015,1.1012230215827339
Floodwood,mn,-92.9196483,46.9291095,1.1969407265774379
Foley,mn,-87.6835974,30.4065868,1.0599026581804567
Forest Lake,mn,-92.9851629,45.279106,1.0683384660507407
Fridley,mn,-93.2590388,45.0838291,1.0842654198885093
Fulda,mn,9.6770448,50.5542328,1.086848635235732
Gaylord,mn,-94.220531,44.5530201,1.084525939177102
Gilbert,mn,-111.7890373,33.3527632,1.1185682326621924
Glencoe,mn,-87.7581188,42.1350268,1.0371050698016164
Glenwood,mn,-87.6022765,41.5424867,1.065946779791747
Golden Valley,mn,-109.1714312,46.3040364,1.048281207258138
Goodview,mn,-91.6954403,44.061987,1.0489274523981682
Grand Rapids,mn,-85.6678639,42.9632405,1.0428685541847875
Granite Falls,mn,-121.96947,48.0817561,1.0766666666666667
Hallock,mn,-96.946447,48.7744263,1.1112347052280311
Hastings,mn,0.5824703,50.8553888,1.0474664090629666
