,state,latitude,longitude,crime_index
Ackerman,ms,-89.1728434,33.3101243,1.0568260568260568
Batesville,ms,-91.6409722,35.769799,1.0975946917334807
Biloxi,ms,-88.8853645,30.3960318,1.12363321424705
Brandon,ms,4.577608667704116,46.35270835,1.0243183492999264
Brookhaven,ms,-90.4406506,31.5790588,1.0721940682894409
Byram,ms,-73.6537385,41.0042642,1.0497772446881426
D'Iberville,ms,-73.6021838,45.5530737,1.1285663716814158
Edwards,ms,-100.3457636,29.9116617,1.0776992936427852
Florence,ms,11.2555757,43.7698712,1.0084444444444445
Flowood,ms,-90.1389076,32.3092741,1.065524944154877
Gautier,ms,-88.6116855,30.385755,1.0589344394763778
Gulfport,ms,-89.0928155,30.3674198,1.1032977356561624
Hattiesburg,ms,-89.2903392,31.3271189,1.0947988949555154
Horn Lake,ms,-90.0348139,34.9553719,1.0525022013501615
Kosciusko,ms,-89.5875764,33.0576295,1.0403011514614704
Laurel,ms,-89.13382003619111,31.74096,1.1010232255968817
Madison,ms,-89.3837613,43.074761,1.0221947258526023
Meridian,ms,-88.703656,32.3643098,1.0905689028689192
Ocean Springs,ms,-88.8279165,30.4112904,1.0587214509628302
Olive Branch,ms,-89.8295315,34.9617605,1.0512628673150848
Pascagoula,ms,-88.5585995,30.3646795,1.1213327163350302
Pass Christian,ms,-89.247543,30.3157527,1.0727128082736674
Petal,ms,-89.2600605,31.3465627,1.0140160717622875
Ridgeland,ms,-90.1323087,32.4284761,1.0465847503206323
Southaven,ms,-90.0034862,34.9873822,1.067590365770487
West Point,ms,-88.6503255,33.6076186,1.0661553211888783
Wiggins,ms,-89.1353283,30.858244,1.0965786054569078
