,state,latitude,longitude,crime_index
Adrian,mo,-84.0373054,41.8975152,1.0863039399624765
Advance,mo,-89.9106494,37.1044958,1.0381451009723262
Alma,mo,24.4803663,46.2135922,1.010498687664042
Annapolis,mo,-76.492786,38.9786401,1.0207100591715976
Appleton City,mo,-94.0293867,38.1905819,1.0318352059925093
Archie,mo,-94.3543929,38.4816813,1.0239669421487603
Arnold,mo,-90.3758287,38.4226711,1.06293242346697
Ash Grove,mo,-93.5852004,37.3153257,1.046993780234969
Ashland,mo,-90.6802594,46.2062319,1.0332075471698112
Aurora,mo,-88.3147539,41.7571701,1.1120053655264923
Ava,mo,-92.6600096,36.9519236,1.0413507925568573
Battlefield,mo,-4.2665977,55.8244926,1.0244171392564587
Bella Villa,mo,-90.285449,38.5436313,1.046831955922865
BelNor,mo,-93.60432533195213,41.5398096,1.0464949928469243
Belton,mo,-97.464453,31.0560132,1.068182778881515
Berkeley,mo,-122.23963364918777,37.8753497,1.108254397834912
Bernie,mo,-89.9687021,36.6689446,1.0339702760084926
Bertrand,mo,-65.0674525,47.756348,1.0738255033557047
Bethany,mo,-94.0282861,40.2683344,1.0398042414355628
Billings,mo,-108.49607,45.7874957,1.0224416517055654
Blackburn,mo,-2.4840566,53.749326,1.084033613445378
Bolivar,mo,-93.4107968,37.6110502,1.0820379189504896
Branson,mo,-93.2175285,36.6411357,1.2156913073237507
Branson West,mo,-93.3689339,36.6968941,1.5189309576837418
Bucklin,mo,-99.6342901,37.5472429,1.0549199084668193
Buffalo,mo,-78.8783922,42.8867166,1.0699642043605597
Butler,mo,-96.8456342,37.77924,1.0799103808812547
Cabool,mo,-92.1012678,37.123941,1.0699001426533523
Camdenton,mo,-92.7507122,38.0050131,1.11164813919768
Cameron,mo,13.1535811,4.6125522,1.0452759975191235
Campbell,mo,-121.9448818,37.2870626,1.0562913907284768
Canalou,mo,-89.6870261,36.7550547,1.1096345514950166
Carthage,mo,-94.338114,32.1570412,1.0755672609400324
Caruthersville,mo,-89.6556353,36.1931245,1.1113557145477895
Cassville,mo,-93.868811,36.6770111,1.1785392245266006
Chillicothe,mo,-82.9824019,39.3331197,1.0549484536082474
Clayton,mo,-91.3667151,42.8547706,1.031235238545111
Cleveland,mo,-81.6934446,41.5051613,1.0678733031674208
Clever,mo,-93.4729712,37.0303327,1.0236813778256189
Columbia,mo,-72.9088133,4.099917,1.0587120151659375
Conway,mo,-92.6888936,35.2521996,1.0516129032258064
Corder,mo,-93.640771,39.0983482,1.1133501259445844
Cottleville,mo,-90.6512977,38.7492328,1.0212002051632758
Country Club Hills,mo,-87.7203257,41.5680898,1.125691699604743
Creve Coeur,mo,-90.4423653,38.6613007,1.0345212172712306
Crystal City,mo,-99.8274585,28.6834097,1.080672626649638
Delta,mo,-95.6749486,33.3926893,1.1050228310502284
De Soto,mo,-96.8570183,32.5897831,1.046420141620771
Dexter,mo,-94.2282377,41.5165588,1.0590255692659967
Diamond,mo,-88.2517287,41.2886428,1.0704225352112675
Dixon,mo,-89.4814291,41.8425197,1.1154116819141449
Doolittle,mo,-91.8808812,37.9403609,1.085
Duenweg,mo,-94.4135565,37.0836716,1.0798258345428158
Duquesne,mo,-79.8597708,40.3814581,1.1008243500317059
