,state,latitude,longitude,crime_index
Baker,mt,-82.2847163,30.3143459,1.0103734439834025
Belgrade,mt,20.4568974,44.8178131,1.0458496305953933
Boulder,mt,-105.270545,40.0149856,1.0203442879499218
Bridger,mt,-108.9137544,45.2957807,1.019736842105263
Colstrip,mt,-106.623637,45.884162,1.0079260237780714
Columbia Falls,mt,-114.191582,48.3697168,1.028972783143108
Cut Bank,mt,-112.326162,48.63304,1.1007241606319946
Deer Lodge,mt,-112.730038,46.395761,1.0190443213296398
Dillon,mt,-112.637844,45.216416,1.0116931711880262
East Helena,mt,-111.914593,46.5895782,1.067206863679695
Ennis,mt,-96.6252679,32.3293111,1.0235525024533856
Eureka,mt,-124.1636729,40.8020712,1.0257777777777777
Glasgow,mt,-4.2488787,55.8609825,1.0332933413317336
Glendive,mt,-104.71246,47.10529,1.0102739726027397
Great Falls,mt,-111.29189,47.5048851,1.1268652898340639
Hamilton,mt,-79.8728583,43.2560802,1.071121131379381
Helena,mt,-112.036277,46.5927425,1.0976040968115588
Hot Springs,mt,-93.0552437,34.5038393,1.0403508771929824
Kalispell,mt,-114.315321,48.202158,1.076206431577657
Laurel,mt,-89.13382003619111,31.74096,1.0641252955082743
Libby,mt,-115.5558612,48.3883645,1.0556363636363637
Manhattan,mt,-73.9598939,40.7896239,1.0402144772117963
Miles City,mt,-105.840981,46.4085273,1.0660073871083044
Missoula,mt,-113.995267,46.8701049,1.0903317334464746
Polson,mt,-114.163761,47.6905295,1.092807881773399
Red Lodge,mt,-109.2470622,45.1859038,1.0349740932642486
Ronan City,mt,-9.087517172162256,53.2592268,1.0776147657359205
Sidney,mt,150.9568559523945,-33.768528,1.0376411543287327
Stevensville,mt,-76.31893928440874,38.97776585,1.045831301803998
Troy,mt,26.238017461011644,39.957373950000004,1.060897435897436
West Yellowstone,mt,-111.101169,44.6632505,1.0687679083094557
Wolf Point,mt,-105.640557,48.090574,1.069177834118073
