,state,latitude,longitude,crime_index
Aurora,ne,-88.3147539,41.7571701,1.0141000220312844
Beatrice,ne,-96.747369,40.266429,1.0354134292958208
Bellevue,ne,-122.192337,47.6144219,1.0399220489977727
Blair,ne,-96.1250151,41.5444379,1.0335630423685553
Broken Bow,ne,-99.6393288,41.4018116,1.0164212910532275
Central City,ne,-91.5240561,42.2038829,1.0101115760111576
Chadron,ne,3.9354515,44.9601372,1.0429673154608887
Columbus,ne,-83.0007065,39.9622601,1.0334102366914466
Cozad,ne,-99.9858546,40.8595822,1.0117114719190843
Crete,ne,24.46334231842296,35.308495199999996,1.0500422892585284
Emerson,ne,-95.4021347,41.0172008,1.020100502512563
Falls City,ne,-98.0170297,28.9824418,1.0278450363196125
Fremont,ne,-121.988571,37.5482697,1.048712438261132
Gering,ne,7.2626421,50.2726738,1.0269874221516668
Gothenburg,ne,11.9670171,57.7072326,1.031459364986892
Grand Island,ne,-98.338685,40.924271,1.060689681789236
Hastings,ne,0.5824703,50.8553888,1.063120510129954
Holdrege,ne,-99.3698995,40.4379956,1.03615127919911
Imperial,ne,-115.3595666,33.0305487,1.012536162005786
La Vista,ne,-96.0324044,41.1832679,1.0243279335771933
Lexington,ne,-84.4970393,38.0464066,1.038385437277404
Madison,ne,-89.3837613,43.074761,1.0214465937762827
McCook,ne,-87.8447798,41.7978095,1.0504447099429177
Minden,ne,8.9168852,52.2881045,1.0402010050251256
Nebraska City,ne,-95.858694,40.676526,1.0930840093496494
Norfolk,ne,1.0,52.666667,1.034537209490647
North Platte,ne,-100.7654232,41.1238873,1.0766083104830204
Ogallala,ne,-101.7189583,41.1248328,1.0600983020554067
Ord,ne,-87.90917993412859,41.977984899999996,1.0277910876856733
Papillion,ne,-96.0422378,41.1544433,1.0478620019436347
Plattsmouth,ne,-95.8862157,41.0111979,1.0361222599567768
Ralston,ne,-94.6330333,42.0416514,1.0362881628280665
Ravenna,ne,12.059009490863945,44.364060699999996,1.0533235938641343
Schuyler,ne,-90.5697373,40.1370869,1.013914946841776
Scottsbluff,ne,-103.6627088,41.862302,1.0635481023830538
Seward,ne,-100.8928434,37.1850331,1.0164137931034483
Sidney,ne,150.9568559523945,-33.768528,1.0603380192702574
South Sioux City,ne,-96.4135909,42.4737805,1.0638947615691803
Valentine,ne,0.704317,43.0949075,1.039985459832788
Valley,ne,-98.9805484,41.5595723,1.0251377410468319
Wahoo,ne,-96.6197985,41.2111084,1.0177265676933305
West Point,ne,-88.6503255,33.6076186,1.023283943150892
