,state,latitude,longitude,crime_index
Alexandria,nh,29.894378,31.199004,1.0185185185185186
Allenstown,nh,-71.4319655,43.1276195,1.016685456595265
Alstead,nh,-72.360764,43.149094,1.0051786639047127
Alton,nh,-90.1843091,38.8908583,1.0170443903352688
Amherst,nh,-72.505714,42.3685658,1.0200105782792666
Antrim,nh,-85.1133189,44.9947369,1.0196150999259808
Ashland,nh,-90.6802594,46.2062319,1.0428641013151485
Atkinson,nh,-82.8839362,31.3030105,1.0092368907204774
Auburn,nh,-85.4807825,32.6098566,1.0153352353780314
Barnstead,nh,-71.29303,43.334168,1.0117823479005998
Barrington,nh,-88.1361888,42.1539141,1.0101479002482996
Bartlett,nh,-88.1850028,41.9908485,1.0217159131363474
Bath,nh,-2.3596963,51.3813864,1.0128087831655992
Bedford,nh,-0.4675041,52.1363806,1.016865469480491
Belmont,nh,7.2386756,48.4086571,1.0422322775263952
Bennington,nh,-97.594199,39.030556,1.0185185185185186
Berlin,nh,13.3888599,52.5170365,1.027761485826002
Bethlehem,nh,35.2061876,31.7043556,1.0260801868431295
Boscawen,nh,-71.621246,43.315187,1.024175824175824
Bow,nh,-0.0274853,51.5309383,1.0112443778110944
Bradford,nh,-1.7519186,53.7944229,1.0345029239766081
Bristol,nh,-2.5972985,51.4538022,1.0428524697415766
Brookline,nh,-71.1211635,42.3317642,1.0117194652993957
Campton,nh,-83.547409,37.7342526,1.0317700453857792
Candia,nh,24.46334231842296,35.308495199999996,1.0228136882129277
Canterbury,nh,1.0802533,51.2800275,1.0336304700162076
Carroll,nh,-89.9556785,42.0647352,1.0783783783783785
Center Harbor,nh,-71.49360780467839,43.7120301,1.0391264786169245
Charlestown,nh,-72.424622,43.2387,1.0162064825930373
Chester,nh,-2.8908955,53.1908873,1.019830028328612
Chichester,nh,-0.7831144316193243,50.84467705,1.032484311554079
Colebrook,nh,-71.4964125,44.8942649,1.042100283822138
Concord,nh,-71.537476,43.207178,1.0407731733664298
Conway,nh,-92.6888936,35.2521996,1.0506464469719063
Cornish,nh,-72.3689049,43.4646175,1.0301910043130007
Dalton,nh,-95.915609,46.173849,1.0403225806451613
Danville,nh,-87.6304614,40.125222,1.012652705061082
Deerfield,nh,-87.8445119,42.1711365,1.0160017536168346
Deering,nh,-71.845093,43.073402,1.041687849517031
Derry,nh,-7.3213056,54.9978678,1.0198384414350201
Dover,nh,1.3134228,51.1251275,1.0245696400625979
Dublin,nh,-6.2602732,53.3497645,1.0370611183355007
Dunbarton,nh,-71.617126,43.102988,1.0313588850174216
Durham,nh,-78.9018053,35.996653,1.0083283759666866
East Kingston,nh,-71.0167243,42.925644,1.025514403292181
Effingham,nh,-88.6029006,39.0520902,1.0331081081081082
Enfield,nh,-0.0810175,51.6520851,1.0241069471838702
Epping,nh,7.3162243,49.1129518,1.0282422368975692
Epsom,nh,-0.2678212,51.3326098,1.0221896587816621
Exeter,nh,-3.5269497,50.7255794,1.019643435980551
Farmington,nh,-93.1435497,44.6402434,1.0395268320830928
Fitzwilliam,nh,-72.15144422081346,42.774811,1.031605562579014
Franconia,nh,-71.7478468,44.2273919,1.0747074707470747
Freedom,nh,-69.298325,44.53078,1.0377720870678617
Fremont,nh,-121.988571,37.5482697,1.0268582136164897
Gilford,nh,-71.407013,43.54805,1.0398777268306238
Gilmanton,nh,-71.414566,43.425497,1.0309003729355355
Goffstown,nh,-71.600257,43.020445,1.0176732918570721
Gorham,nh,-89.4859292,37.718384,1.0403257076386196
Grantham,nh,-0.6430066,52.9065217,1.0295315682281059
Greenland,nh,-42.8125967,77.6192349,1.0219308700834326
Hampstead,nh,-0.1737206,51.5580835,1.019741399214962
Hampton,nh,-76.3452057,37.0300969,1.0257428278688525
Hampton Falls,nh,-70.88808020984696,42.9282364,1.0431865828092244
Hancock,nh,-91.1458063,40.3941712,1.0422195416164053
Hanover,nh,9.7385532,52.3744779,1.0235018645390686
Haverhill,nh,-71.0767724,42.7777829,1.0527583187390543
Henniker,nh,-71.822433,43.179645,1.0361349570772609
Hillsborough,nh,-82.3488057,27.9184543,1.0342237061769617
Hinsdale,nh,-107.3304179,37.813681,1.0686728395061729
Holderness,nh,-71.588974,43.732406,1.0464675201517306
Hollis,nh,-119.1912178,35.6674547,1.0175526579739218
Hooksett,nh,-71.465378,43.096972,1.0289267555311254
Hopkinton,nh,-91.2484799,42.3440205,1.0199687445737107
Hudson,nh,-71.4397167,42.7654433,1.0207433352792372
Jackson,nh,-90.1847691,32.2990021,1.1016355140186915
Keene,nh,-72.2784264,42.933597,1.0493934518892125
Kensington,nh,-0.1991229,51.4989948,1.0401322001888573
Kingston,nh,-76.7928128,17.9712148,1.0172901603269413
Laconia,nh,-71.470351,43.5278546,1.0740292730131848
Lancaster,nh,-76.3056686,40.03813,1.0465983224603914
Lebanon,nh,35.843409,33.8750629,1.0521191713637361
Lee,nh,-96.9588587,30.3031353,1.0264797507788161
Lincoln,nh,-96.7077751,40.8088861,1.0788732394366196
Lisbon,nh,-9.1365919,38.7077507,1.0669614655716992
Litchfield,nh,-73.1887243,41.747319,1.0177829099307159
Littleton,nh,-105.016649,39.613321,1.0563762947868909
Londonderry,nh,-7.3213056,54.9978678,1.017804042609252
Loudon,nh,-71.467438,43.285703,1.0321554770318022
Lyndeborough,nh,-71.7664642,42.9075843,1.0580459770114943
Madbury,nh,-70.924301,43.16963,1.0503211991434689
Madison,nh,-89.3837613,43.074761,1.058553386911596
Manchester,nh,-2.2451148,53.4794892,1.0603924000177156
Marlborough,nh,-71.5522874,42.3459271,1.0527079303675049
Mason,nh,-99.2233284,30.705029,1.0735600277585011
Meredith,nh,-71.500397,43.657937,1.053082191780822
Merrimack,nh,-71.4934004,42.8650864,1.0199016443829723
Middleton,nh,-89.5119565,43.0962919,1.0717022441160373
Milford,nh,-73.0570603,41.2222218,1.017120526021959
Milton,nh,-87.0396881,30.6324149,1.0425623387790197
Mont Vernon,nh,-71.6742394,42.8945294,1.0437956204379562
Moultonborough,nh,-71.3974,43.755225,1.0366554863440345
Nashua,nh,-71.4677032,42.7656251,1.0298260888978188
New Boston,nh,-94.4154787,33.4598415,1.0233948087431695
Newbury,nh,-1.3242212,51.4020243,1.0596881959910913
New Castle,nh,-80.3471856,40.9999202,1.1089613034623218
New Durham,nh,-74.4059842,40.5437151,1.0599112426035502
Newfields,nh,-86.18821130632406,39.82846295,1.0789625360230548
New Hampton,nh,-92.3176768,43.0591412,1.0631768953068592
Newington,nh,-70.834351,43.100482,1.4259259259259258
New Ipswich,nh,-71.8542429,42.7481421,1.0288461538461537
Newmarket,nh,0.4065503,52.2443103,1.0233598952079468
Newport,nh,-71.3137707,41.4899827,1.049306868304978
Northfield,nh,-93.161159,44.4582041,1.052834008097166
North Hampton,nh,-70.8297757,42.9725895,1.0425531914893618
Northumberland,nh,-2.000559,55.25,1.0810042633822832
Northwood,nh,-93.2210371,43.4441245,1.0423059042305904
Nottingham,nh,-1.1496461,52.9534193,1.0266071081763448
Orford,nh,-72.1415962,43.9014699,1.096774193548387
Ossipee,nh,-71.117249,43.68575,1.0456714383094752
Pelham,nh,-86.8099884,33.285669,1.023242710240879
Pembroke,nh,-77.113541,45.8260909,1.0363259668508287
Peterborough,nh,-0.2427336,52.5725769,1.035987404408457
Pittsburg,nh,-79.9900861,40.4416941,1.164807930607187
Pittsfield,nh,-73.260018,42.451302,1.0473201352003862
Plainfield,nh,-88.2054345,41.6086711,1.0634187316253676
Plaistow,nh,0.0166833,51.5311544,1.0425394362554952
Plymouth,nh,-4.1425658,50.3712659,1.0444115470022206
Portsmouth,nh,-1.075614,50.8036831,1.0411370780374472
Raymond,nh,2.6854848,46.9707059,1.0367541766109785
Rindge,nh,-72.01012902437412,42.7517669,1.0456563094483196
Rochester,nh,-77.615214,43.157285,1.0721286516319346
Rollinsford,nh,-70.820618,43.236199,1.066769587032034
Rye,nh,5.4297754,46.8712641,1.039714494875549
Salem,nh,-123.033121,44.9391565,1.0365392408483047
Sanbornton,nh,-71.582794,43.489296,1.0645378151260505
Sandown,nh,-1.1536287,50.6530593,1.0276880479926165
Sandwich,nh,1.3408309,51.2752527,1.1200294550810015
Seabrook,nh,-95.019723,29.5633199,1.0472972972972974
Somersworth,nh,-70.8645872,43.2625585,1.0732114533767427
South Hampton,nh,-70.9625559,42.8809229,1.180940892641737
Springfield,nh,-89.6439575,39.7990175,1.1050670640834575
Strafford,nh,-71.18454,43.327176,1.0370986920332936
Stratham,nh,-70.9122808,43.0244129,1.0314213130097607
Sugar Hill,nh,-84.0335197,34.1064895,1.2521588946459412
Sunapee,nh,-72.0877198,43.3874008,1.052737173975351
Tamworth,nh,150.9290159,-31.0900743,1.0578485537861553
Thornton,nh,-104.985181,39.8695516,1.0664544369279745
Tilton,nh,-71.588974,43.44245,1.1610908068597132
Troy,nh,26.238017461011644,39.957373950000004,1.0856049736967959
Tuftonboro,nh,-71.222305,43.696673,1.0729080364540182
Wakefield,nh,-1.4967286,53.6829541,1.0424943859043012
Warner,nh,-112.2082708,49.2821781,1.0751777853030815
Washington,nh,-77.0365427,38.8950368,1.1422101449275361
Waterville Valley,nh,-71.49971,43.950316,1.7407407407407407
Weare,nh,-71.73111,43.094966,1.0235978487542532
Webster,nh,-92.8792111,37.2895151,1.107033639143731
Whitefield,nh,-71.6118577,44.3730577,1.081326669695593
Wilton,nh,-95.001117,47.5034,1.055732484076433
Winchester,nh,-1.3131692,51.0612766,1.0584446564885497
Windham,nh,-71.304229,42.8006441,1.0193600430223178
Wolfeboro,nh,-71.207886,43.58437,1.0370138997344995
Woodstock,nh,-74.1182492,42.0410578,1.1322132943754566
