,state,latitude,longitude,crime_index
Barrington,ri,-88.1361888,42.1539141,1.0115599751398383
Bristol,ri,-2.5972985,51.4538022,1.0108744902582691
Burrillville,ri,-71.6977885,41.9699753,1.0106767898451865
Central Falls,ri,-71.3922785,41.8906553,1.0384595582556762
Charlestown,ri,-72.424622,43.2387,1.0144519759560047
Coventry,ri,-1.510477,52.4081812,1.024229518575005
Cranston,ri,-71.4371257,41.7809588,1.030599845343742
Cumberland,ri,-88.2423795,39.2744299,1.0159915923422145
East Greenwich,ri,-71.4558911,41.6603788,1.0152450644103972
East Providence,ri,-71.3700545,41.8137116,1.0237865097709602
Foster,ri,-98.8815333,47.4642277,1.014799154334038
Glocester,ri,-71.7176367,41.910429,1.0070032098044936
Hopkinton,ri,-91.2484799,42.3440205,1.0120838471023428
Jamestown,ri,-76.7738928,37.2104434,1.0125272331154684
Johnston,ri,-93.6973395,41.6731523,1.0248096791734638
Lincoln,ri,-96.7077751,40.8088861,1.0376867205700973
Little Compton,ri,-71.1711648,41.5101085,1.0177752293577982
Middletown,ri,-72.6509061,41.5623178,1.02152629597088
Narragansett,ri,-71.4495005,41.4501021,1.0164817338264875
Newport,ri,-71.3137707,41.4899827,1.0501138952164009
New Shoreham,ri,-71.5588201,41.1721507,1.069767441860465
North Kingstown,ri,-71.4693875,41.5514283,1.0189074031804002
North Providence,ri,-71.4661703,41.8500997,1.0161690399632521
North Smithfield,ri,-71.5495071,41.9667652,1.0461489497135583
Pawtucket,ri,-71.3825558,41.878711,1.0541857559350272
Portsmouth,ri,-1.075614,50.8036831,1.011540680900173
Providence,ri,-71.4128343,41.8239891,1.0703207574459563
Richmond,ri,-77.43428,37.5385087,1.013894299441631
Scituate,ri,-70.7697128,42.1939754,1.010927430652844
Smithfield,ri,-78.33936,35.5085531,1.0198256080770995
South Kingstown,ri,-71.5394738,41.454944,1.0162121607515657
Tiverton,ri,-3.4891945,50.902735,1.0262940616068594
Warren,ri,-90.6168408,40.8442828,1.032056819272483
Warwick,ri,-1.5815742,52.2814519,1.0330035046873645
Westerly,ri,-71.8272911,41.3775996,1.024516129032258
West Greenwich,ri,-71.6657892,41.6226185,1.0183529411764707
West Warwick,ri,-71.5236633,41.7063679,1.0215620341803306
Woonsocket,ri,-71.5147839,42.0028761,1.0540890455297418
