,state,latitude,longitude,crime_index
Aberdeen,sd,-2.0928095,57.1482429,1.0546588153792864
Alcester,sd,-1.8695764,52.2150202,1.0309139784946237
Avon,sd,2.7207225,48.4048867,1.003350083752094
Belle Fourche,sd,-103.851407,44.670905,1.0355357142857142
Beresford,sd,-96.773655,43.080545,1.0140774258421317
Box Elder,sd,-113.2112072,41.3586056,1.0517018954053785
Brandon,sd,4.577608667704116,46.35270835,1.0072237407262787
Brookings,sd,-96.78595150993536,44.300254550000005,1.0300930588567054
Burke,sd,-102.5295867,48.7882181,1.0136518771331058
Canton,sd,-95.8640507,32.555664,1.0428855438795797
Centerville,sd,-95.9785301,31.2578221,1.0284414106939703
Chamberlain,sd,-99.330178,43.810817,1.0840085287846482
Clark,sd,-87.7838526,39.3260541,1.0151515151515151
Deadwood,sd,-103.729642,44.376651,1.0145371078806427
Elk Point,sd,-96.6836475,42.6833303,1.012924071082391
Faith,sd,-102.0357649,45.023182,1.0411622276029056
Flandreau,sd,-96.595324,44.049416,1.0899698665518727
Freeman,sd,-97.437286,43.352487,1.0286821705426357
Groton,sd,-72.0761998,41.3501598,1.0119521912350598
Hot Springs,sd,-93.0552437,34.5038393,1.0307030129124821
Huron,sd,-83.0221987,43.8385749,1.0603323699421965
Kadoka,sd,-101.509866,43.833882,1.0490196078431373
Kimball,sd,-103.6997645,41.1881305,1.039274924471299
Lead,sd,-103.765198,44.352207,1.0199459093982421
Lennox,sd,-118.3574427,33.9390306,1.0226171243941842
Madison,sd,-89.3837613,43.074761,1.0284466790156126
Martin,sd,-101.9190317,32.2675039,1.2240896358543418
Menno,sd,-97.577844,43.239713,1.0434083601286173
Mitchell,sd,-100.9213003,32.2898049,1.0779253797749953
Mobridge,sd,-100.427913,45.537216,1.0301408450704226
Murdo,sd,-100.712914,43.888322,1.0769230769230769
North Sioux City,sd,-96.4830864,42.5272168,1.0521828103683493
Philip,sd,-101.665144,44.039433,1.0569210866752912
Pierre,sd,-100.3511367,44.3683644,1.06627193608218
Platte,sd,-94.7716306,39.3770348,1.0364212193190816
Rapid City,sd,-103.2274481,44.0869329,1.0790118281964294
Rosholt,sd,-89.3087256,44.6277509,1.0829493087557605
Scotland,sd,-4.1140518,56.7861112,1.0454545454545454
Sioux Falls,sd,-96.7313928,43.5460587,1.0709321869545543
Sisseton,sd,-97.049791,45.664557,1.031778786628147
Spearfish,sd,-103.85937,44.490817,1.0526093565276136
Springfield,sd,-89.6439575,39.7990175,1.021188630490956
Sturgis,sd,-103.509079,44.409707,1.0532722325648003
Summerset,sd,-103.3341079,44.1787783,1.059728183118741
Tea,sd,-96.836034,43.44661,1.0427263479145472
Tripp,sd,-99.8941094,43.3235158,1.0777777777777777
Tyndall,sd,-97.8628464,42.9933297,1.0444015444015444
Vermillion,sd,-96.929101,42.7795273,1.046801440044309
Wagner,sd,-41.1686734,-12.2818593,1.0563741191543883
Watertown,sd,-71.1828321,42.3709299,1.0412449961768542
Yankton,sd,-97.39717621846182,42.8950275,1.0660556687033265
