,state,latitude,longitude,crime_index
Barre,vt,2.82702,43.7513,1.0627996725529179
Barre Town,vt,-72.45609847473165,44.18505465,1.019273342883188
Bellows Falls,vt,-72.444534,43.134063,1.0414993306559572
Bennington,vt,-97.594199,39.030556,1.0775885193133048
Berlin,vt,13.3888599,52.5170365,1.0953746862674794
Bradford,vt,-1.7519186,53.7944229,1.0159200296186597
Brandon,vt,4.577608667704116,46.35270835,1.0384615384615385
Brattleboro,vt,-72.5572913,42.8507588,1.117270414875888
Brighton,vt,-0.1400561,50.8214626,1.0168918918918919
Bristol,vt,-2.5972985,51.4538022,1.0115889775946434
Burlington,vt,-73.212906,44.4761601,1.0600586619488803
Castleton,vt,-1.7867905115307363,53.3406983,1.0179720434879076
Chester,vt,-2.8908955,53.1908873,1.0185553346587144
Colchester,vt,0.8994651,51.8896903,1.0304308183268749
Dover,vt,1.3134228,51.1251275,1.1570482497634815
Essex,vt,0.46466977412300386,51.77046785,1.028136676720839
Fair Haven,vt,-76.702175,43.316456,1.0368050117462804
Hardwick,vt,-96.19932,43.774851,1.029102384291725
Hartford,vt,-72.6908547,41.764582,1.0445411228506318
Hinesburg,vt,-73.111267,44.329251,1.016300804173006
Killington,vt,-72.7784445,43.67433,1.0290620871862615
Ludlow,vt,-2.7193114,52.3679896,1.0325159914712154
Lyndonville,vt,-78.388914,43.326724,1.0758620689655172
Manchester,vt,-2.2451148,53.4794892,1.0337105139085336
Middlebury,vt,-73.16330105415423,44.007273600000005,1.0332725615314493
Milton,vt,-87.0396881,30.6324149,1.0253976861894432
Montpelier,vt,-72.575114,44.2602164,1.0528025995125914
Morristown,vt,-74.4809868,40.7970382,1.0545288197621225
Newport,vt,-71.3137707,41.4899827,1.0640417457305502
Northfield,vt,-93.161159,44.4582041,1.0215358931552587
Norwich,vt,1.29227,52.628606,1.0175385545811915
Pittsford,vt,-77.515298,43.090959,1.018305814788227
Richmond,vt,-77.43428,37.5385087,1.0143609382479655
Royalton,vt,-94.293702,45.8299124,1.0185055865921788
Rutland,vt,-0.6632643077026672,52.6423036,1.0660917648607728
Rutland Town,vt,121.1467499,14.6128491,1.037841796875
Shelburne,vt,-73.2276183,44.3783486,1.0328369606720122
South Burlington,vt,-73.1709604,44.4669941,1.0740082287804136
Springfield,vt,-89.6439575,39.7990175,1.0457303370786517
St. Albans,vt,-0.3422526,51.7492956,1.1188235294117648
St. Johnsbury,vt,-72.0153096,44.419464,1.0502933780385582
Stowe,vt,-1.0170847763469442,52.03701915,1.0321203953279425
Swanton,vt,-73.124313,44.918139,1.0275966641394996
Thetford,vt,0.7239059303289652,52.42931905,1.0278978388998035
Vergennes,vt,-89.3356432,37.902273,1.041602465331279
Weathersfield,vt,-72.4713504795204,43.39076205,1.0228841264075554
Williston,vt,-103.621814,48.1465457,1.0470775982445641
Wilmington,vt,-75.546589,39.7459468,1.0494169905607995
Windsor,vt,-0.6040964041849046,51.483757749999995,1.032490974729242
Winhall,vt,-72.93510548109492,43.159047900000004,1.0971272229822162
Winooski,vt,-73.1861064,44.4910402,1.04818949087939
Woodstock,vt,-74.1182492,42.0410578,1.0345299145299145
