,state,latitude,longitude,crime_index
Abingdon,va,-1.2779715,51.6714842,1.0315139291566873
Alexandria,va,29.894378,31.199004,1.0345930555041971
Amherst,va,-72.505714,42.3685658,1.0165213400642497
Appalachia,va,-82.7818275,36.9067631,1.072538860103627
Ashland,va,-90.6802594,46.2062319,1.0453511874684185
Bedford,va,-0.4675041,52.1363806,1.0637522768670309
Berryville,va,-93.5679667,36.364792,1.0169608067843228
Big Stone Gap,va,-82.7787482,36.8636908,1.0353965183752418
Blacksburg,va,-80.4136767,37.2296566,1.0146613864910563
Bluefield,va,-81.2223195,37.2698395,1.1192451265035255
Bowling Green,va,-86.4436018,36.9903199,1.008424599831508
Bridgewater,va,-70.9750426,41.9903787,1.0092427436354792
Bristol,va,-2.5972985,51.4538022,1.0549464087717138
Broadway,va,-73.9418259,40.8384885,1.009816259753335
Brookneal,va,-78.9441801,37.0501416,1.0327868852459017
Buena Vista,va,-95.1127525,42.7445814,1.0105588044184535
Cape Charles,va,-76.0174326,37.2679148,1.029940119760479
Cedar Bluff,va,-81.7590032,37.0876141,1.032901296111665
Charlottesville,va,-78.4766781,38.029306,1.0533506697211732
Chase City,va,-78.4585771,36.7993418,1.0447558770343581
Chatham,va,0.5292758,51.3804845,1.0265177948360085
Chesapeake,va,-76.2466798,36.7183708,1.0547294913140166
Chilhowie,va,-81.6823411,36.7984482,1.0362573099415204
Chincoteague,va,-75.3788141,37.9331799,1.0456128133704736
Christiansburg,va,-80.4089389,37.1298517,1.0449339207048458
Clifton Forge,va,-79.8245002,37.8162324,1.0366522366522366
Clintwood,va,-82.4559846,37.1501067,1.0590520590520591
Coeburn,va,-82.4640401,36.9439917,1.0586968228325255
Colonial Beach,va,-76.963588,38.2545799,1.0406345672140274
Colonial Heights,va,-77.4112016,37.2555718,1.090766031585455
Covington,va,-84.508371,39.0836224,1.050819061801936
Crewe,va,-2.44849508092154,53.10222065,1.0633147113594041
Culpeper,va,-77.9961275,38.4733823,1.041116939543263
Damascus,va,36.3095814,33.5130695,1.1842439644218552
Danville,va,-87.6304614,40.125222,1.0796695777661665
Dayton,va,-84.1916069,39.7589478,1.03239608801956
Dublin,va,-6.2602732,53.3497645,1.0418586789554531
Dumfries,va,-3.6092292,55.069836,1.025261158594492
Elkton,va,-75.8330934,39.6065073,1.0644827586206898
Emporia,va,-96.181623,38.4040054,1.0908
Exmore,va,-75.8229914,37.5318069,1.090643274853801
Fairfax City,va,-77.3005455,38.8506152,1.0311474745838227
Falls Church,va,-77.1710914,38.882334,1.0348480810234542
Farmville,va,-78.3923813,37.3024713,1.0561941251596425
Franklin,va,-95.2231752,33.2002659,1.0839346752753514
Front Royal,va,-78.1917718,38.9178538,1.0449269692227439
Galax,va,-80.9239671,36.6612387,1.0974683544303798
Gate City,va,-82.5809876,36.6378774,1.0533117932148628
Glade Spring,va,-81.7712324,36.791225,1.0490883590462834
Glasgow,va,-4.2488787,55.8609825,1.0477047704770477
Gordonsville,va,-78.187781,38.1373578,1.0616903146206045
Gretna,va,-90.0539604,29.9146493,1.059314954051796
Grottoes,va,-78.8258585,38.2673517,1.0363636363636364
Grundy,va,-88.4119361,41.2747363,1.1122222222222222
Halifax,va,-63.5859487,44.648618,1.0838126540673787
Hampton,va,-76.3452057,37.0300969,1.0664849481501506
Harrisonburg,va,-78.8688833,38.4493315,1.0392189309945392
Haymarket,va,-0.13149034119273803,51.5087561,1.0419540229885058
Haysi,va,-82.2940326,37.205387,1.152542372881356
Herndon,va,-100.785153,39.909726,1.0294415421374479
Hillsville,va,-80.7347947,36.7626282,1.0688350983358548
Honaker,va,-81.9742921,37.016222,1.0729323308270677
Hopewell,va,-77.2872001,37.3043154,1.0523128979119363
Hurt,va,-79.2964125,37.0926426,1.0693311582381728
Independence,va,-94.4137923,39.0924792,1.0825892857142858
Jonesville,va,-121.4671946,40.1123821,1.1041890440386681
Kenbridge,va,-78.125259,36.9621887,1.0559322033898304
Kilmarnock,va,-4.4964652,55.6100589,1.079432624113475
La Crosse,va,-91.2395429,43.8014053,1.1221640488656195
Lawrenceville,va,-83.9879625,33.9562149,1.0916414904330312
Lebanon,va,35.843409,33.8750629,1.1092757306226175
Leesburg,va,-81.8778582,28.810823,1.0255314545356196
Lexington,va,-84.4970393,38.0464066,1.0196988884198677
Louisa,va,-91.2683976,41.206668,1.094712376525276
Luray,va,1.3972981,48.7201659,1.0758293838862558
Lynchburg,va,-79.1422464,37.4137536,1.0523802598409928
Manassas,va,-77.4752667,38.7509488,1.036821983273596
Manassas Park,va,-77.4697111,38.7840035,1.0243154187024202
Marion,va,-94.344488,32.7931661,1.10280708027892
Martinsville,va,-79.8725386,36.6915262,1.0704856199905706
Middleburg,va,-77.7355056,38.9690189,1.1018518518518519
Middletown,va,-72.6509061,41.5623178,1.0651862464183381
Mount Jackson,va,-106.5366982,39.4852636,1.0614657210401892
Narrows,va,-80.8111867,37.3315103,1.0695652173913044
New Market,va,-86.41498977939412,34.895672000000005,1.054078014184397
Newport News,va,-76.42977,36.9775016,1.0631911977847834
Norfolk,va,1.0,52.666667,1.0805311083014502
Norton,va,-99.9100033,39.7944702,1.0931472081218274
Occoquan,va,-77.260261,38.6837271,1.084761045987376
Onancock,va,-75.7491015,37.7118,1.1190082644628099
Onley,va,-75.7161703,37.6908513,1.268
Orange,va,-117.8704931,33.7500378,1.0555773762765122
Parksley,va,-75.6535095,37.7826259,1.123456790123457
Pearisburg,va,-80.7350712,37.3265112,1.0875331564986737
Pembroke,va,-77.113541,45.8260909,1.1142857142857143
Pennington Gap,va,-83.0271115,36.7584219,1.1008158508158508
Petersburg,va,30.380619357025516,59.917857350000006,1.0842260096568925
Pocahontas,va,-94.6477383,42.7262681,1.2796610169491525
Poquoson,va,-76.3965772,37.1219885,1.0269668480950025
Portsmouth,va,-1.075614,50.8036831,1.1373110191401303
Pulaski,va,-89.1183427,37.2314232,1.0834964873891513
Purcellville,va,-77.7147153,39.1367717,1.0184612410593465
Radford,va,-80.5357895,37.1292934,1.02975063558176
Rich Creek,va,-80.8224608,37.3824263,1.1816958277254375
Richlands,va,-81.7997182,37.0944752,1.0650250096190843
Richmond,va,-77.43428,37.5385087,1.0798930309768076
Roanoke,va,-79.9414313,37.270973,1.097311332103617
Rocky Mount,va,-77.7956949,35.9423833,1.1441821247892074
Rural Retreat,va,-81.2759341,36.8937299,1.0839642119752237
Salem,va,-123.033121,44.9391565,1.0497850722938649
Saltville,va,-81.7620635,36.8815031,1.0774869109947645
