,state,latitude,longitude,crime_index
Aberdeen,wa,-2.0928095,57.1482429,1.0906958561376074
Airway Heights,wa,-117.5932728,47.644611,1.0914614981665793
Algona,wa,-94.233019,43.0699663,1.036649214659686
Anacortes,wa,-122.6237356,48.5020123,1.046731110221358
Arlington,wa,-97.10562379033699,32.701938999999996,1.075188345058125
Bainbridge Island,wa,-122.54602915532405,47.6475683,1.0190191387559808
Battle Ground,wa,-122.5337433,45.7813532,1.0434152046783625
Beaux Arts,wa,4.4427352,50.4148607,1.0332326283987916
Bellevue,wa,-122.192337,47.6144219,1.059300932090546
Bellingham,wa,-122.4788361,48.7544012,1.0641416229625922
Bingen,wa,6.4793632,49.1052677,1.0405405405405406
Bonney Lake,wa,-122.1702293,47.1870191,1.0374061370167795
Bothell,wa,-122.2068288,47.7598697,1.0421528434773468
Bremerton,wa,-122.6246836,47.5653663,1.0736892621475704
Brier,wa,-122.2742948,47.7845419,1.0217821782178218
Buckley,wa,-88.0380959,40.5969794,1.0346946151066136
Burien,wa,-122.3485274,47.469918,1.073986409101321
Burlington,wa,-73.212906,44.4761601,1.1356980149690856
Camas,wa,-6.0331571,37.4020115,1.0196818107265868
Castle Rock,wa,-104.8586826,39.3722552,1.0467044958533391
Centralia,wa,-89.1334037,38.5250491,1.0841333863545985
Chehalis,wa,-122.9634322,46.6599653,1.1066128612340536
Cheney,wa,3.9477501,47.9073765,1.0402153261557947
Chewelah,wa,-117.71552,48.276287,1.0340441451552562
Cle Elum,wa,-120.940063,47.1952417,1.063231850117096
Clyde Hill,wa,-122.2181054,47.631569,1.029685681024447
College Place,wa,-118.3880417,46.0491763,1.0393508697496818
Connell,wa,-118.861197,46.6603954,1.022002772002772
Covington,wa,-84.508371,39.0836224,1.0582542169785234
Darrington,wa,-121.6038768,48.252261,1.0412876137158853
Des Moines,wa,-93.6046655,41.5910323,1.0679344502873915
Dupont,wa,-122.637546,47.0990689,1.033085194375517
Duvall,wa,-121.9856782,47.7423219,1.0162542455118875
East Wenatchee,wa,-120.2931263,47.4156824,1.0303645140978102
Eatonville,wa,-81.3860947,28.6186732,1.0437765436131983
Edgewood,wa,-91.4007896,42.6449174,1.0409815541273684
Edmonds,wa,-122.3774952,47.8105738,1.0470430107526882
Ellensburg,wa,-120.5451223,46.9970635,1.0672012755580567
Enumclaw,wa,-121.9916371,47.2047793,1.0391649269311065
Ephrata,wa,-76.1789242,40.1799111,1.1045680358657457
Everett,wa,-122.2013998,47.9673056,1.0776210575056544
Everson,wa,-122.3386031,48.9196166,1.028003613369467
Federal Way,wa,-122.3393103,47.313494,1.092251976536598
Fife,wa,-3.0000001,56.3333331,1.1481983727237506
Fircrest,wa,-122.514304,47.2317185,1.0385288966725044
Forks,wa,-124.386165,47.950222,1.0504739943633103
Gig Harbor,wa,-122.5878659,47.3259697,1.088646967340591
