,state,latitude,longitude,crime_index
Charles Town,wv,-77.859581,39.2891836,1.02722411278561
Glen Dale,wv,-80.75575871338731,39.946470500000004,1.0254545454545454
Huntington,wv,-82.445154,38.4192496,1.0934209085933224
Lewisburg,wv,-80.4456303,37.8017879,1.0449086161879895
Milton,wv,-87.0396881,30.6324149,1.061823802163833
Moorefield,wv,-78.9694723,39.0623301,1.1484698097601322
Morgantown,wv,-79.9559437,39.6296809,1.0357725136664429
Moundsville,wv,-80.7431407,39.9203526,1.0325603748648324
New Martinsville,wv,-80.8575993,39.6445214,1.0078216660148611
Nitro,wv,18.0894593,48.31295,1.074773649703403
Oak Hill,wv,-97.34284800780038,39.24656375,1.0058968058968059
Ranson,wv,-77.8603829,39.2952821,1.0340393343419063
Ronceverte,wv,-80.4628391,37.7497542,1.025089605734767
St. Albans,wv,-0.3422526,51.7492956,1.06910405785456
Summersville,wv,-80.8525981,38.2812203,1.0698663426488457
Weirton,wv,-80.5895167,40.4189566,1.0116965456930476
Wellsburg,wv,-92.9245348,42.4347884,1.0205452390359542
Weston,wv,-2.9778916,51.3471927,1.007460766658091
White Sulphur Springs,wv,-80.2975734,37.7965149,1.0217118997912318
Williamson,wv,-97.6041649,30.6580927,1.0133630289532294
Winfield,wv,-96.9955919,37.2397486,1.018502943650126
