,state,latitude,longitude,crime_index
Afton,wy,-92.7835373,44.9027452,1.0118988596926128
Buffalo,wy,-78.8783922,42.8867166,1.0264712316779698
Casper,wy,-106.325138,42.8501191,1.063997783626541
Cheyenne,wy,-104.820246,41.139981,1.0690221857025473
Cody,wy,-109.056392,44.5263107,1.025747592498733
Diamondville,wy,-110.538502,41.7793918,1.0119047619047619
Douglas,wy,-88.2170516,39.7628415,1.031140768986336
Evanston,wy,-87.6930459,42.0447388,1.037164487267722
Evansville,wy,-87.5558483,37.9747645,1.0564326503191133
Gillette,wy,-105.501876,44.290635,1.04220901126408
Glenrock,wy,-105.8720412,42.8614825,1.0220125786163523
Green River,wy,-109.466473,41.5290933,1.020877001760711
Greybull,wy,-108.0554209,44.488924,1.0118470651588585
Hanna,wy,-111.927479,51.6445566,1.0195822454308094
Kemmerer,wy,-110.537711,41.7924606,1.0116575591985428
Lander,wy,-116.9843374,39.9059878,1.0695687007611163
Laramie,wy,-105.591101,41.311367,1.0236921852520737
Lusk,wy,-104.452175,42.762467,1.0279765777488614
Mills,wy,-98.5527272,31.4861082,1.0427672955974843
Moorcroft,wy,-104.950252,44.263315,1.0271535580524345
Newcastle,wy,-1.6131572,54.9738474,1.0407560543414058
Pine Bluffs,wy,-104.066339,41.18032,1.0299145299145298
Powell,wy,-113.0294193,46.9109569,1.0348652931854199
Rawlins,wy,-101.0994722,39.7904797,1.0371405285830713
Riverton,wy,-95.568169,40.6870011,1.0870592511813886
Rock Springs,wy,-109.2194544,41.5860557,1.0316992897973325
Saratoga,wy,-122.0230146,37.2638324,1.0247678018575852
Sheridan,wy,-100.4576457,39.3530598,1.0439228834870076
Thermopolis,wy,-108.212043,43.646067,1.0431095406360424
Torrington,wy,-73.1212214,41.8006523,1.022507080041735
Wheatland,wy,-109.8498047,46.4335302,1.0530474040632054
Worland,wy,-107.9557722,44.0168463,1.0236768802228413
